Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm  ,AverageDistance,116596.0  ,113337.0  ,112302.0  ,111822.25 ,111791.2  ,111797.0  ,111949.43 ,112073.875,112100.336,112357.7   ,112624.27  ,112752.836 ,112804.38  ,112634.0   ,112764.4   ,112641.875 ,112450.766 ,112394.555 ,112598.9   ,112716.2   ,112896.05  ,112869.05  ,112776.305 ,112680.5   ,112542.16  ,112584.234 ,112703.59  ,112616.61  ,112717.555 ,112781.5   ,112814.836 ,112888.28  ,112917.61  ,113158.38  ,113118.69  ,113185.78  ,113302.375 ,113257.555 ,113264.02  ,113352.42  ,113291.68  ,113228.62  ,113157.81  ,113193.45  ,113108.82  ,113066.45  ,113110.27  ,113050.086 ,113058.02  ,113024.04  ,113019.336 ,112987.484 ,112926.4   ,112938.78  ,112880.93  ,112816.766 ,112813.664 ,112802.984 ,112746.0   ,112704.87  ,112727.195 ,112723.195 ,112705.37  ,112647.266 ,112616.17  ,112651.29  ,112741.75  ,112754.72  ,112712.17  ,112679.17  ,112698.31  ,112707.414 ,112668.64  ,112624.76  ,112590.695 ,112587.09  ,112561.7   ,112591.84  ,112609.98  ,112614.48  ,112622.36  ,112625.195 ,112619.78  ,112605.77  ,112590.88  ,112600.03  ,112607.0   ,112589.67  ,112634.55  ,112641.69  ,112631.27  ,112658.74  ,112635.95  ,112626.695 ,112633.82  ,112611.625 ,112611.3   ,112638.79  ,112617.875 ,112633.28   ,112612.48   ,112585.31   ,112583.27   ,112583.99   ,112667.766  ,112651.89   ,112682.76   ,112670.8    ,112754.305  ,112724.46   ,112748.05   ,112731.45   ,112719.81   ,112714.0    ,112716.016  ,112747.77   ,112748.91   ,112737.71   ,112770.305  ,112744.8    ,112750.945  ,112742.64   ,112738.45   ,112777.37   ,112764.664  ,112754.99   ,112753.7    ,112737.695  ,112728.23   ,112775.43   ,112802.65   ,112810.266  ,112839.22   ,112824.945  ,112804.164  ,112799.68   ,112793.29   ,112779.13   ,112780.96   ,112759.664  ,112748.77   ,112742.66   ,112739.99   ,112755.8    ,112749.14   ,112773.04   ,112757.9    ,112746.625  ,112734.02   ,112730.72   ,112731.195  ,112731.016  ,112712.21   ,112692.88   ,112699.25   ,112736.46   ,112733.05   ,112721.75   ,112728.97   ,112721.414  ,112726.26   ,112707.47   ,112702.38   ,112701.266  ,112709.625  ,112700.87   ,112694.25   ,112692.5    ,112718.16   ,112718.34   ,112723.08   ,112716.234  ,112725.805  ,112744.02   ,112740.32   ,112753.98   ,112747.34   ,112738.23   ,112796.15   ,112806.02   ,112808.4    ,112802.6    ,112811.98   ,112819.56   ,112815.67   ,112825.31   ,112813.836  ,112813.875  ,112819.47   ,112820.28   ,112817.625  ,112829.44   ,112813.42   ,112793.98   ,112787.77   ,112789.41   ,112773.12   ,112754.79   ,112745.34   ,112749.84   ,112763.445  ,112746.484  ,112743.055  ,112742.66   ,112737.24   ,112770.67   ,112761.43   ,112766.08   ,112763.29   ,112754.7    ,112745.25   ,112766.336  ,112757.23   ,112750.24   ,112762.47   ,112768.016  ,112766.78   ,112768.07   ,112752.734  ,112743.83   ,112744.4    ,112764.43   ,112762.22   ,112764.195  ,112774.69   ,112759.484  ,112767.38   ,112786.3    ,112775.31   ,112776.445  ,112784.45   ,112793.13   ,112784.79   ,112791.73   ,112799.39   ,112789.875  ,112798.836  ,112801.11   ,112791.05   ,112787.664  ,112784.4    ,112790.195  ,112788.68   ,112785.39   ,112794.88   ,112790.875  ,112806.37   ,112816.56   ,112805.64   ,112816.81   ,112818.75   ,112816.336  ,112812.914  ,112812.42   ,112799.78   ,112796.164  ,112792.44   ,112780.016  ,112778.92   ,112788.55   ,112789.64   ,112785.55   ,112793.83   ,112794.87   ,112797.13   ,112802.67   ,112807.29   ,112818.64   ,112828.9    ,112816.0    ,112812.78   ,112805.5    ,112801.69   ,112796.41   ,112803.16   ,112808.22   ,112800.805  ,112787.88   ,112787.21   ,112809.03   ,112809.305  ,112805.15   ,112803.63   ,112799.52   ,112790.21   ,112795.8    ,112794.94   ,112791.77   ,112806.89   ,112797.04   ,112797.17   ,112805.164  ,112812.65   ,112809.71   ,112811.85   ,112810.92   ,112806.22   ,112797.64   ,112789.27   ,112789.375
GreedyLocalSearchAlgorithm  ,MinimumDistance,116596    ,110078    ,110078    ,110078    ,110078    ,110078    ,110078    ,110078    ,110078    ,110078     ,110078     ,110078     ,110078     ,110078     ,110078     ,110078     ,109393     ,109393     ,109393     ,109393     ,109393     ,109393     ,109393     ,109393     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,109222     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987     ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987      ,108987
SteepestLocalSearchAlgorithm,AverageDistance,111467.0  ,110899.5  ,111757.0  ,112886.25 ,112521.2  ,112860.0  ,113301.29 ,113154.875,113023.0  ,112721.0   ,112601.09  ,112575.75  ,112759.766 ,112736.07  ,112866.53  ,112997.5   ,113527.47  ,113569.945 ,113342.69  ,113279.05  ,113264.86  ,113552.77  ,113387.52  ,113453.71  ,113524.36  ,113475.5   ,113351.96  ,113406.71  ,113373.445 ,113650.0   ,113669.195 ,113562.94  ,113500.37  ,113437.88  ,113572.0   ,113567.72  ,113575.59  ,113497.945 ,113443.38  ,113401.55  ,113306.76  ,113303.45  ,113325.305 ,113371.87  ,113393.22  ,113334.06  ,113314.26  ,113394.77  ,113317.14  ,113244.62  ,113229.06  ,113256.695 ,113227.77  ,113185.055 ,113206.62  ,113190.375 ,113165.55  ,113153.31  ,113129.59  ,113200.45  ,113194.12  ,113238.47  ,113279.234 ,113286.375 ,113293.016 ,113268.27  ,113193.82  ,113168.19  ,113169.75  ,113144.8   ,113199.3   ,113213.66  ,113244.47  ,113214.0   ,113224.28  ,113230.66  ,113283.18  ,113314.78  ,113317.55  ,113334.35  ,113344.98  ,113352.22  ,113346.67  ,113384.62  ,113426.4   ,113382.03  ,113384.22  ,113391.12  ,113383.43  ,113418.82  ,113444.57  ,113453.75  ,113409.49  ,113387.89  ,113385.62  ,113387.81  ,113380.375 ,113435.91  ,113422.98  ,113462.11   ,113424.586  ,113406.78   ,113392.36   ,113353.445  ,113380.57   ,113356.22   ,113324.53   ,113322.56   ,113358.15   ,113372.08   ,113367.195  ,113399.67   ,113427.95   ,113436.914  ,113454.23   ,113449.62   ,113447.09   ,113444.98   ,113444.57   ,113424.35   ,113411.23   ,113383.02   ,113384.39   ,113355.08   ,113362.586  ,113410.945  ,113449.6    ,113434.695  ,113409.25   ,113431.62   ,113441.23   ,113418.4    ,113396.97   ,113394.484  ,113399.89   ,113419.81   ,113451.63   ,113441.93   ,113472.17   ,113461.33   ,113448.336  ,113463.68   ,113445.51   ,113469.81   ,113478.64   ,113479.7    ,113500.78   ,113516.08   ,113511.984  ,113510.984  ,113488.63   ,113486.63   ,113477.34   ,113511.555  ,113494.61   ,113488.36   ,113478.61   ,113456.85   ,113468.87   ,113462.54   ,113454.47   ,113465.914  ,113478.02   ,113477.02   ,113479.76   ,113512.64   ,113524.0    ,113531.5    ,113546.305  ,113548.33   ,113558.63   ,113607.88   ,113602.38   ,113602.555  ,113611.54   ,113588.055  ,113588.484  ,113588.055  ,113584.99   ,113601.766  ,113592.484  ,113602.46   ,113596.28   ,113584.83   ,113585.64   ,113596.58   ,113570.52   ,113559.77   ,113551.664  ,113549.2    ,113546.99   ,113537.63   ,113551.195  ,113531.9    ,113524.88   ,113531.06   ,113503.8    ,113520.75   ,113531.32   ,113524.86   ,113523.71   ,113533.73   ,113521.05   ,113512.11   ,113530.734  ,113517.37   ,113509.23   ,113551.0    ,113593.13   ,113575.18   ,113567.3    ,113566.81   ,113570.01   ,113572.97   ,113582.55   ,113603.336  ,113591.016  ,113585.195  ,113580.15   ,113584.58   ,113577.81   ,113567.1    ,113576.305  ,113565.13   ,113588.26   ,113591.33   ,113576.84   ,113572.0    ,113598.76   ,113603.61   ,113602.59   ,113621.86   ,113627.38   ,113633.91   ,113617.07   ,113603.81   ,113593.414  ,113588.16   ,113590.17   ,113596.414  ,113595.45   ,113579.25   ,113576.65   ,113570.11   ,113569.4    ,113568.42   ,113552.57   ,113538.93   ,113527.875  ,113531.3    ,113539.58   ,113540.54   ,113539.766  ,113521.78   ,113526.71   ,113522.195  ,113514.414  ,113518.25   ,113519.21   ,113527.51   ,113535.82   ,113534.23   ,113523.86   ,113522.805  ,113520.44   ,113524.375  ,113525.55   ,113521.44   ,113510.945  ,113513.36   ,113505.76   ,113509.37   ,113510.49   ,113510.61   ,113498.984  ,113498.7    ,113493.92   ,113483.6    ,113494.02   ,113489.62   ,113480.84   ,113482.15   ,113481.13   ,113496.11   ,113495.99   ,113520.57   ,113516.59   ,113505.32   ,113508.74   ,113507.64   ,113510.57   ,113524.63   ,113528.5    ,113520.18   ,113517.55   ,113521.72   ,113517.78   ,113522.67   ,113522.664  ,113531.3
SteepestLocalSearchAlgorithm,MinimumDistance,111467    ,110332    ,110332    ,110332    ,110332    ,110332    ,110332    ,110332    ,110332    ,110003     ,110003     ,110003     ,110003     ,110003     ,110003     ,110003     ,110003     ,110003     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,109252     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280     ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108280      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159      ,108159
