Algorithm,AverageResult,BestResult,AverageTime,StandardDeviation,Efficiency,AverageStepNumber,AverageVisitSolutionNumber
GreedyLocalSearchAlgorithm  ,238.3        ,130       ,154.1      ,57.4283031265943  ,1.5463984 ,1386.5           ,1.6140712E7
SteepestLocalSearchAlgorithm,313.6        ,279       ,124.7      ,25.100597602447635,2.5148358 ,306.4            ,1.2007044E7
RandomAlgorithm             ,31559.6      ,30716     ,0.03037429 ,618.5130879779343 ,1039023.44,0.0              ,0.0
HeuristicsAlgorithm         ,595.6        ,501       ,0.38789758 ,52.23638578615485 ,1535.4568 ,0.0              ,0.0
