Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm  ,Results     ,341                ,257                ,350                ,260                  ,361                  ,360                  ,373                ,236                 ,284                  ,244                  ,251                  ,308                 ,297                 ,297                  ,291                  ,277                  ,266                ,223                 ,364                  ,395                 ,373                ,324                 ,310                  ,255                 ,301                ,392                  ,284                ,355                ,284                  ,246                  ,325                 ,306                ,254                  ,221                ,331                ,361                  ,231                ,314                 ,289                  ,356                ,196                ,261               ,304                  ,505                 ,307                 ,334                  ,362                  ,453                ,209                ,304                 ,329                 ,383                ,322                ,401                ,273                 ,314                ,391                  ,346                 ,308                ,310                ,299               ,387                 ,280                ,335                ,290                 ,326                  ,312                 ,307                ,402                ,254                  ,225                 ,363                 ,335                 ,342                 ,295                  ,295                ,275                  ,266                  ,377                  ,242                 ,278                 ,268                  ,312               ,344                  ,212                ,284                 ,263                ,258                ,352                ,361                 ,316                 ,461                  ,368                ,322                  ,299                  ,373                  ,307                ,340               ,257                ,306
GreedyLocalSearchAlgorithm  ,Similarities,0.3022222222222222 ,0.5111111111111111 ,0.3688888888888889 ,0.2577777777777778   ,0.4622222222222222   ,0.4266666666666667   ,0.1688888888888889 ,0.18666666666666668 ,0.38666666666666666  ,0.4177777777777778   ,0.64                 ,0.38222222222222224 ,0.16                ,0.26222222222222225  ,0.15555555555555556  ,0.4577777777777778   ,0.16               ,0.17333333333333334 ,0.19111111111111112  ,0.21777777777777776 ,0.4311111111111111 ,0.4666666666666667  ,0.1688888888888889   ,0.14222222222222222 ,0.21777777777777776,0.37333333333333335  ,0.24               ,0.4                ,0.4177777777777778   ,0.44                 ,0.23555555555555555 ,0.22666666666666666,0.29333333333333333  ,0.68               ,0.4311111111111111 ,0.09333333333333334  ,0.36444444444444446,0.27555555555555555 ,0.18666666666666668  ,0.28444444444444444,0.48               ,0.6044444444444445,0.20444444444444446  ,0.29777777777777775 ,0.16444444444444445 ,0.2                  ,0.48                 ,0.4533333333333333 ,0.6711111111111111 ,0.21777777777777776 ,0.4177777777777778  ,0.29333333333333333,0.41333333333333333,0.48               ,0.4577777777777778  ,0.29777777777777775,0.3022222222222222   ,0.2222222222222222  ,0.24               ,0.37777777777777777,0.3511111111111111,0.21333333333333335 ,0.4533333333333333 ,0.41333333333333333,0.2088888888888889  ,0.4533333333333333   ,0.40444444444444444 ,0.44               ,0.12444444444444444,0.6844444444444444   ,0.26666666666666666 ,0.2222222222222222  ,0.13777777777777778 ,0.3688888888888889  ,0.4444444444444444   ,0.20444444444444446,0.5688888888888889   ,0.3688888888888889   ,0.52                 ,0.4488888888888889  ,0.4666666666666667  ,0.5422222222222223   ,0.16              ,0.4222222222222222   ,0.14222222222222222,0.1688888888888889  ,0.29333333333333333,0.1511111111111111 ,0.2222222222222222 ,0.26666666666666666 ,0.16                ,0.24888888888888888  ,0.49333333333333335,0.19555555555555557  ,0.3422222222222222   ,0.20444444444444446  ,0.08               ,0.48              ,0.5688888888888889 ,0.29333333333333333
SteepestLocalSearchAlgorithm,Results     ,264                ,328                ,342                ,339                  ,383                  ,408                  ,421                ,289                 ,342                  ,555                  ,327                  ,448                 ,285                 ,350                  ,379                  ,432                  ,345                ,320                 ,395                  ,441                 ,260                ,275                 ,353                  ,328                 ,311                ,327                  ,281                ,416                ,401                  ,399                  ,366                 ,300                ,366                  ,367                ,422                ,336                  ,346                ,446                 ,432                  ,373                ,303                ,281               ,307                  ,346                 ,357                 ,435                  ,332                  ,500                ,473                ,477                 ,418                 ,386                ,419                ,281                ,306                 ,391                ,394                  ,406                 ,301                ,419                ,362               ,393                 ,315                ,345                ,449                 ,396                  ,248                 ,421                ,501                ,417                  ,452                 ,412                 ,482                 ,307                 ,253                  ,377                ,332                  ,351                  ,338                  ,344                 ,320                 ,330                  ,365               ,288                  ,250                ,331                 ,424                ,408                ,347                ,309                 ,250                 ,367                  ,281                ,367                  ,336                  ,372                  ,421                ,274               ,251                ,286
SteepestLocalSearchAlgorithm,Similarities,0.36               ,0.5733333333333334 ,0.4888888888888889 ,0.38222222222222224  ,0.19555555555555557  ,0.3422222222222222   ,0.48444444444444446,0.5555555555555556  ,0.4533333333333333   ,0.18222222222222223  ,0.16444444444444445  ,0.47555555555555556 ,0.40444444444444444 ,0.4711111111111111   ,0.1688888888888889   ,0.44                 ,0.2311111111111111 ,0.2311111111111111  ,0.08444444444444445  ,0.16                ,0.31555555555555553,0.5333333333333333  ,0.29333333333333333  ,0.5111111111111111  ,0.22666666666666666,0.3333333333333333   ,0.41333333333333333,0.2311111111111111 ,0.38666666666666666  ,0.4                  ,0.4888888888888889  ,0.5866666666666667 ,0.4088888888888889   ,0.18666666666666668,0.4622222222222222 ,0.21777777777777776  ,0.20444444444444446,0.13333333333333333 ,0.31555555555555553  ,0.5288888888888889 ,0.25333333333333335,0.5955555555555555,0.5688888888888889   ,0.28                ,0.21333333333333335 ,0.40444444444444444  ,0.2577777777777778   ,0.24               ,0.22666666666666666,0.3422222222222222  ,0.5377777777777778  ,0.26666666666666666,0.19555555555555557,0.1688888888888889 ,0.4711111111111111  ,0.49333333333333335,0.19111111111111112  ,0.28                ,0.31555555555555553,0.35555555555555557,0.44              ,0.48444444444444446 ,0.14222222222222222,0.5022222222222222 ,0.22666666666666666 ,0.4311111111111111   ,0.2311111111111111  ,0.14222222222222222,0.38222222222222224,0.4888888888888889   ,0.4622222222222222  ,0.4266666666666667  ,0.19111111111111112 ,0.6177777777777778  ,0.17777777777777778  ,0.41333333333333333,0.1288888888888889   ,0.16                 ,0.12444444444444444  ,0.41333333333333333 ,0.5022222222222222  ,0.16444444444444445  ,0.16              ,0.3111111111111111   ,0.64               ,0.47555555555555556 ,0.2577777777777778 ,0.49777777777777776,0.6                ,0.17777777777777778 ,0.3111111111111111  ,0.5066666666666667   ,0.18222222222222223,0.2311111111111111   ,0.18666666666666668  ,0.44                 ,0.19111111111111112,0.5777777777777777,0.10222222222222223,0.43555555555555553
RandomAlgorithm             ,Results     ,37225              ,36315              ,39289              ,38822                ,36883                ,36417                ,38460              ,36837               ,37206                ,36188                ,36729                ,37014               ,36863               ,34843                ,39019                ,38275                ,37556              ,36736               ,36744                ,38498               ,35097              ,37394               ,37660                ,37368               ,37275              ,38537                ,38331              ,37589              ,38117                ,35001                ,38348               ,38682              ,39011                ,37596              ,35738              ,37982                ,37004              ,38784               ,37775                ,36999              ,36100              ,36004             ,39240                ,36150               ,37928               ,37746                ,38376                ,36736              ,39755              ,35881               ,36487               ,37378              ,40203              ,36276              ,35864               ,38389              ,39029                ,38501               ,40041              ,38544              ,37620             ,36402               ,37276              ,39099              ,37290               ,36594                ,37876               ,38066              ,36616              ,38902                ,39652               ,40134               ,36827               ,37676               ,36418                ,36570              ,36174                ,35681                ,35818                ,36760               ,37358               ,39039                ,38580             ,37509                ,38384              ,38557               ,38913              ,36668              ,36263              ,36271               ,38531               ,37270                ,38662              ,37416                ,34502                ,37571                ,38527              ,39251             ,39925              ,36285
RandomAlgorithm             ,Similarities,0.0                ,0.0                ,0.0                ,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0                ,0.008888888888888889,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.008888888888888889,0.013333333333333334,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0                ,0.008888888888888889,0.0044444444444444444,0.013333333333333334,0.0                ,0.008888888888888889,0.0044444444444444444,0.008888888888888889,0.0                ,0.0044444444444444444,0.0                ,0.0                ,0.0044444444444444444,0.0044444444444444444,0.008888888888888889,0.0                ,0.0044444444444444444,0.0                ,0.0                ,0.0044444444444444444,0.0                ,0.008888888888888889,0.0044444444444444444,0.0                ,0.0                ,0.0               ,0.0044444444444444444,0.017777777777777778,0.008888888888888889,0.0044444444444444444,0.0044444444444444444,0.0                ,0.0                ,0.008888888888888889,0.008888888888888889,0.0                ,0.0                ,0.0                ,0.013333333333333334,0.0                ,0.0044444444444444444,0.008888888888888889,0.0                ,0.0                ,0.0               ,0.008888888888888889,0.0                ,0.0                ,0.008888888888888889,0.0044444444444444444,0.017777777777777778,0.0                ,0.0                ,0.0044444444444444444,0.008888888888888889,0.008888888888888889,0.013333333333333334,0.008888888888888889,0.0044444444444444444,0.0                ,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.008888888888888889,0.013333333333333334,0.0044444444444444444,0.0               ,0.0044444444444444444,0.0                ,0.008888888888888889,0.0                ,0.0                ,0.0                ,0.017777777777777778,0.008888888888888889,0.0044444444444444444,0.0                ,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0                ,0.0               ,0.0                ,0.0044444444444444444
HeuristicsAlgorithm         ,Results     ,1337               ,1292               ,1460               ,1217                 ,1107                 ,1309                 ,1009               ,1213                ,1118                 ,1531                 ,1518                 ,1350                ,1446                ,1446                 ,1238                 ,1217                 ,1524               ,1261                ,1653                 ,1350                ,1372               ,1351                ,961                  ,1408                ,747                ,1261                 ,1215               ,989                ,1653                 ,1570                 ,1155                ,662                ,1446                 ,1376               ,1260               ,1107                 ,1024               ,1282                ,1242                 ,1078               ,1256               ,1215              ,1232                 ,923                 ,983                 ,1317                 ,1376                 ,952                ,713                ,1736                ,1563                ,1752               ,973                ,1491               ,740                 ,998                ,1319                 ,1390                ,1111               ,1200               ,662               ,969                 ,1650               ,1399               ,731                 ,1700                 ,1363                ,1287               ,1292               ,1457                 ,1356                ,747                 ,965                 ,1763                ,1371                 ,1344               ,1039                 ,1200                 ,1658                 ,1240                ,1131                ,1181                 ,1036              ,1484                 ,1356               ,1293                ,983                ,1226               ,1399               ,1320                ,1182                ,1047                 ,923                ,1371                 ,1636                 ,1385                 ,662                ,734               ,1293               ,1228
HeuristicsAlgorithm         ,Similarities,0.30666666666666664,0.36444444444444446,0.26666666666666666,0.4266666666666667   ,0.3288888888888889   ,0.38666666666666666  ,0.3244444444444444 ,0.4222222222222222  ,0.37333333333333335  ,0.27555555555555555  ,0.29333333333333333  ,0.38666666666666666 ,0.30666666666666664 ,0.30666666666666664  ,0.38666666666666666  ,0.4266666666666667   ,0.39111111111111113,0.4266666666666667  ,0.27111111111111114  ,0.38666666666666666 ,0.3022222222222222 ,0.3022222222222222  ,0.4488888888888889   ,0.44                ,0.4088888888888889 ,0.4266666666666667   ,0.4488888888888889 ,0.39111111111111113,0.27111111111111114  ,0.28444444444444444  ,0.3688888888888889  ,0.3244444444444444 ,0.30666666666666664  ,0.30666666666666664,0.37777777777777777,0.3288888888888889   ,0.4622222222222222 ,0.3688888888888889  ,0.36                 ,0.3466666666666667 ,0.4488888888888889 ,0.4488888888888889,0.4222222222222222   ,0.39555555555555555 ,0.3288888888888889  ,0.25333333333333335  ,0.30666666666666664  ,0.39555555555555555,0.37777777777777777,0.29333333333333333 ,0.27555555555555555 ,0.28               ,0.3688888888888889 ,0.38666666666666666,0.39555555555555555 ,0.3244444444444444 ,0.2577777777777778   ,0.3022222222222222  ,0.3422222222222222 ,0.4666666666666667 ,0.3244444444444444,0.38666666666666666 ,0.26666666666666666,0.3022222222222222 ,0.39555555555555555 ,0.28                 ,0.28888888888888886 ,0.29777777777777775,0.36444444444444446,0.26222222222222225  ,0.30666666666666664 ,0.4                 ,0.37777777777777777 ,0.29333333333333333 ,0.28444444444444444  ,0.38222222222222224,0.44                 ,0.4666666666666667   ,0.26666666666666666  ,0.3422222222222222  ,0.3688888888888889  ,0.39555555555555555  ,0.3466666666666667,0.28444444444444444  ,0.30666666666666664,0.35555555555555557 ,0.3288888888888889 ,0.4266666666666667 ,0.41333333333333333,0.29777777777777775 ,0.36444444444444446 ,0.41333333333333333  ,0.39555555555555555,0.28444444444444444  ,0.27111111111111114  ,0.28888888888888886  ,0.3244444444444444 ,0.4               ,0.38666666666666666,0.4088888888888889
