Algorithm,AverageResult,BestResult,AverageTime,StandardDeviation,Efficiency,AverageStepNumber,AverageVisitSolutionNumber
GreedyLocalSearchAlgorithm,1249.9,111,2.030426,596.8122736673569,615.5851,391.8,614248.1
SteepestLocalSearchAlgorithm,1470.4,751,1.9176245,396.7316977505074,766.78204,103.9,519255.0
RandomAlgorithm,148668.4,133622,3.006006,8791.537080624752,49457.12,0.0,0.0
HeuristicAlgorithm,6308.0,4478,0.025709584,825.091994870875,245355.97,0.0,0.0
SimulatedAnnealingAlgorithm,178.2,71,1188.7,106.39436075281434,0.14991167,1.2428846E7,2.7621494E7
TabuSearchAlgorithm,28020.3,24490,6.289308,2424.020381514974,4455.228,413.8,51252.5
