Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,6841.0,6991.5,6963.0,6947.25,6979.2,6979.6665,6980.2856,6973.375,6972.778,6979.1,6982.273,6991.3335,6987.923,6990.143,7003.467,7022.375,7022.8237,7025.4443,7030.421,7018.3,7012.952,7007.227,7010.478,7003.2915,7003.12,7005.154,7016.185,7010.607,7006.6895,7014.533,7014.4194,7014.4375,7019.394,7016.6763,7017.4,7015.75,7012.243,7008.8423,7011.154,7008.875,7007.4146,7005.2856,7004.0234,7000.4316,6999.0444,6997.2393,6997.9575,7000.1665,6999.551,7002.2,7005.4707,7004.2886,7008.736,7012.185,7011.091,7008.232,7009.772,7011.431,7007.8813,7005.9,7007.279,7007.4194,7006.0317,7005.4375,7007.2153,7009.0605,7010.791,7010.25,7010.8984,7009.486,7007.9717,7010.9165,7013.863,7016.946,7017.013,7016.1187,7014.1167,7014.8716,7011.2153,7012.1377,7010.407,7009.5,7009.229,7009.2383,7013.153,7011.128,7009.931,7008.5796,7008.8877,7012.6445,7011.989,7010.9023,7012.6235,7012.138,7011.5894,7012.1875,7014.7217,7014.204,7014.323,7017.19,7017.4355,7021.039,7021.33,7021.1924,7018.7715,7017.094,7018.7383,7020.787,7018.67,7017.636,7019.991,7021.384,7021.9556,7021.3335,7021.7217,7021.198,7021.0854,7020.3896,7020.395,7020.425,7021.529,7021.9346,7021.5693,7020.4595,7020.592,7019.127,7018.37,7017.5625,7017.3257,7017.2617,7016.931,7018.3184,7018.3535,7020.1567,7023.089,7023.3013,7023.5547,7025.6665,7025.6333,7026.357,7025.4326,7024.444,7023.993,7023.132,7023.421,7023.575,7025.15,7024.5,7025.987,7025.7935,7025.0796,7024.1577,7023.072,7023.8833,7023.7485,7023.91,7023.6436,7023.8164,7023.308,7023.0186,7022.9194,7022.29,7022.6133,7022.6587,7023.685,7024.307,7025.1797,7025.994,7025.698,7025.094,7026.2046,7025.9067,7025.5605,7024.9023,7025.983,7026.2046,7025.565,7024.899,7025.475,7025.656,7025.188,7025.066,7026.12,7026.3154,7027.0054,7025.887,7026.7114,7026.6274,7026.1533,7026.6787,7026.775,7026.9375,7025.363,7025.232,7026.154,7025.3623,7024.995,7024.8687,7023.583,7022.6,7022.279,7022.4507,7022.5615,7022.784,7023.1367,7022.3496,7022.092,7021.423,7020.11,7020.957,7019.673,7020.2075,7020.9204,7020.3877,7020.186,7020.574,7020.627,7020.4727,7020.548,7020.4365,7020.4478,7019.8516,7019.0225,7018.6294,7018.547,7018.553,7018.6475,7017.627,7017.1616,7016.6914,7017.563,7017.759,7017.983,7017.9614,7017.8384,7017.2163,7017.65,7017.6133,7018.021,7017.7,7018.668,7018.913,7019.1934,7021.1846,7021.106,7019.8823,7019.077,7019.3105,7019.675,7019.636,7020.008,7018.627,7017.826,7018.1143,7019.1255,7018.2656,7018.9106,7019.1665,7019.1006,7018.2847,7018.456,7018.775,7019.293,7019.481,7019.098,7019.015,7019.191,7018.7837,7017.933,7018.2188,7017.277,7017.224,7015.8716,7017.332,7017.0874,7017.051,7016.2056,7016.158,7015.8994,7015.8,7015.683,7014.8438,7015.212,7015.296,7015.3335,7014.259,7014.1987,7014.528,7015.2524,7014.538,7014.031,7014.024,7013.952,7014.0747,7013.949,7013.446,7013.236,7013.0166,7013.2573,7012.8335
GreedyLocalSearchAlgorithm,MinimumDistance,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6841,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6788,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6726,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6720,6720,6720,6720,6720,6720,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6672,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648,6648
SteepestLocalSearchAlgorithm,AverageDistance,7179.0,7242.5,7232.3335,7204.5,7243.2,7227.1665,7195.857,7200.625,7201.778,7182.5,7157.1816,7152.5835,7157.769,7157.7856,7153.7334,7143.0,7140.353,7143.3335,7138.3687,7144.65,7149.2383,7142.864,7137.4346,7141.375,7135.0,7139.231,7131.3706,7131.0713,7129.3105,7132.2666,7124.3228,7123.4688,7117.303,7118.7646,7123.457,7122.0557,7121.081,7122.816,7118.3335,7121.5,7127.9756,7129.643,7132.9536,7129.3184,7129.222,7126.022,7127.3403,7129.0415,7125.102,7124.18,7118.1763,7117.231,7116.83,7116.5557,7112.6,7114.2144,7111.7017,7112.552,7112.3896,7111.717,7114.1313,7115.5967,7113.7617,7112.125,7114.846,7117.879,7116.746,7118.9263,7119.2173,7125.6,7126.9155,7123.7637,7124.151,7123.0137,7126.0933,7126.421,7124.5586,7121.9614,7124.4683,7125.0874,7123.815,7123.439,7122.5664,7123.226,7122.4707,7125.8257,7126.1265,7127.091,7130.1797,7131.4775,7132.187,7129.4673,7127.3657,7128.2764,7126.284,7124.1665,7125.2266,7124.255,7124.1416,7123.02,7122.842,7118.569,7119.534,7118.6636,7118.924,7122.406,7122.8784,7123.398,7121.908,7122.609,7121.7476,7124.625,7126.239,7125.149,7124.2437,7124.7153,7127.436,7126.076,7125.1514,7126.725,7128.3057,7126.6724,7129.6587,7127.7983,7126.368,7127.119,7125.622,7126.0938,7126.752,7127.623,7130.519,7129.788,7131.2256,7132.754,7131.7188,7132.9854,7132.1753,7133.159,7132.482,7133.0356,7131.0356,7132.1196,7131.168,7133.125,7134.3726,7135.075,7134.592,7136.5337,7138.1143,7138.52,7138.6094,7137.5527,7136.17,7136.5586,7136.7417,7136.109,7134.312,7134.0,7132.094,7133.675,7133.82,7135.031,7134.914,7135.6523,7135.691,7136.1143,7135.9463,7137.125,7137.4263,7137.212,7137.006,7137.0405,7137.717,7137.977,7139.8,7139.5625,7139.452,7140.6123,7142.0,7144.6387,7145.58,7145.5493,7144.765,7145.337,7145.292,7144.269,7143.3584,7143.2285,7144.1797,7142.9473,7142.1255,7142.4116,7142.0415,7140.8813,7141.574,7141.6377,7141.157,7140.005,7141.2764,7139.755,7141.279,7142.2524,7142.4136,7141.8286,7141.512,7141.5195,7140.908,7140.9614,7140.708,7141.586,7141.303,7143.3584,7143.446,7143.243,7143.0234,7142.4956,7142.6543,7144.5,7144.146,7144.3135,7144.6245,7144.757,7144.39,7143.8257,7143.609,7144.261,7144.4053,7145.009,7145.812,7145.1694,7147.303,7147.5127,7148.1245,7149.2734,7148.515,7149.0254,7147.4854,7146.7856,7147.1714,7147.8335,7149.0415,7149.136,7148.786,7148.4424,7148.1836,7148.232,7148.352,7148.254,7148.225,7147.764,7147.757,7147.397,7147.324,7147.3506,7147.965,7147.7656,7148.903,7148.6553,7149.309,7148.969,7148.4062,7147.6562,7147.3613,7147.4697,7147.015,7147.1807,7147.3594,7147.7837,7148.0894,7148.0405,7148.277,7147.754,7147.703,7148.0586,7149.058,7149.7646,7148.9746,7147.748,7146.7275,7147.5107,7146.9536,7147.149,7146.9365,7146.7993,7146.593,7145.5596,7145.244,7144.6494,7145.723,7146.9688,7147.509,7147.6543,7147.058,7146.867,7145.6475,7145.2534,7145.6465,7145.064,7144.833,7145.3535
SteepestLocalSearchAlgorithm,MinimumDistance,7179,7179,7179,7121,7121,7121,7008,7008,7008,7008,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6886,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6818,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687,6687
