Algorithm,AverageResult,BestResult,AverageTime,StandardDeviation,Efficiency,AverageStepNumber,AverageVisitSolutionNumber
GreedyLocalSearchAlgorithm,672.2,504,5.3817205,166.04445187960965,124.9043,377.2,550998.9
SteepestLocalSearchAlgorithm,699.3,378,5.8208094,196.9482419317319,120.13793,584.5,496485.0
RandomAlgorithm,47686.1,45220,0.0112924175,1700.191545091317,4222842.5,0.0,0.0
HeuristicsAlgorithm,2257.9,1677,0.06290891,367.26215432576225,35891.574,0.0,0.0
