Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,2820.0,2845.5,2832.3333,2808.25,2813.4,2812.1667,2809.5715,2815.625,2808.889,2814.3,2817.4546,2826.3333,2836.3845,2838.7144,2832.2,2832.4375,2836.8235,2838.389,2837.7896,2835.1,2838.1428,2835.7273,2839.1304,2837.5417,2836.88,2836.3845,2836.7407,2837.8572,2833.4827,2832.0,2830.4517,2830.3125,2827.818,2830.7354,2828.3428,2824.889,2822.1892,2826.7104,2826.8462,2826.95,2828.5122,2829.6904,2832.0466,2831.8408,2831.3777,2834.5,2835.149,2834.875,2835.0613,2833.94,2833.0,2832.3655,2833.7358,2833.2778,2834.1636,2833.0715,2832.3157,2833.0173,2832.7458,2833.2834,2833.6394,2834.2903,2833.0476,2833.5,2833.7693,2833.9243,2833.4478,2833.3235,2832.5942,2831.8142,2831.3098,2831.5417,2831.7397,2832.4055,2832.7734,2832.3157,2833.4417,2833.1155,2834.114,2833.125,2832.5432,2833.6099,2835.0842,2834.976,2834.9412,2834.6743,2834.6667,2833.7158,2833.7754,2832.7666,2832.2966,2831.663,2831.7312,2832.1914,2831.8,2831.7395,2831.299,2831.6836,2831.4949,2831.0,2830.6633,2831.0,2831.0388,2830.577,2830.3618,2830.7925,2830.7383,2831.0093,2830.7708,2829.9182,2829.5767,2830.2053,2830.8762,2831.0789,2831.6174,2831.474,2832.205,2831.6948,2831.4958,2832.3333,2833.3057,2833.2542,2832.439,2831.6855,2831.672,2831.8015,2831.2678,2831.414,2831.659,2831.8308,2831.9846,2831.644,2831.06,2831.806,2831.674,2831.5881,2831.0073,2830.8623,2831.4531,2831.1287,2831.3262,2831.1409,2830.6782,2830.1597,2830.4346,2830.1711,2829.8843,2830.0608,2829.8254,2830.36,2829.616,2829.8684,2829.9412,2829.6494,2829.5872,2829.9424,2830.1719,2829.576,2829.8552,2829.5125,2828.9006,2828.395,2828.2085,2828.3354,2828.794,2829.2048,2829.012,2829.363,2829.2012,2828.2412,2828.6375,2828.2327,2828.6357,2828.4426,2828.4229,2828.2842,2827.8474,2827.9832,2828.056,2828.0056,2828.315,2827.9065,2827.8306,2828.212,2827.881,2828.2795,2828.9146,2828.9202,2828.3015,2828.0,2827.9006,2827.7761,2828.114,2827.9897,2828.2974,2828.2195,2827.858,2827.4849,2827.583,2827.715,2827.164,2826.8416,2826.9902,2826.8677,2826.8245,2827.102,2826.9324,2826.452,2826.3875,2826.4094,2825.9905,2825.915,2826.0469,2825.8364,2825.1768,2824.949,2825.1428,2824.7478,2824.7488,2824.709,2824.5386,2824.2026,2824.0762,2823.9153,2823.889,2823.6548,2823.815,2824.3552,2824.2402,2824.2783,2824.1516,2824.7673,2824.4978,2824.5557,2824.7576,2824.8728,2824.8523,2825.0715,2825.184,2825.1792,2825.3237,2825.1777,2824.9465,2825.209,2825.1592,2825.1829,2824.8867,2825.1814,2825.3213,2824.912,2824.773,2825.0596,2824.7866,2824.496,2824.255,2824.7031,2824.5293,2824.5232,2824.7183,2824.3923,2824.341,2824.183,2824.0874,2823.8826,2823.8867,2824.2368,2824.397,2824.735,2824.9702,2825.078,2825.2437,2825.5625,2825.7583,2825.7627,2825.5237,2825.413,2825.5522,2825.392,2825.2544,2825.0928,2824.9253,2824.7341,2824.3853,2824.3416,2824.1965,2824.0244,2824.0977,2823.9722,2824.1177,2823.8794,2824.1064,2823.976,2823.9045,2823.9421,2823.7593,2823.5034,2823.3772,2823.5066,2823.271,2823.2
GreedyLocalSearchAlgorithm,MinimumDistance,2820,2820,2806,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2736,2711,2711,2711,2711,2711,2711,2711,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2704,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666
SteepestLocalSearchAlgorithm,AverageDistance,2920.0,2907.5,2891.3333,2894.75,2899.8,2918.6667,2915.8572,2910.125,2909.5557,2911.3,2918.7273,2906.75,2906.923,2903.5715,2906.6,2908.125,2900.8235,2896.889,2892.0,2892.75,2899.1904,2897.4546,2895.9565,2896.0417,2900.08,2895.8845,2898.8518,2898.0,2899.3794,2898.1,2897.0967,2895.875,2896.2122,2895.3823,2892.9714,2897.5833,2898.5134,2897.7104,2896.9487,2894.875,2890.6829,2890.3809,2888.535,2888.9546,2889.2222,2888.3696,2888.4043,2885.9167,2887.7144,2885.98,2885.1372,2883.7886,2881.547,2880.889,2880.0908,2880.9465,2882.9648,2883.5518,2882.9321,2882.6,2881.8853,2881.4517,2880.5398,2878.9531,2879.323,2878.621,2878.597,2877.2646,2877.855,2878.3713,2878.9436,2878.6667,2879.4385,2879.0405,2879.3333,2879.2632,2880.065,2880.6924,2880.9114,2880.725,2880.8147,2881.4023,2881.952,2882.3572,2883.6118,2883.686,2884.4712,2885.557,2885.3035,2885.4,2885.6484,2886.3914,2886.7957,2886.6597,2886.6736,2885.8855,2886.2063,2886.4795,2885.99,2885.28,2886.0298,2886.245,2886.0776,2885.3462,2884.7524,2884.7642,2885.1401,2884.6667,2885.3945,2885.0637,2885.2703,2885.7322,2885.6194,2885.2017,2884.8262,2885.0947,2884.7437,2884.8474,2886.3025,2886.6084,2886.4958,2886.5083,2886.9187,2886.4517,2886.32,2886.0398,2885.378,2885.4297,2886.3257,2885.7307,2886.0535,2886.2273,2886.1729,2885.9553,2885.5852,2885.5515,2885.7957,2886.152,2886.1582,2886.8,2887.1418,2887.148,2886.7344,2886.4932,2886.4827,2886.5068,2886.34,2886.4663,2886.3691,2886.3467,2886.1326,2886.1907,2886.0393,2885.6104,2885.6904,2885.8076,2885.5479,2885.7214,2886.044,2885.475,2885.1677,2885.5186,2885.0369,2885.122,2884.9092,2884.6326,2884.2993,2884.0178,2884.2131,2884.353,2884.3508,2884.6453,2885.1387,2885.1438,2885.977,2886.1592,2886.4634,2886.1123,2885.5923,2885.7166,2885.1658,2884.8682,2884.7815,2884.5488,2884.3027,2883.7903,2883.8662,2883.819,2884.1587,2883.7317,2884.2407,2884.3801,2884.4094,2884.4587,2884.487,2885.1226,2885.0,2884.899,2885.0854,2885.235,2885.388,2885.6484,2886.133,2886.5,2886.8293,2886.733,2886.3914,2886.3943,2886.5933,2886.462,2886.6873,2886.6792,2887.0469,2887.1494,2886.9023,2886.6575,2886.7327,2886.3533,2886.5479,2886.0864,2885.9592,2885.3242,2885.3586,2885.799,2886.1333,2886.3186,2886.0706,2886.4956,2886.5503,2886.5566,2886.4978,2886.263,2885.9785,2886.2222,2886.315,2886.1355,2886.19,2886.3276,2886.159,2886.1125,2886.0,2885.537,2885.7983,2886.1394,2886.653,2886.8008,2886.9556,2887.2783,2887.3333,2887.328,2887.3745,2887.508,2887.4902,2887.6536,2887.9727,2887.9336,2887.6887,2887.7598,2887.2124,2886.9768,2886.9502,2886.5725,2886.7224,2886.8105,2886.7358,2887.034,2887.0112,2886.9104,2886.933,2886.6777,2886.7195,2886.75,2887.0696,2887.332,2886.989,2886.8079,2886.5596,2886.6294,2886.8171,2886.743,2886.7188,2886.5886,2886.6677,2886.8486,2887.1194,2887.2168,2887.5645,2887.413,2887.5017,2887.576,2887.5154,2887.613,2887.7441,2887.7007,2887.783,2887.8242,2887.697,2887.6577,2887.2676,2887.06
SteepestLocalSearchAlgorithm,MinimumDistance,2920,2895,2859,2859,2859,2859,2859,2859,2859,2859,2859,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723,2723
