Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,1186,303,293,595,425,457,290,522,606,671,875,925,523,209,671,234,768,685,372,439,369,477,385,1023,642,849,498,603,839,614,611,684,465,835,395,478,335,724,766,575,393,842,430,524,533,583,989,614,352,460,551,899,417,643,509,642,391,539,982,577,799,395,899,547,376,222,511,413,661,754,684,819,918,392,454,661,518,319,495,972,706,557,554,567,657,468,624,528,981,739,485,618,423,544,801,606,136,722,171,577
GreedyLocalSearchAlgorithm,Similarities,0.46,0.7,0.67,0.49,0.56,0.52,0.13,0.12,0.27,0.47,0.19,0.13,0.49,0.19,0.65,0.6,0.21,0.2,0.17,0.61,0.08,0.64,0.29,0.37,0.2,0.49,0.6,0.14,0.22,0.04,0.48,0.14,0.66,0.52,0.15,0.6,0.14,0.58,0.21,0.55,0.17,0.48,0.21,0.14,0.23,0.22,0.53,0.58,0.07,0.52,0.67,0.41,0.68,0.43,0.66,0.56,0.59,0.12,0.1,0.07,0.3,0.14,0.57,0.47,0.11,0.06,0.12,0.28,0.13,0.17,0.08,0.56,0.49,0.13,0.06,0.44,0.14,0.04,0.17,0.11,0.16,0.21,0.11,0.45,0.24,0.25,0.44,0.13,0.12,0.2,0.49,0.4,0.66,0.1,0.2,0.11,0.16,0.65,0.15,0.11
SteepestLocalSearchAlgorithm,Results,672,926,662,892,464,745,764,567,894,1208,738,618,531,701,540,330,565,484,940,674,744,1052,393,1004,584,511,694,1179,969,724,534,677,680,260,578,563,683,514,443,456,188,477,520,906,329,396,344,455,609,1015,206,1501,952,476,656,633,689,641,635,556,558,937,533,312,738,831,707,1157,681,774,433,739,659,836,477,231,156,541,389,428,269,826,603,864,695,813,721,655,388,854,771,610,756,254,718,1116,621,441,287,822
SteepestLocalSearchAlgorithm,Similarities,0.23,0.25,0.22,0.3,0.56,0.62,0.14,0.15,0.57,0.35,0.11,0.11,0.17,0.1,0.11,0.26,0.54,0.12,0.55,0.19,0.46,0.26,0.52,0.42,0.15,0.52,0.6,0.38,0.47,0.24,0.63,0.49,0.4,0.06,0.53,0.43,0.2,0.68,0.09,0.53,0.18,0.43,0.71,0.45,0.3,0.11,0.63,0.38,0.54,0.24,0.06,0.46,0.11,0.19,0.58,0.37,0.14,0.16,0.39,0.25,0.59,0.34,0.13,0.51,0.46,0.23,0.55,0.52,0.68,0.24,0.5,0.51,0.24,0.35,0.76,0.12,0.09,0.65,0.61,0.04,0.15,0.49,0.21,0.13,0.49,0.56,0.47,0.14,0.72,0.41,0.26,0.46,0.5,0.21,0.13,0.39,0.58,0.13,0.69,0.55
RandomAlgorithm,Results,47035,51084,43564,51290,48614,47820,46563,50298,50286,48475,50933,46572,49039,48628,48923,49895,49694,48072,49934,43984,44328,47139,49799,48449,40884,47872,48441,46214,47684,49529,43808,47795,46416,46367,49367,50123,44952,46323,46054,54008,46679,47101,48674,48882,47826,44484,44573,49862,49681,48447,47075,48467,44818,46414,46075,49235,47598,48884,43436,47619,53932,47482,50053,46003,47882,46873,48247,49657,44100,53284,45999,47030,50688,49397,44600,46834,46210,47613,42413,43823,47586,47637,43527,46625,45432,46801,48691,49429,44751,48987,48014,47357,48374,48607,51076,47098,47863,50424,43471,47617
RandomAlgorithm,Similarities,0.0,0.03,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.02,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.02,0.0,0.01,0.0,0.03,0.0,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.02,0.0,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.04,0.0
HeuristicsAlgorithm,Results,1940,2402,2028,2422,1937,1638,1677,2124,2453,1958,2453,2846,2057,2048,1605,2437,1940,2422,1759,2437,2135,2627,2627,2436,2325,2044,1513,2023,1677,2132,2276,2436,1592,2771,2177,2518,2422,2077,2323,1817,2422,2358,1958,2453,1940,2077,1993,2438,2135,1994,2426,1677,1708,2828,1708,1688,1940,2218,1817,1974,2846,2828,2650,2077,1817,2135,1947,1993,1987,2272,1940,1987,2204,1937,2422,1513,2393,2862,2223,2132,2518,1937,2821,1940,2679,2422,2806,2828,2323,2456,2223,2323,1983,2426,2612,2132,1708,2132,1677,1986
HeuristicsAlgorithm,Similarities,0.26,0.29,0.39,0.31,0.28,0.28,0.21,0.31,0.2,0.28,0.2,0.23,0.32,0.4,0.37,0.28,0.26,0.31,0.38,0.28,0.24,0.21,0.21,0.21,0.35,0.43,0.18,0.43,0.21,0.28,0.39,0.21,0.22,0.26,0.27,0.31,0.31,0.28,0.44,0.17,0.43,0.35,0.28,0.2,0.26,0.28,0.28,0.33,0.24,0.28,0.21,0.28,0.32,0.21,0.32,0.3,0.37,0.2,0.17,0.3,0.23,0.21,0.21,0.28,0.17,0.24,0.31,0.26,0.36,0.47,0.37,0.36,0.26,0.28,0.31,0.18,0.27,0.21,0.32,0.28,0.31,0.28,0.23,0.37,0.25,0.31,0.2,0.21,0.43,0.43,0.32,0.43,0.47,0.21,0.27,0.28,0.32,0.28,0.28,0.2
