Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,660,441,567,543,502,412,626,220,227,667,525,522,512,470,511,610,341,670,722,764,359,686,304,595,518,544,512,622,422,389,371,275,267,630,306,404,291,344,359,546,513,629,766,572,605,414,667,455,452,507,764,328,515,440,658,710,544,394,821,436,414,407,744,496,578,486,617,670,654,557,602,328,752,650,465,431,549,576,392,246,291,567,463,474,444,534,458,569,500,551,755,236,519,639,701,247,468,432,563,498
GreedyLocalSearchAlgorithm,Similarities,0.28,0.5466666666666666,0.5533333333333333,0.7,0.54,0.15333333333333332,0.22,0.6266666666666667,0.68,0.5933333333333334,0.42,0.14,0.13333333333333333,0.6,0.4866666666666667,0.44,0.14666666666666667,0.47333333333333333,0.12666666666666668,0.41333333333333333,0.6933333333333334,0.12666666666666668,0.6933333333333334,0.6266666666666667,0.6866666666666666,0.1,0.5933333333333334,0.5666666666666667,0.26666666666666666,0.20666666666666667,0.07333333333333333,0.18,0.7066666666666667,0.15333333333333332,0.24666666666666667,0.16,0.07333333333333333,0.20666666666666667,0.6266666666666667,0.6066666666666667,0.5866666666666667,0.4533333333333333,0.26,0.5733333333333334,0.19333333333333333,0.66,0.66,0.16666666666666666,0.12,0.48,0.24666666666666667,0.14,0.6933333333333334,0.5333333333333333,0.6266666666666667,0.17333333333333334,0.5933333333333334,0.12666666666666668,0.18,0.11333333333333333,0.5666666666666667,0.6133333333333333,0.24,0.6266666666666667,0.11333333333333333,0.6733333333333333,0.6333333333333333,0.4666666666666667,0.09333333333333334,0.14,0.4,0.7066666666666667,0.6666666666666666,0.5133333333333333,0.11333333333333333,0.66,0.22666666666666666,0.48,0.18,0.7,0.48,0.12666666666666668,0.7,0.19333333333333333,0.18666666666666668,0.19333333333333333,0.10666666666666667,0.54,0.14,0.5066666666666667,0.6066666666666667,0.03333333333333333,0.2866666666666667,0.1,0.13333333333333333,0.04666666666666667,0.20666666666666667,0.4866666666666667,0.26,0.5266666666666666
SteepestLocalSearchAlgorithm,Results,574,506,792,531,745,434,756,765,359,690,456,786,596,751,883,715,481,714,601,432,650,500,606,714,482,600,478,724,684,540,843,994,990,746,631,498,548,701,547,944,770,644,741,556,1173,513,612,792,640,616,711,918,551,311,408,666,483,451,576,400,902,308,948,498,442,357,505,724,572,457,318,518,320,586,376,517,757,386,818,405,402,749,456,725,737,570,790,698,459,638,761,579,613,422,699,990,699,532,429,809
SteepestLocalSearchAlgorithm,Similarities,0.64,0.6333333333333333,0.13333333333333333,0.19333333333333333,0.5933333333333334,0.24,0.20666666666666667,0.12,0.6133333333333333,0.5466666666666666,0.6266666666666667,0.2,0.5,0.42,0.24,0.6333333333333333,0.5066666666666667,0.6266666666666667,0.5133333333333333,0.16,0.4866666666666667,0.6666666666666666,0.42,0.16666666666666666,0.5066666666666667,0.16666666666666666,0.1,0.16,0.5,0.17333333333333334,0.32666666666666666,0.44666666666666666,0.4066666666666667,0.41333333333333333,0.47333333333333333,0.64,0.22666666666666666,0.4,0.48,0.21333333333333335,0.19333333333333333,0.64,0.48,0.26,0.19333333333333333,0.54,0.5333333333333333,0.47333333333333333,0.16,0.4666666666666667,0.12,0.25333333333333335,0.5133333333333333,0.11333333333333333,0.5333333333333333,0.5266666666666666,0.23333333333333334,0.06666666666666667,0.22,0.6466666666666666,0.14,0.64,0.15333333333333332,0.30666666666666664,0.6466666666666666,0.68,0.52,0.12666666666666668,0.12,0.5933333333333334,0.24,0.08666666666666667,0.18666666666666668,0.15333333333333332,0.15333333333333332,0.5933333333333334,0.5066666666666667,0.18666666666666668,0.43333333333333335,0.6466666666666666,0.6933333333333334,0.12666666666666668,0.18666666666666668,0.38666666666666666,0.22666666666666666,0.10666666666666667,0.4533333333333333,0.12666666666666668,0.14666666666666667,0.24,0.4866666666666667,0.6666666666666666,0.08666666666666667,0.24666666666666667,0.43333333333333335,0.46,0.5133333333333333,0.5,0.6333333333333333,0.49333333333333335
RandomAlgorithm,Results,49560,49617,47134,45572,49058,48992,45830,47022,45225,44869,47802,48700,48211,48663,48895,45359,47788,47891,49404,49981,50170,45507,48111,48678,45407,47543,47715,45109,46947,49151,47443,50889,47052,49555,46475,46968,48646,47798,45996,48430,47508,48951,46273,44103,47381,48218,47307,47740,48382,49683,49586,47015,47753,48213,46672,42485,47839,48185,48744,48556,47664,47854,43634,48580,47195,47937,49008,48732,48564,44870,50000,48265,44681,50353,49259,45173,43533,46924,47960,47322,47231,50496,44600,44075,46638,46938,46700,46645,46373,46392,46583,47232,47928,47331,47005,46824,48716,50016,48630,48770
RandomAlgorithm,Similarities,0.006666666666666667,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.02,0.006666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.02,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.02,0.0,0.0,0.02,0.006666666666666667,0.0,0.013333333333333334,0.0,0.0,0.02,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.0,0.02,0.02,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.006666666666666667,0.02,0.006666666666666667,0.0,0.0,0.02,0.006666666666666667,0.006666666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.006666666666666667,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334
HeuristicAlgorithm,Results,909,1230,1503,1050,951,858,1785,968,967,1525,1172,1177,1027,1183,858,601,1554,1547,923,1325,952,1144,916,1630,1480,904,998,901,984,1531,1785,1183,1048,1171,968,961,1646,1554,656,1177,1144,1559,1052,1048,1113,1821,1210,1342,1785,732,1455,835,1206,781,1064,1031,1516,1252,961,656,1010,1503,1026,803,901,699,1821,1605,781,646,1527,961,1821,1529,612,1195,1144,1151,1029,1480,1529,1049,1589,1195,1459,1605,786,916,1459,648,984,646,1458,1288,1534,1395,768,1221,656,1554
HeuristicAlgorithm,Similarities,0.52,0.38666666666666666,0.34,0.38,0.34,0.32,0.3466666666666667,0.44666666666666666,0.5133333333333333,0.2733333333333333,0.34,0.47333333333333333,0.3466666666666667,0.5133333333333333,0.32,0.5866666666666667,0.30666666666666664,0.21333333333333335,0.37333333333333335,0.35333333333333333,0.3333333333333333,0.41333333333333333,0.48,0.21333333333333335,0.35333333333333333,0.52,0.46,0.3933333333333333,0.5133333333333333,0.38666666666666666,0.3466666666666667,0.5133333333333333,0.4666666666666667,0.3333333333333333,0.44666666666666666,0.3,0.26666666666666666,0.30666666666666664,0.5666666666666667,0.47333333333333333,0.41333333333333333,0.12,0.35333333333333333,0.4666666666666667,0.38,0.26666666666666666,0.3333333333333333,0.36,0.3466666666666667,0.56,0.44666666666666666,0.4666666666666667,0.36,0.54,0.36,0.32666666666666666,0.26666666666666666,0.44,0.3,0.5666666666666667,0.3466666666666667,0.34,0.4533333333333333,0.3466666666666667,0.3933333333333333,0.5266666666666666,0.26666666666666666,0.2866666666666667,0.54,0.36,0.43333333333333335,0.3,0.26,0.14,0.54,0.48,0.41333333333333333,0.4533333333333333,0.5,0.35333333333333333,0.14,0.3333333333333333,0.2733333333333333,0.48,0.43333333333333335,0.2866666666666667,0.32,0.48,0.43333333333333335,0.56,0.5133333333333333,0.36,0.14666666666666667,0.4266666666666667,0.43333333333333335,0.24,0.31333333333333335,0.4533333333333333,0.5666666666666667,0.26666666666666666
