Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,327,211,253,225,263,170,366,268,172,447,192,298,347,146,212,209,243,264,296,250,336,189,262,209,222,268,307,134,258,216,280,162,231,192,238,162,266,202,229,269,219,218,293,250,291,261,243,209,256,234,180,109,287,180,209,226,298,272,195,269,293,295,362,261,284,155,262,264,241,213,290,271,245,267,166,168,191,264,250,282,306,179,189,320,288,335,187,192,237,246,206,275,371,283,333,277,302,260,251,352
GreedyLocalSearchAlgorithm,Similarities,0.25,0.125,0.6821428571428572,0.55,0.4928571428571429,0.06785714285714285,0.39285714285714285,0.5107142857142857,0.09642857142857143,0.25357142857142856,0.6535714285714286,0.5857142857142857,0.34285714285714286,0.07857142857142857,0.12142857142857143,0.5821428571428572,0.6035714285714285,0.5607142857142857,0.5285714285714286,0.1,0.45714285714285713,0.65,0.4357142857142857,0.125,0.075,0.3142857142857143,0.4642857142857143,0.1,0.4714285714285714,0.4857142857142857,0.48214285714285715,0.525,0.2642857142857143,0.060714285714285714,0.075,0.6178571428571429,0.4,0.5392857142857143,0.17142857142857143,0.525,0.1357142857142857,0.6321428571428571,0.525,0.1357142857142857,0.4928571428571429,0.4392857142857143,0.5178571428571429,0.16071428571428573,0.1392857142857143,0.49642857142857144,0.6714285714285714,0.7464285714285714,0.4392857142857143,0.4714285714285714,0.15,0.44642857142857145,0.6071428571428571,0.5357142857142857,0.08571428571428572,0.5535714285714286,0.17857142857142858,0.5714285714285714,0.39285714285714285,0.5642857142857143,0.15714285714285714,0.12142857142857143,0.5464285714285714,0.6107142857142858,0.5642857142857143,0.18571428571428572,0.5785714285714286,0.5928571428571429,0.10714285714285714,0.23214285714285715,0.525,0.1,0.6071428571428571,0.6035714285714285,0.5535714285714286,0.44642857142857145,0.30357142857142855,0.24642857142857144,0.22857142857142856,0.19285714285714287,0.475,0.36428571428571427,0.16071428571428573,0.14642857142857144,0.42142857142857143,0.1392857142857143,0.12857142857142856,0.46785714285714286,0.14642857142857144,0.14642857142857144,0.30357142857142855,0.17857142857142858,0.5142857142857142,0.4857142857142857,0.09642857142857143,0.5071428571428571
SteepestLocalSearchAlgorithm,Results,306,299,228,309,306,371,249,308,402,339,439,170,307,295,326,292,246,362,308,342,225,287,314,239,309,296,306,298,292,328,291,282,302,278,267,384,233,195,330,247,325,383,226,385,277,269,286,260,320,400,322,234,391,277,305,251,285,295,218,318,336,302,282,244,315,242,358,356,323,284,221,256,332,316,303,324,414,297,205,311,315,288,205,292,265,197,287,316,265,279,358,260,346,218,326,175,299,342,340,186
SteepestLocalSearchAlgorithm,Similarities,0.19285714285714287,0.42142857142857143,0.2785714285714286,0.29642857142857143,0.4392857142857143,0.5142857142857142,0.24285714285714285,0.5857142857142857,0.2,0.4714285714285714,0.325,0.625,0.20714285714285716,0.48928571428571427,0.5035714285714286,0.18571428571428572,0.25357142857142856,0.19285714285714287,0.37142857142857144,0.15,0.5321428571428571,0.46785714285714286,0.44642857142857145,0.5678571428571428,0.3607142857142857,0.375,0.5464285714285714,0.4857142857142857,0.425,0.48214285714285715,0.42857142857142855,0.1392857142857143,0.45,0.48214285714285715,0.3,0.19285714285714287,0.07857142857142857,0.5857142857142857,0.16428571428571428,0.5821428571428572,0.40714285714285714,0.17142857142857143,0.08928571428571429,0.19642857142857142,0.4607142857142857,0.5321428571428571,0.3607142857142857,0.5392857142857143,0.45714285714285713,0.16428571428571428,0.38571428571428573,0.45,0.44285714285714284,0.35,0.275,0.16071428571428573,0.37857142857142856,0.5142857142857142,0.42857142857142855,0.4714285714285714,0.3607142857142857,0.5535714285714286,0.5785714285714286,0.16785714285714284,0.2571428571428571,0.40714285714285714,0.44285714285714284,0.2714285714285714,0.13214285714285715,0.15714285714285714,0.5464285714285714,0.575,0.4,0.16071428571428573,0.41785714285714287,0.4785714285714286,0.18214285714285713,0.25,0.6428571428571429,0.32142857142857145,0.425,0.26071428571428573,0.6714285714285714,0.4785714285714286,0.5107142857142857,0.14285714285714285,0.37857142857142856,0.4035714285714286,0.5857142857142857,0.16428571428571428,0.18928571428571428,0.14285714285714285,0.2785714285714286,0.18571428571428572,0.44285714285714284,0.6392857142857142,0.5892857142857143,0.5178571428571429,0.2857142857142857,0.08928571428571429
RandomAlgorithm,Results,31852,30804,31036,30699,30004,31166,31126,31350,31738,32419,32320,32764,30834,31342,30329,33215,32532,32475,30335,31726,31889,31190,29641,32839,31397,30334,30934,32314,30706,31576,31343,31963,32284,29912,31856,31258,33046,30784,29651,30369,28426,30832,30832,31895,33628,32095,32524,32222,30678,30233,30594,31816,31162,33245,31637,31900,30662,32088,32845,31158,30915,31089,31037,30974,31840,31673,32373,32556,32075,32021,30354,31303,31224,29747,32718,32196,31781,32758,30534,32170,32645,33564,33030,30003,30569,31276,32805,30614,31886,32112,32138,31314,32628,30820,31982,31349,31943,29956,30142,30080
RandomAlgorithm,Similarities,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.0035714285714285713,0.007142857142857143,0.0035714285714285713,0.0,0.0035714285714285713,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.007142857142857143,0.0035714285714285713,0.0,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713,0.0,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.014285714285714285,0.0,0.0035714285714285713,0.0,0.0035714285714285713,0.007142857142857143,0.0,0.0,0.0,0.0,0.0035714285714285713,0.010714285714285714,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.010714285714285714,0.010714285714285714,0.0035714285714285713,0.010714285714285714,0.0035714285714285713,0.0035714285714285713,0.0,0.0035714285714285713,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0035714285714285713,0.0,0.007142857142857143,0.0,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713,0.007142857142857143,0.007142857142857143,0.0035714285714285713,0.0,0.007142857142857143,0.010714285714285714,0.0,0.0,0.0,0.0,0.010714285714285714,0.0,0.0,0.014285714285714285,0.0035714285714285713,0.0035714285714285713,0.0,0.0,0.010714285714285714,0.010714285714285714,0.0035714285714285713,0.0035714285714285713,0.007142857142857143,0.007142857142857143,0.0035714285714285713,0.007142857142857143,0.0035714285714285713,0.0,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713
HeuristicAlgorithm,Results,568,747,608,610,604,731,544,585,607,456,659,607,609,593,699,531,576,614,589,563,557,709,635,775,679,580,452,722,491,453,791,556,554,761,636,605,491,497,715,429,615,747,745,573,560,636,568,772,636,554,745,719,554,650,691,632,533,554,532,765,637,622,775,650,491,429,621,497,641,594,659,697,700,788,751,756,531,727,612,689,712,612,533,739,632,731,493,567,790,663,737,726,567,702,640,548,702,731,788,581
HeuristicAlgorithm,Similarities,0.48214285714285715,0.5321428571428571,0.35714285714285715,0.3357142857142857,0.39285714285714285,0.3678571428571429,0.4357142857142857,0.4,0.3535714285714286,0.25,0.3678571428571429,0.3535714285714286,0.37857142857142856,0.43214285714285716,0.3964285714285714,0.4642857142857143,0.4107142857142857,0.32857142857142857,0.37857142857142856,0.35714285714285715,0.35714285714285715,0.41785714285714287,0.31785714285714284,0.375,0.41785714285714287,0.37857142857142856,0.2392857142857143,0.3678571428571429,0.24642857142857144,0.25357142857142856,0.37857142857142856,0.425,0.35714285714285715,0.375,0.37857142857142856,0.3892857142857143,0.24642857142857144,0.26071428571428573,0.36428571428571427,0.24285714285714285,0.37857142857142856,0.5285714285714286,0.3678571428571429,0.43214285714285716,0.36428571428571427,0.375,0.48214285714285715,0.37857142857142856,0.34285714285714286,0.35714285714285715,0.3678571428571429,0.37857142857142856,0.3607142857142857,0.48214285714285715,0.48214285714285715,0.3892857142857143,0.32142857142857145,0.3678571428571429,0.325,0.3678571428571429,0.37857142857142856,0.31785714285714284,0.375,0.325,0.24642857142857144,0.24285714285714285,0.3892857142857143,0.26071428571428573,0.475,0.3892857142857143,0.3678571428571429,0.37142857142857144,0.38571428571428573,0.37857142857142856,0.3964285714285714,0.575,0.4,0.3821428571428571,0.32857142857142857,0.375,0.44285714285714284,0.4857142857142857,0.32142857142857145,0.575,0.37857142857142856,0.3678571428571429,0.25357142857142856,0.44642857142857145,0.5285714285714286,0.39285714285714285,0.5321428571428571,0.5392857142857143,0.44642857142857145,0.38571428571428573,0.3678571428571429,0.33214285714285713,0.38571428571428573,0.3678571428571429,0.37857142857142856,0.5357142857142857
