Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm  ,Results     ,4455                ,2028               ,4719                ,4218               ,1080               ,6661                ,6556                ,11014              ,1158              ,4216               ,4104               ,5275               ,3181               ,2802                ,1727               ,2234               ,5163                ,6109                ,4501               ,9698                ,2720               ,7791               ,6349               ,4038                ,5293              ,5490                ,4567                ,7646               ,4516               ,8119                ,2627                ,4709               ,2597                ,1866               ,6481                ,2974                ,3904               ,3634                ,3654                ,8818                ,3095                ,2471                ,2150               ,9709                ,5847                ,5541               ,9663               ,8687                ,4923               ,4246               ,6458                ,6608                ,1392               ,2824              ,11418              ,5098                ,3744               ,5928               ,7438               ,2240               ,7173                ,2224               ,3638               ,6413               ,5997                ,5052               ,7396              ,3302                ,4646               ,3744                ,3707               ,5106               ,2599                ,2106                ,6120               ,1793               ,3499                ,3863               ,8172               ,5161               ,3972               ,9749              ,2215               ,5670               ,7048               ,6815                ,10580              ,11238              ,2837                ,5190               ,6740               ,8131                ,2680                ,1428               ,2670              ,3198               ,2851                ,6421                ,6875               ,2318
GreedyLocalSearchAlgorithm  ,Similarities,0.10526315789473684 ,0.5263157894736842 ,0.4342105263157895  ,0.15789473684210525,0.02631578947368421,0.09210526315789473 ,0.5921052631578947  ,0.39473684210526316,0.6842105263157895,0.15789473684210525,0.7236842105263158 ,0.18421052631578946,0.7236842105263158 ,0.7236842105263158  ,0.19736842105263158,0.8026315789473685 ,0.5789473684210527  ,0.618421052631579   ,0.6447368421052632 ,0.09210526315789473 ,0.17105263157894737,0.21052631578947367,0.05263157894736842,0.07894736842105263 ,0.6052631578947368,0.6052631578947368  ,0.06578947368421052 ,0.25               ,0.10526315789473684,0.17105263157894737 ,0.8026315789473685  ,0.7631578947368421 ,0.07894736842105263 ,0.6710526315789473 ,0.5921052631578947  ,0.5921052631578947  ,0.42105263157894735,0.6710526315789473  ,0.6842105263157895  ,0.17105263157894737 ,0.7105263157894737  ,0.5394736842105263  ,0.09210526315789473,0.5131578947368421  ,0.17105263157894737 ,0.17105263157894737,0.2631578947368421 ,0.5789473684210527  ,0.4868421052631579 ,0.18421052631578946,0.19736842105263158 ,0.10526315789473684 ,0.10526315789473684,0.6578947368421053,0.4868421052631579 ,0.11842105263157894 ,0.5657894736842105 ,0.5394736842105263 ,0.5526315789473685 ,0.6842105263157895 ,0.14473684210526316 ,0.06578947368421052,0.2236842105263158 ,0.18421052631578946,0.47368421052631576 ,0.631578947368421  ,0.5394736842105263,0.17105263157894737 ,0.14473684210526316,0.11842105263157894 ,0.14473684210526316,0.631578947368421  ,0.5789473684210527  ,0.7894736842105263  ,0.5131578947368421 ,0.7368421052631579 ,0.6973684210526315  ,0.5526315789473685 ,0.2894736842105263 ,0.5131578947368421 ,0.09210526315789473,0.5526315789473685,0.5921052631578947 ,0.6052631578947368 ,0.6842105263157895 ,0.5921052631578947  ,0.14473684210526316,0.21052631578947367,0.7763157894736842  ,0.10526315789473684,0.21052631578947367,0.09210526315789473 ,0.6842105263157895  ,0.17105263157894737,0.5657894736842105,0.14473684210526316,0.7631578947368421  ,0.10526315789473684 ,0.5394736842105263 ,0.09210526315789473
SteepestLocalSearchAlgorithm,Results     ,3499                ,2619               ,5695                ,4065               ,7916               ,8293                ,7931                ,3870               ,9131              ,5550               ,6307               ,8457               ,4319               ,4566                ,3523               ,3973               ,5600                ,5699                ,4442               ,5415                ,5051               ,6737               ,4303               ,3052                ,4571              ,4296                ,3456                ,9062               ,7940               ,6804                ,3534                ,4283               ,7421                ,4403               ,9326                ,6512                ,2680               ,4723                ,6229                ,7534                ,4949                ,3883                ,4034               ,5640                ,3438                ,5860               ,1182               ,7502                ,3031               ,3629               ,6719                ,6701                ,12407              ,3390              ,7277               ,4504                ,3892               ,5007               ,3160               ,5059               ,5557                ,7918               ,4896               ,6768               ,2140                ,2039               ,6525              ,6897                ,3993               ,3647                ,4769               ,5747               ,3877                ,3996                ,4933               ,1716               ,3450                ,8160               ,5101               ,4918               ,8402               ,751               ,6370               ,3719               ,5492               ,5491                ,1706               ,3211               ,5158                ,2554               ,2251               ,5695                ,3528                ,3310               ,3574              ,4308               ,4480                ,13384               ,5868               ,2773
SteepestLocalSearchAlgorithm,Similarities,0.5394736842105263  ,0.6973684210526315 ,0.15789473684210525 ,0.05263157894736842,0.17105263157894737,0.15789473684210525 ,0.4342105263157895  ,0.4868421052631579 ,0.631578947368421 ,0.10526315789473684,0.18421052631578946,0.2894736842105263 ,0.19736842105263158,0.4605263157894737  ,0.2236842105263158 ,0.27631578947368424,0.6447368421052632  ,0.4473684210526316  ,0.6578947368421053 ,0.25                ,0.21052631578947367,0.2631578947368421 ,0.5394736842105263 ,0.17105263157894737 ,0.7368421052631579,0.5789473684210527  ,0.5789473684210527  ,0.39473684210526316,0.34210526315789475,0.5657894736842105  ,0.06578947368421052 ,0.6052631578947368 ,0.47368421052631576 ,0.09210526315789473,0.5263157894736842  ,0.5526315789473685  ,0.8026315789473685 ,0.5526315789473685  ,0.19736842105263158 ,0.35526315789473684 ,0.23684210526315788 ,0.23684210526315788 ,0.06578947368421052,0.2631578947368421  ,0.15789473684210525 ,0.4605263157894737 ,0.7763157894736842 ,0.14473684210526316 ,0.05263157894736842,0.09210526315789473,0.5526315789473685  ,0.6052631578947368  ,0.4342105263157895 ,0.5789473684210527,0.3157894736842105 ,0.5789473684210527  ,0.15789473684210525,0.19736842105263158,0.2236842105263158 ,0.17105263157894737,0.14473684210526316 ,0.4605263157894737 ,0.07894736842105263,0.47368421052631576,0.6578947368421053  ,0.5263157894736842 ,0.6578947368421053,0.25                ,0.618421052631579  ,0.14473684210526316 ,0.5263157894736842 ,0.2631578947368421 ,0.18421052631578946 ,0.6052631578947368  ,0.19736842105263158,0.6973684210526315 ,0.7105263157894737  ,0.27631578947368424,0.15789473684210525,0.6710526315789473 ,0.6447368421052632 ,0.8289473684210527,0.5657894736842105 ,0.07894736842105263,0.4868421052631579 ,0.2236842105263158  ,0.21052631578947367,0.18421052631578946,0.6973684210526315  ,0.05263157894736842,0.15789473684210525,0.09210526315789473 ,0.5263157894736842  ,0.5526315789473685 ,0.5789473684210527,0.07894736842105263,0.5                 ,0.10526315789473684 ,0.09210526315789473,0.7236842105263158
RandomAlgorithm             ,Results     ,492912              ,429715             ,484847              ,454700             ,446592             ,457957              ,448108              ,486613             ,552629            ,470792             ,480147             ,483882             ,407308             ,428357              ,512187             ,469635             ,480323              ,417161              ,475722             ,522469              ,465083             ,451242             ,497969             ,479885              ,497047            ,415515              ,490602              ,507478             ,453691             ,465055              ,469072              ,451097             ,448450              ,464437             ,475190              ,522846              ,436789             ,476588              ,487327              ,517633              ,477175              ,464680              ,480346             ,451944              ,489310              ,432546             ,426879             ,487121              ,423144             ,531737             ,472154              ,430601              ,483803             ,472403            ,480622             ,507849              ,466076             ,498861             ,459153             ,487938             ,472310              ,452685             ,477184             ,474668             ,419820              ,444524             ,475382            ,447763              ,433762             ,500967              ,499112             ,466457             ,458003              ,447287              ,488961             ,461006             ,497221              ,433447             ,458422             ,457864             ,453459             ,419960            ,469685             ,436557             ,457044             ,462505              ,413749             ,441935             ,449091              ,441893             ,447080             ,501681              ,466634              ,410227             ,462529            ,463941             ,503605              ,474492              ,458541             ,444454
RandomAlgorithm             ,Similarities,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.0                ,0.013157894736842105,0.013157894736842105,0.0                ,0.0               ,0.0                ,0.02631578947368421,0.0                ,0.02631578947368421,0.013157894736842105,0.0                ,0.0                ,0.013157894736842105,0.039473684210526314,0.0                ,0.013157894736842105,0.0                ,0.05263157894736842,0.0                ,0.013157894736842105,0.0               ,0.039473684210526314,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.0                ,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0                ,0.039473684210526314,0.013157894736842105,0.0                ,0.0                ,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.0               ,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.0                ,0.0                ,0.039473684210526314,0.0                ,0.0                ,0.0                ,0.013157894736842105,0.02631578947368421,0.0               ,0.013157894736842105,0.0                ,0.013157894736842105,0.0                ,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.0                ,0.0                ,0.02631578947368421,0.0                ,0.0               ,0.02631578947368421,0.0                ,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.0                ,0.013157894736842105,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.06578947368421052,0.0               ,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.02631578947368421
HeuristicsAlgorithm         ,Results     ,35653               ,38409              ,29774               ,34451              ,38977              ,39600               ,41079               ,29774              ,35653             ,26235              ,27741              ,38409              ,32315              ,43156               ,39063              ,23448              ,40186               ,45303               ,37663              ,23448               ,34937              ,48914              ,41079              ,27242               ,32315             ,24015               ,37700               ,46334              ,48914              ,46851               ,41586               ,27242              ,40186               ,46681              ,42947               ,48724               ,42847              ,34013               ,42641               ,27242               ,43782               ,38977               ,39740              ,35653               ,43492               ,23448              ,42847              ,42847               ,43125              ,22762              ,43156               ,43492               ,43506              ,46883             ,43209              ,26527               ,40657              ,46549              ,24015              ,43492              ,42117               ,39561              ,34301              ,42980              ,37663               ,32315              ,32315             ,31476               ,38707              ,39740               ,25736              ,41740              ,42234               ,41740               ,24015              ,41410              ,46681               ,33429              ,42847              ,38707              ,40657              ,43209             ,39740              ,43156              ,41586              ,32941               ,34937              ,43200              ,25736               ,32941              ,25736              ,37663               ,43200               ,24015              ,42346             ,45362              ,42117               ,27242               ,43200              ,43156
HeuristicsAlgorithm         ,Similarities,0.2894736842105263  ,0.34210526315789475,0.3815789473684211  ,0.3026315789473684 ,0.35526315789473684,0.5                 ,0.3815789473684211  ,0.3815789473684211 ,0.2894736842105263,0.39473684210526316,0.21052631578947367,0.34210526315789475,0.4473684210526316 ,0.5131578947368421  ,0.42105263157894735,0.2631578947368421 ,0.4342105263157895  ,0.2631578947368421  ,0.27631578947368424,0.2631578947368421  ,0.40789473684210525,0.2894736842105263 ,0.3815789473684211 ,0.19736842105263158 ,0.4473684210526316,0.32894736842105265 ,0.35526315789473684 ,0.2631578947368421 ,0.2894736842105263 ,0.4868421052631579  ,0.2631578947368421  ,0.19736842105263158,0.4342105263157895  ,0.35526315789473684,0.5                 ,0.5131578947368421  ,0.34210526315789475,0.47368421052631576 ,0.3815789473684211  ,0.19736842105263158 ,0.27631578947368424 ,0.35526315789473684 ,0.4605263157894737 ,0.2894736842105263  ,0.4605263157894737  ,0.2631578947368421 ,0.34210526315789475,0.34210526315789475 ,0.47368421052631576,0.21052631578947367,0.5131578947368421  ,0.4605263157894737  ,0.5                ,0.4868421052631579,0.4605263157894737 ,0.39473684210526316 ,0.2631578947368421 ,0.5131578947368421 ,0.32894736842105265,0.4605263157894737 ,0.4605263157894737  ,0.27631578947368424,0.4473684210526316 ,0.2894736842105263 ,0.27631578947368424 ,0.4473684210526316 ,0.4473684210526316,0.42105263157894735 ,0.3815789473684211 ,0.4605263157894737  ,0.2236842105263158 ,0.5131578947368421 ,0.27631578947368424 ,0.5131578947368421  ,0.32894736842105265,0.4605263157894737 ,0.35526315789473684 ,0.3026315789473684 ,0.34210526315789475,0.3815789473684211 ,0.2631578947368421 ,0.4605263157894737,0.4605263157894737 ,0.5131578947368421 ,0.2631578947368421 ,0.4342105263157895  ,0.40789473684210525,0.4342105263157895 ,0.2236842105263158  ,0.4342105263157895 ,0.2236842105263158 ,0.27631578947368424 ,0.4342105263157895  ,0.32894736842105265,0.2631578947368421,0.40789473684210525,0.4605263157894737  ,0.19736842105263158 ,0.4342105263157895 ,0.5131578947368421
