Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,34,48,48,21,21,57,52,45,65,44,49,48,36,43,43,54,48,51,31,45,63,60,32,52,44,42,71,57,58,76,52,46,41,38,52,57,63,66,13,27,48,64,53,28,61,41,39,35,80,34,40,50,59,45,48,39,60,33,44,33,45,37,57,36,64,32,48,38,40,41,52,47,48,50,46,57,59,60,59,48,47,66,67,48,50,50,52,45,34,25,43,44,57,24,21,61,47,38,43,57
GreedyLocalSearchAlgorithm,Similarities,0.1188118811881188,0.2871287128712871,0.16831683168316833,0.0891089108910891,0.0594059405940594,0.46534653465346537,0.16831683168316833,0.37623762376237624,0.4158415841584158,0.43564356435643564,0.43564356435643564,0.18811881188118812,0.19801980198019803,0.19801980198019803,0.18811881188118812,0.21782178217821782,0.4158415841584158,0.18811881188118812,0.06930693069306931,0.39603960396039606,0.3069306930693069,0.12871287128712872,0.22772277227722773,0.3564356435643564,0.48514851485148514,0.2376237623762376,0.3564356435643564,0.13861386138613863,0.1782178217821782,0.2871287128712871,0.5544554455445545,0.31683168316831684,0.4158415841584158,0.1485148514851485,0.13861386138613863,0.2079207920792079,0.33663366336633666,0.43564356435643564,0.594059405940594,0.12871287128712872,0.31683168316831684,0.33663366336633666,0.26732673267326734,0.504950495049505,0.15841584158415842,0.12871287128712872,0.10891089108910891,0.4158415841584158,0.26732673267326734,0.49504950495049505,0.09900990099009901,0.1782178217821782,0.3069306930693069,0.3465346534653465,0.39603960396039606,0.45544554455445546,0.3564356435643564,0.06930693069306931,0.297029702970297,0.10891089108910891,0.22772277227722773,0.44554455445544555,0.16831683168316833,0.10891089108910891,0.18811881188118812,0.49504950495049505,0.38613861386138615,0.26732673267326734,0.2376237623762376,0.504950495049505,0.38613861386138615,0.40594059405940597,0.10891089108910891,0.10891089108910891,0.07920792079207921,0.0891089108910891,0.1188118811881188,0.16831683168316833,0.25742574257425743,0.3564356435643564,0.32673267326732675,0.2376237623762376,0.5346534653465347,0.33663366336633666,0.26732673267326734,0.36633663366336633,0.13861386138613863,0.1782178217821782,0.27722772277227725,0.0891089108910891,0.2376237623762376,0.44554455445544555,0.2376237623762376,0.09900990099009901,0.6534653465346535,0.3069306930693069,0.3564356435643564,0.5148514851485149,0.1782178217821782,0.36633663366336633
SteepestLocalSearchAlgorithm,Results,56,63,54,36,57,48,81,45,49,64,48,67,42,42,41,48,44,40,50,48,65,67,70,52,57,39,52,60,59,65,47,60,61,53,46,55,51,49,43,60,26,70,45,49,48,40,49,64,61,54,59,57,56,48,51,65,68,51,63,45,54,41,71,42,48,64,39,64,48,61,68,66,69,66,67,68,58,75,43,67,45,64,53,62,48,57,64,91,43,44,50,46,39,52,48,80,43,46,58,60
SteepestLocalSearchAlgorithm,Similarities,0.12871287128712872,0.33663366336633666,0.42574257425742573,0.2376237623762376,0.297029702970297,0.3564356435643564,0.15841584158415842,0.09900990099009901,0.2079207920792079,0.3465346534653465,0.07920792079207921,0.39603960396039606,0.25742574257425743,0.15841584158415842,0.39603960396039606,0.5148514851485149,0.1485148514851485,0.5148514851485149,0.3564356435643564,0.09900990099009901,0.15841584158415842,0.31683168316831684,0.22772277227722773,0.39603960396039606,0.37623762376237624,0.25742574257425743,0.27722772277227725,0.12871287128712872,0.2079207920792079,0.24752475247524752,0.39603960396039606,0.4158415841584158,0.24752475247524752,0.2376237623762376,0.32673267326732675,0.0891089108910891,0.2376237623762376,0.5148514851485149,0.13861386138613863,0.45544554455445546,0.0891089108910891,0.15841584158415842,0.15841584158415842,0.16831683168316833,0.1782178217821782,0.5148514851485149,0.4158415841584158,0.33663366336633666,0.24752475247524752,0.0594059405940594,0.15841584158415842,0.42574257425742573,0.31683168316831684,0.46534653465346537,0.45544554455445546,0.2079207920792079,0.4158415841584158,0.1188118811881188,0.32673267326732675,0.44554455445544555,0.5346534653465347,0.22772277227722773,0.24752475247524752,0.1782178217821782,0.33663366336633666,0.1782178217821782,0.3069306930693069,0.36633663366336633,0.12871287128712872,0.3069306930693069,0.22772277227722773,0.12871287128712872,0.2871287128712871,0.43564356435643564,0.40594059405940597,0.1782178217821782,0.3465346534653465,0.24752475247524752,0.38613861386138615,0.19801980198019803,0.10891089108910891,0.21782178217821782,0.48514851485148514,0.297029702970297,0.2079207920792079,0.45544554455445546,0.32673267326732675,0.32673267326732675,0.25742574257425743,0.48514851485148514,0.1782178217821782,0.5742574257425742,0.33663366336633666,0.24752475247524752,0.43564356435643564,0.3069306930693069,0.49504950495049505,0.16831683168316833,0.33663366336633666,0.2376237623762376
RandomAlgorithm,Results,2903,2887,2741,2915,2889,2776,2895,2818,2837,3183,2770,2752,2662,2786,2878,3004,2721,2679,2758,2659,2887,2733,2805,2620,2817,2608,2721,2777,2834,2594,2693,2751,2823,2879,2942,2905,2968,2963,3074,2693,2886,2789,3046,2997,2614,2843,2747,2592,2678,2716,2764,2636,2803,2789,2800,2743,3045,2701,2445,3068,2989,2646,3060,2787,2868,2950,2847,3041,3000,2663,2715,2763,2888,2853,3042,2808,2706,2928,2649,2875,2721,2785,2775,2861,2748,2805,2707,2957,2523,2788,2616,2698,2780,2824,2905,2944,2686,2862,2750,2878
RandomAlgorithm,Similarities,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.0,0.019801980198019802,0.009900990099009901,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0297029702970297,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.019801980198019802,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.0,0.0,0.0,0.019801980198019802,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.019801980198019802,0.0,0.009900990099009901,0.0297029702970297,0.019801980198019802,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0297029702970297,0.009900990099009901,0.0,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.0297029702970297,0.0,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.0297029702970297,0.019801980198019802,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.019801980198019802,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.019801980198019802,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901
HeuristicsAlgorithm,Results,148,117,250,179,263,166,180,222,157,222,200,149,149,200,253,275,166,185,227,252,261,145,177,280,133,224,221,261,155,261,225,134,284,186,222,200,179,155,221,148,210,261,144,198,275,227,149,263,265,263,222,257,252,156,252,149,207,231,257,212,199,185,177,209,198,166,229,224,157,225,252,200,227,200,265,211,149,210,218,191,209,151,148,149,200,151,221,133,227,194,156,228,255,224,221,224,275,209,209,224
HeuristicsAlgorithm,Similarities,0.27722772277227725,0.27722772277227725,0.40594059405940597,0.18811881188118812,0.39603960396039606,0.31683168316831684,0.3069306930693069,0.40594059405940597,0.2079207920792079,0.33663366336633666,0.36633663366336633,0.19801980198019803,0.297029702970297,0.36633663366336633,0.40594059405940597,0.40594059405940597,0.31683168316831684,0.3069306930693069,0.2376237623762376,0.39603960396039606,0.31683168316831684,0.3069306930693069,0.25742574257425743,0.4158415841584158,0.297029702970297,0.33663366336633666,0.33663366336633666,0.3465346534653465,0.2079207920792079,0.3465346534653465,0.36633663366336633,0.2871287128712871,0.40594059405940597,0.2871287128712871,0.40594059405940597,0.27722772277227725,0.3069306930693069,0.26732673267326734,0.38613861386138615,0.21782178217821782,0.3465346534653465,0.31683168316831684,0.27722772277227725,0.33663366336633666,0.40594059405940597,0.36633663366336633,0.297029702970297,0.3465346534653465,0.38613861386138615,0.3465346534653465,0.33663366336633666,0.39603960396039606,0.39603960396039606,0.2871287128712871,0.39603960396039606,0.19801980198019803,0.2376237623762376,0.33663366336633666,0.39603960396039606,0.1782178217821782,0.25742574257425743,0.3069306930693069,0.25742574257425743,0.27722772277227725,0.3564356435643564,0.31683168316831684,0.3564356435643564,0.33663366336633666,0.2079207920792079,0.36633663366336633,0.39603960396039606,0.27722772277227725,0.36633663366336633,0.27722772277227725,0.38613861386138615,0.32673267326732675,0.297029702970297,0.36633663366336633,0.37623762376237624,0.32673267326732675,0.27722772277227725,0.297029702970297,0.27722772277227725,0.19801980198019803,0.3564356435643564,0.297029702970297,0.38613861386138615,0.297029702970297,0.33663366336633666,0.39603960396039606,0.2871287128712871,0.42574257425742573,0.40594059405940597,0.33663366336633666,0.38613861386138615,0.33663366336633666,0.40594059405940597,0.27722772277227725,0.27722772277227725,0.42574257425742573
