Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,1327,946,534,740,907,1982,2091,1362,1367,930,1946,1423,639,515,1711,1116,701,965,1325,523,1641,568,804,743,577,1925,1146,1071,1558,757,1910,1817,896,1305,1747,1385,1267,2595,1418,2290,671,1227,1312,1110,1717,582,1393,1505,745,993,1414,1229,845,1650,1055,1043,812,846,1714,1092,1446,1413,1476,1255,663,1890,1770,1407,938,1493,1182,702,854,805,898,1294,1314,1946,1447,1532,1537,1423,844,1717,513,1038,1257,986,642,759,1284,1218,1534,1064,1975,2144,1044,1515,1725,120
GreedyLocalSearchAlgorithm,Similarities,0.64,0.68,0.69,0.08,0.64,0.46,0.57,0.59,0.59,0.63,0.07,0.44,0.72,0.74,0.14,0.69,0.08,0.58,0.71,0.05,0.19,0.79,0.12,0.01,0.6,0.5,0.59,0.08,0.06,0.8,0.09,0.65,0.76,0.07,0.6,0.59,0.1,0.09,0.51,0.48,0.68,0.51,0.18,0.06,0.62,0.07,0.52,0.14,0.07,0.13,0.1,0.07,0.52,0.05,0.72,0.05,0.59,0.07,0.19,0.13,0.53,0.65,0.48,0.19,0.75,0.59,0.6,0.16,0.04,0.14,0.49,0.08,0.69,0.66,0.09,0.57,0.71,0.2,0.58,0.62,0.12,0.1,0.17,0.1,0.75,0.09,0.65,0.68,0.06,0.66,0.54,0.1,0.62,0.68,0.16,0.51,0.57,0.17,0.56,0.02
SteepestLocalSearchAlgorithm,Results,2035,2212,1036,1533,1068,970,2304,1150,1732,1159,1575,1476,2285,2756,1071,2061,1053,1962,1070,2287,1142,1976,1493,1177,697,1959,902,1434,2518,1358,1723,924,1739,1570,994,1743,497,1160,1549,2074,1837,1396,1242,2012,943,1783,1625,2765,1727,1022,690,2137,1460,2270,1664,1254,2142,1959,939,1071,950,1764,949,2750,861,1153,1892,731,1814,1170,1809,1254,1448,1644,1579,2053,1759,1200,1567,1214,2345,1747,1063,2297,2061,2613,981,1196,797,1973,1503,2212,2097,2612,1626,1381,842,1608,1766,1437
SteepestLocalSearchAlgorithm,Similarities,0.17,0.1,0.49,0.12,0.66,0.7,0.22,0.04,0.08,0.14,0.09,0.63,0.11,0.56,0.62,0.53,0.1,0.06,0.1,0.47,0.13,0.44,0.55,0.7,0.13,0.55,0.03,0.66,0.13,0.13,0.65,0.73,0.14,0.13,0.75,0.23,0.73,0.64,0.09,0.1,0.65,0.06,0.61,0.69,0.13,0.18,0.16,0.52,0.15,0.08,0.05,0.11,0.61,0.5,0.09,0.06,0.12,0.16,0.63,0.13,0.13,0.63,0.59,0.1,0.1,0.52,0.07,0.09,0.64,0.14,0.15,0.64,0.49,0.1,0.14,0.13,0.44,0.68,0.6,0.76,0.13,0.08,0.11,0.13,0.55,0.2,0.14,0.55,0.64,0.56,0.05,0.06,0.43,0.59,0.6,0.09,0.06,0.1,0.65,0.66
RandomAlgorithm,Results,136110,157864,143201,136005,131063,144770,136374,135760,129230,146804,138406,140926,160163,154430,147282,151793,149698,160557,151143,147854,147713,148894,148884,132061,143477,128782,147545,145544,131482,138524,149284,139773,138001,143882,144137,140384,136270,130622,143137,128708,142594,141475,132153,129767,154223,134200,142776,138951,138450,133133,129354,150620,147439,139114,133193,137565,147608,151798,150020,152908,109626,141368,141761,144581,135077,136226,140847,135102,132222,143978,146978,137254,130464,141450,131918,145854,136604,137030,155770,131883,139495,130624,145052,132935,152031,135967,146044,149022,137412,139862,152978,146269,142117,152529,130506,128473,154133,136818,142864,139230
RandomAlgorithm,Similarities,0.02,0.0,0.01,0.03,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.01,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.04,0.02,0.0,0.03,0.04,0.0,0.0,0.02,0.0,0.0,0.03,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.0,0.03,0.02,0.02,0.04,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.03,0.0,0.0
HeuristicsAlgorithm,Results,5088,8197,6920,5730,6577,7144,6502,6694,8627,5868,6873,7287,6873,6495,6991,5868,6502,6312,7420,7904,6312,8197,4413,6535,6941,7189,6873,7032,5103,6647,6467,6767,7087,6577,5301,5267,4413,6460,6854,7146,8197,5653,6620,6146,5213,7536,8197,7146,7032,5877,7536,6020,5600,7420,5868,6169,7189,6616,6399,5653,6694,6647,6116,8123,5868,4006,6088,7140,6985,4413,3732,4006,7087,3829,3732,6991,7132,6223,3829,6873,5385,3745,5730,3954,6985,5241,3584,7287,6444,3732,7320,5912,6280,3843,5385,6134,3584,5267,5912,6873
HeuristicsAlgorithm,Similarities,0.33,0.3,0.27,0.34,0.37,0.32,0.3,0.35,0.29,0.27,0.37,0.33,0.37,0.29,0.33,0.27,0.3,0.38,0.38,0.31,0.38,0.3,0.49,0.3,0.28,0.33,0.37,0.35,0.34,0.34,0.34,0.28,0.28,0.37,0.36,0.32,0.49,0.31,0.28,0.34,0.3,0.37,0.39,0.29,0.39,0.3,0.3,0.34,0.35,0.33,0.3,0.3,0.32,0.38,0.27,0.33,0.33,0.35,0.38,0.37,0.35,0.34,0.32,0.31,0.27,0.41,0.29,0.28,0.34,0.49,0.52,0.41,0.28,0.52,0.52,0.33,0.28,0.35,0.52,0.37,0.33,0.5,0.34,0.43,0.34,0.34,0.49,0.33,0.32,0.52,0.34,0.32,0.32,0.5,0.33,0.27,0.49,0.32,0.32,0.37
