Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,140011,145252,155065,140176,146665,156671,146848,151407,148045,149313,151493,143018,149549,152355,157196,151741,141123,155564,158328,144967,146824,142147,159570,147987,152729,146416,156395,137354,140086,136172,157051,149490,149182,143574,146596,135826,152413,155542,160291,149158,148073,154858,145180,147534,152159,156611,146387,157276,140309,140072,149001,151946,160950,161143,152200,162607,159776,156298,142298,149634,145825,144637,154561,168034,152754,145360,150035,155043,139042,157519,159611,149080,140317,147547,152420,145059,136523,151847,155125,163376,140998,156966,135219,155587,150452,142520,157666,149467,146264,157721,140068,154253,166235,146066,160432,143372,157229,146501,159275,150630,147235,145579,148985,144521,151248,134061,145107,145251,155515,147859,167702,133720,166156,148978,129640,148796,164073,157626,144369,153604,152805,151593,155703,154941,144144,145366,157076,158489,160531,147219,161312,147761,156486,156077,164089,160958,132237,137504,154420,146925,150828,148094,140944,150382,147607,160440,157646,154144,153088,136870,147921,143235,150315,139176,152953,134591,151231,146460,132225,144774,144178,145521,152024,151767,147647,159623,144664,145930,139694,151246,167816,147954,133712,152685,160425,130220,150203,162224,152971,145704,154363,151257,152048,142104,151365,151629,145709,137165,164640,144935,138888,144578,160875,159549,152203,142326,149472,142372,153597,128805
GreedyLocalSearchAlgorithm,FinalResult,639,1976,849,877,1212,1436,944,724,594,1731,405,1769,1273,899,596,1973,2379,677,2108,583,719,724,1381,1013,1745,1585,1789,1894,1314,1720,1036,355,1663,1139,784,2530,283,494,2019,1692,401,1591,452,2668,1695,2173,1693,815,1382,1980,1259,749,1391,1549,1377,1808,2042,1476,1251,1541,1470,2008,257,1018,649,630,1434,1607,2643,1128,1755,768,726,1437,648,1118,2193,883,939,1503,864,1370,959,887,657,747,1781,1562,532,2100,1291,710,1057,1395,862,771,1900,1078,1412,1650,1754,1206,1991,1428,1268,2477,1438,1583,272,1481,2274,2309,781,3108,946,1378,1188,1423,317,2843,561,1976,608,1706,647,1082,609,1299,2574,1287,875,746,1528,888,565,1725,651,1660,697,1125,610,2450,1060,1716,1791,1630,1023,692,1551,1423,591,366,3067,1134,986,852,1336,1754,1003,470,1645,1566,736,424,1681,973,1945,1747,1062,731,1194,1061,649,1730,1032,879,650,1670,1051,1672,2033,1082,1030,744,837,1926,1147,955,469,623,1305,697,1455,853,2033,1210,1435,585,1801,1303
SteepestLocalSearchAlgorithm,StartResult,150728,142907,139271,156860,157627,153451,155133,131318,158632,148976,131804,130209,142669,157156,149744,147530,144717,146698,145478,146399,151697,152840,145488,156108,153679,146073,145910,151767,159003,154304,148314,138087,142106,150691,146918,151669,159880,144587,139651,148541,136053,151959,144943,155838,155414,148301,144904,145643,147074,151224,150607,157796,139506,140644,151952,144761,144090,150771,139844,167870,148472,140776,155238,144176,145275,147668,152818,144511,144172,135457,141582,150838,146885,154111,161065,139731,154957,151280,148743,150601,153377,157851,161118,117880,149949,145641,141204,149575,151052,163655,142391,147722,151218,147859,126857,151319,151901,141158,137126,136806,149683,147946,143589,156660,127861,139623,153360,145899,147259,139391,139314,153042,139004,136171,153344,147839,137763,150551,151343,151663,164131,143959,141871,159453,133589,135785,142413,146272,160105,144086,147653,155070,148112,148596,144254,140244,152840,160402,155001,147224,147156,138491,160083,150764,150454,142420,146512,150284,155749,136517,135796,167545,141108,143278,148208,146861,137550,139160,155037,150716,140829,161606,148410,140835,150608,157691,159596,154656,138644,144745,140380,143118,149084,143231,145594,143902,141096,138219,162264,155499,156412,134116,161735,148862,152838,165371,150573,147229,153694,150446,142182,132437,154109,152510,148460,154808,165048,164542,144556,156810
SteepestLocalSearchAlgorithm,FinalResult,2809,1285,1901,207,1791,1502,1865,950,2232,3603,1239,1523,424,1966,1752,2017,891,2564,2308,504,2586,2467,2013,1411,1351,563,268,2090,1746,701,2478,1653,909,1713,2121,1395,1756,1611,1115,1269,565,2688,2050,866,2430,2690,2610,1303,1835,1285,330,2317,1281,1595,2023,3875,1492,320,1704,2020,1568,1827,1418,2193,1334,1916,1285,2262,2220,846,1110,793,2557,2555,1406,2061,3214,2119,826,1025,1095,1536,2526,1970,2133,2543,884,769,3724,493,1464,2692,1116,949,2342,2720,1153,1944,2093,1446,1006,1826,1764,1065,1581,480,415,845,438,1728,1743,2525,1731,673,977,2309,1660,1586,1758,2629,672,1567,2671,2184,2538,940,1960,1250,2584,754,1946,1676,1615,806,2381,1984,1468,1789,1644,3095,1147,1636,735,881,1824,3043,1045,1011,1986,1866,1017,2548,3147,1355,1647,2395,596,2612,3081,2410,1850,325,1975,1253,2404,974,1536,1460,2064,2745,901,2173,713,2324,1006,1303,2420,955,1219,838,1397,1708,1622,436,1244,991,2633,1425,2148,931,1200,2125,1984,2607,1357,2802,1554,1527,1130,1737
