Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,31550,31476,30670,29866,31026,30119,30295,30737,30963,32345,32567,30297,31940,30997,31307,31096,29610,32257,30617,31385,32355,29207,29856,29978,31229,30920,31964,30748,30060,31735,31098,32712,31346,31532,32378,30721,31257,31576,32917,33316,32772,33619,32836,29126,30683,32110,32174,29820,31642,30252,32170,31936,30778,32864,32142,30057,32272,30178,31302,31299,32033,31458,31067,31413,30912,31004,30604,31216,32225,32106,32212,32194,33298,30047,33141,31663,31923,29279,30843,31862,31157,31972,31527,31427,31377,30253,31180,33890,30612,32647,32027,30213,31720,30721,29489,31252,30448,32544,31183,30130,31805,32609,32778,30261,32984,32034,30153,31513,31066,31086,31944,33279,29450,31052,30079,33197,29060,31129,30044,31192,31542,32169,30709,31886,31570,30871,30414,32659,32821,32793,33541,30549,31068,30632,31250,32887,31107,31408,28526,30984,31628,31687,32581,32364,30801,32608,31967,32665,32709,31712,31279,31679,31150,31205,32636,30853,29824,31203,29930,33115,33436,30491,33201,31299,31350,33121,30510,31916,33055,31061,30681,30839,31523,30996,30218,33274,31467,32186,31345,31528,29620,29612,32204,30870,32456,32920,32418,31148,31156,30581,30534,29126,29566,32137,30695,31373,30734,28476,31914,31702
GreedyLocalSearchAlgorithm,FinalResult,371,255,329,188,207,273,265,224,253,266,278,229,224,272,233,246,134,274,255,272,262,260,345,289,241,189,303,207,219,296,217,225,184,275,191,242,133,273,260,285,216,253,206,241,327,214,222,220,204,225,246,171,269,168,312,249,282,241,165,246,219,217,261,198,298,260,210,203,274,100,349,117,325,312,191,244,268,162,236,186,145,222,245,217,314,163,243,198,267,171,227,230,279,165,166,255,301,251,209,333,236,252,215,314,157,311,225,224,280,261,133,156,196,232,285,232,182,177,314,221,138,339,248,194,245,217,289,160,201,246,316,246,168,292,257,269,232,175,332,236,222,233,243,228,243,156,194,132,272,175,269,162,160,136,339,248,149,175,318,212,241,188,178,290,200,239,288,149,231,180,279,220,224,214,280,199,137,145,187,282,155,198,213,247,267,273,188,183,268,305,206,156,134,268,222,274,256,208,293,248
SteepestLocalSearchAlgorithm,StartResult,29500,32754,31553,31181,32697,31647,30739,31871,31995,31643,30649,31270,32916,31451,32389,32002,31943,30338,30154,32458,29833,30743,31933,30771,32956,29640,33556,33203,31929,32822,31299,30774,30359,31182,31552,32353,31816,31916,31089,31480,31425,31118,32991,32811,31919,31577,31304,31685,31596,29993,31522,32224,30449,31899,30852,30864,31093,31336,29386,31520,33389,31077,33305,32011,30842,31761,31051,31100,33728,32262,31227,29541,31337,30442,30541,30781,32196,31707,31207,31984,32641,31565,30895,30164,32743,31774,30309,31913,31522,32294,29125,33185,32168,30837,32626,28967,31062,32815,31579,29220,32049,31944,30790,31857,32303,29765,31572,29471,30921,32576,30410,32315,31073,31326,31661,30837,32479,31017,30984,32114,29997,31857,31651,33493,30113,31626,30753,31017,31734,33402,30761,31034,34028,31767,32058,30656,31205,32045,30679,30185,31890,31203,31431,32934,31387,30648,30648,31601,32200,31888,32127,30530,30441,29484,31620,32718,31912,32960,30203,31234,33158,31150,30250,32086,31148,32122,31673,31927,31696,32720,32026,29739,31273,31951,32109,30021,32114,31432,33632,31451,31533,32212,31887,32849,31081,32227,32079,32784,32465,32057,31135,31356,31505,31964,31060,31713,32540,33729,32119,32207
SteepestLocalSearchAlgorithm,FinalResult,314,292,208,266,270,276,297,388,363,302,316,258,352,428,234,226,308,230,310,415,248,281,252,261,254,308,386,342,309,362,297,388,405,283,330,333,303,404,245,317,323,317,283,301,296,221,386,353,329,245,277,412,342,317,181,263,297,337,305,276,257,202,320,333,334,288,370,287,270,220,353,341,347,307,322,392,358,315,290,258,289,301,290,274,255,402,362,212,384,276,280,359,296,253,226,307,231,244,269,376,237,363,340,364,324,334,339,210,455,267,213,253,248,403,277,240,243,339,356,144,288,248,263,252,282,250,290,235,198,254,221,363,181,360,321,374,273,317,293,323,264,329,212,353,299,131,215,364,320,309,352,320,201,385,261,219,380,348,305,322,354,318,270,280,277,249,379,334,282,279,292,281,307,329,322,354,214,317,306,333,390,320,357,353,297,317,284,268,362,324,268,274,319,358,299,303,241,302,256,345
