Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,55407.0,54302.5,54716.332,54745.75,54977.6,55229.0,55311.715,55491.0,55457.11,55475.8,55233.637,55169.832,55169.617,55221.355,55219.734,55164.75,55148.293,55176.0,55131.367,55143.05,55079.477,55090.0,55043.477,55009.957,54952.88,54937.81,54924.777,54934.535,54902.45,54898.465,54907.03,54885.625,54853.816,54917.207,54900.06,54894.945,54931.137,54919.71,54932.77,54926.15,54930.047,54934.43,54902.56,54890.09,54877.465,54870.676,54887.086,54885.082,54877.49,54887.34,54880.863,54888.06,54898.04,54881.797,54895.4,54903.855,54882.914,54867.62,54883.39,54878.55,54857.703,54841.645,54844.508,54848.875,54858.0,54846.047,54857.207,54883.676,54882.16,54883.215,54899.168,54885.695,54884.19,54880.527,54882.348,54878.133,54894.805,54890.54,54889.293,54890.926,54898.37,54897.99,54901.0,54906.0,54898.79,54912.688,54908.07,54906.625,54912.113,54926.8,54915.99,54915.043,54905.098,54905.426,54903.8,54912.97,54917.145,54931.082,54937.434,54936.48,54930.84,54935.793,54936.574,54936.355,54945.363,54950.105,54953.73,54949.668,54946.824,54939.48,54932.703,54917.582,54906.47,54912.92,54905.85,54900.414,54905.207,54909.87,54904.637,54904.984,54914.207,54919.59,54913.57,54916.184,54911.113,54906.13,54902.883,54907.023,54905.535,54908.11,54918.168,54928.426,54929.137,54929.297,54927.074,54916.676,54917.555,54917.746,54909.094,54898.95,54895.59,54895.457,54893.973,54893.195,54904.047,54905.19,54906.953,54899.715,54906.41,54907.35,54911.438,54913.008,54914.61,54918.098,54918.355,54925.32,54927.645,54933.48,54928.75,54931.477,54931.434,54933.273,54937.977,54935.812,54942.156,54944.02,54948.16,54940.99,54935.504,54933.79,54942.164,54945.754,54946.242,54950.977,54951.74,54955.1,54954.902,54955.805,54957.582,54957.773,54958.24,54958.04,54960.785,54964.727,54960.633,54956.0,54961.87,54967.016,54965.617,54964.277,54966.32,54964.953,54969.605,54973.05,54969.098,54968.348,54968.137,54973.832,54979.363,54977.35,54977.78,54975.87,54974.062,54970.883,54977.477,54970.992,54976.773,54975.46,54972.746,54967.367,54960.83,54958.492,54955.434,54956.223,54959.625,54958.8,54961.227,54963.457,54960.42,54965.168,54961.926,54960.92,54960.277,54958.055,54959.605,54954.797,54954.17,54958.367,54961.83,54964.055,54957.043,54960.582,54963.207,54960.965,54959.656,54962.61,54963.305,54959.68,54959.52,54960.586,54962.555,54959.35,54962.24,54966.566,54968.812,54972.402,54971.477,54971.633,54969.527,54969.125,54961.453,54958.957,54962.816,54960.133,54958.047,54960.86,54961.203,54960.418,54958.184,54959.242,54958.777,54959.04,54953.492,54952.84,54954.98,54953.562,54960.023,54962.367,54965.04,54966.566,54967.46,54969.4,54969.02,54970.496,54971.902,54972.652,54968.37,54967.633,54967.492,54965.863,54969.496,54966.375,54967.24,54969.086,54966.47,54966.78,54968.086,54968.516,54970.39,54971.69,54975.62,54975.4,54975.8,54979.492,54977.66,54974.84,54972.94,54972.863,54973.406,54970.324
GreedyLocalSearchAlgorithm,MinimumDistance,55407,53198,53198,53198,53198,53198,53198,53198,53198,53198,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812,52812
SteepestLocalSearchAlgorithm,AverageDistance,56803.0,56609.0,56381.668,56265.25,56438.6,56332.0,56385.0,56284.5,56212.11,56197.4,56149.363,56167.918,56127.92,56183.215,56253.867,56159.0,56222.883,56185.11,56182.844,56233.05,56244.19,56195.637,56256.61,56258.625,56324.6,56327.73,56289.965,56311.0,56290.137,56269.066,56244.418,56227.125,56224.91,56224.41,56179.285,56175.945,56211.215,56206.133,56199.72,56195.0,56140.562,56141.168,56144.812,56126.34,56156.2,56177.11,56203.19,56197.105,56209.777,56225.64,56209.098,56237.44,56232.508,56232.816,56233.855,56233.855,56215.086,56220.57,56229.32,56215.535,56230.605,56225.34,56225.492,56234.125,56232.92,56241.016,56220.492,56231.176,56231.074,56215.4,56220.043,56205.484,56222.81,56211.12,56216.44,56238.105,56243.754,56251.9,56259.56,56277.914,56275.914,56260.27,56272.445,56276.645,56291.777,56284.918,56296.344,56289.41,56277.887,56258.49,56253.12,56255.316,56264.29,56267.01,56246.56,56236.887,56231.195,56236.54,56226.523,56224.76,56234.625,56233.293,56242.973,56229.04,56216.105,56212.68,56230.758,56234.816,56230.43,56230.926,56245.297,56249.84,56246.6,56246.402,56254.254,56264.06,56259.83,56256.035,56254.05,56258.523,56262.11,56262.14,56273.367,56281.484,56271.45,56267.055,56267.844,56286.46,56283.66,56279.137,56276.688,56277.562,56276.746,56279.984,56284.883,56289.207,56284.906,56284.332,56282.973,56289.33,56290.957,56291.76,56286.734,56287.758,56287.277,56287.816,56284.633,56288.184,56296.477,56294.02,56299.684,56313.98,56314.31,56310.156,56303.613,56295.73,56294.848,56300.03,56297.363,56292.918,56290.402,56302.15,56302.613,56306.99,56309.176,56314.99,56311.81,56312.57,56319.91,56318.152,56318.54,56315.68,56315.805,56308.83,56304.457,56297.164,56293.14,56295.668,56306.133,56307.99,56308.53,56309.17,56316.832,56312.016,56312.355,56308.742,56310.242,56316.824,56314.914,56313.293,56309.113,56311.754,56313.48,56320.01,56322.2,56323.12,56326.793,56327.23,56329.09,56328.48,56328.875,56324.55,56326.535,56331.4,56319.367,56316.863,56317.855,56312.34,56312.684,56314.066,56316.75,56317.793,56317.85,56311.832,56312.51,56310.3,56311.023,56310.41,56312.29,56308.508,56317.773,56317.52,56319.145,56319.84,56317.28,56312.61,56314.03,56309.586,56307.23,56309.973,56309.902,56309.21,56311.535,56315.234,56314.59,56316.586,56319.363,56314.03,56319.777,56318.613,56318.934,56314.93,56318.586,56319.008,56319.47,56317.67,56316.473,56318.266,56317.043,56315.793,56317.902,56314.83,56309.746,56307.492,56308.867,56304.92,56306.023,56308.49,56309.695,56307.363,56305.7,56305.605,56303.64,56300.445,56304.465,56301.094,56302.277,56303.96,56305.527,56307.195,56306.684,56304.04,56303.688,56304.86,56306.94,56308.08,56301.848,56300.254,56297.863,56293.715,56294.94,56289.793,56292.598,56292.1,56290.637,56284.95,56285.934,56286.914,56287.617,56286.617,56285.555,56289.766,56292.176,56291.605,56289.023,56291.562,56287.973,56291.766,56295.906,56298.88
SteepestLocalSearchAlgorithm,MinimumDistance,56803,56415,55927,55916,55916,55799,55799,55581,55581,55581,55581,55581,55581,55581,55581,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54736,54645,54645,54645,54645,54645,54645,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53963,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865,53865
