Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,686.0,681.0,676.6667,671.5,672.8,673.5,672.4286,673.75,675.44446,674.8,675.2727,673.75,672.6923,673.0714,674.93335,673.9375,672.64703,672.0,672.3158,671.95,671.2857,670.6818,670.3043,670.75,671.48,671.3077,671.4074,671.3571,671.5172,671.8,672.0968,671.78125,672.0909,671.6177,672.0,671.25,671.3514,671.5,671.87177,671.8,671.87805,671.5,671.4651,671.86365,671.7778,672.3261,672.44684,672.1875,673.0,672.68,672.6863,672.9039,672.77356,672.55554,672.4909,672.5357,672.4737,672.2759,672.20337,672.01666,671.9016,671.74194,671.9365,671.9219,671.75385,672.0909,672.14923,672.17645,672.1594,672.0,672.07043,672.18054,672.2466,672.3378,672.7733,672.7368,672.6883,672.8333,672.9367,673.0875,673.0864,673.20734,673.2892,673.1905,672.94116,672.94183,673.10345,673.11365,673.0449,673.2,673.2857,673.25,673.1183,673.07446,672.9579,673.0208,673.0103,672.9388,672.8687,672.95,673.0297,673.08826,672.9612,673.125,673.0571,673.1321,672.8972,672.96295,672.99084,673.0364,673.08105,673.1339,673.18585,673.0614,673.1565,673.319,673.47864,673.6356,673.53784,673.63336,673.73553,673.6967,673.52844,673.55646,673.688,673.74603,673.7087,673.8047,673.876,673.7231,673.687,673.6515,673.7368,673.67163,673.6889,673.53674,673.5621,673.6087,673.56836,673.5143,673.52484,673.59155,673.6643,673.6528,673.5793,673.56165,673.43536,673.5068,673.6577,673.64,673.65564,673.6382,673.57513,673.5844,673.5097,673.5064,673.5669,673.43036,673.4968,673.48126,673.50934,673.5864,673.68713,673.59753,673.51514,673.59033,673.6108,673.6667,673.56213,673.64703,673.56726,673.51746,673.60114,673.5977,673.67426,673.7273,673.6723,673.61237,673.6481,673.65,673.6077,673.60986,673.6229,673.66846,673.65405,673.6183,673.5615,673.55316,673.6138,673.67896,673.65967,673.78125,673.81866,673.9536,673.9282,673.9031,673.94415,673.9141,673.8693,673.905,673.9353,673.8762,673.8276,673.9363,673.91705,673.8738,673.9227,673.89905,673.95215,674.02856,674.0,674.01416,673.96246,673.9813,673.9256,673.9398,673.98615,673.94037,673.9954,674.0773,674.10406,674.1126,674.0942,674.08484,674.07556,674.07965,674.0925,674.1491,674.10046,674.087,674.0563,674.0862,674.13306,674.0897,674.1064,674.0593,674.0717,674.1177,674.07947,674.1,674.09546,674.12396,674.0453,674.0328,674.03674,673.96747,674.0324,674.0323,674.1124,674.128,674.11554,674.131,674.1581,674.16534,674.17255,674.08203,674.06226,674.0892,674.0772,673.9654,673.9578,673.9313,673.9772,673.9545,674.0453,674.0263,674.0375,673.9776,673.98883,674.0185,674.0074,674.0184,674.09155,674.0657,674.04364,674.1087,674.03973,674.05035,674.1111,674.1071,674.1139,674.078,674.0071,673.96124,673.9158,673.8986,673.89545,673.8403,673.82697,673.81036,673.80066,673.774,673.7952,673.84015,673.81696,673.87164,673.93604,673.89935,673.93646,673.92
GreedyLocalSearchAlgorithm,MinimumDistance,686,676,668,656,656,656,656,656,656,656,656,656,656,656,656,656,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
SteepestLocalSearchAlgorithm,AverageDistance,676.0,675.5,673.3333,672.5,675.4,679.3333,680.4286,681.375,679.6667,679.9,680.2727,680.1667,680.1539,680.0,681.6,681.5625,682.7059,682.5,683.3158,684.1,683.381,683.1818,683.1739,683.1667,683.32,683.7308,684.2593,684.1071,684.4138,684.93335,685.0968,685.6875,685.24243,684.9706,685.02856,684.7778,685.1892,685.2105,685.5128,685.25,685.39026,685.6667,685.97675,686.25,686.0222,685.36957,685.383,684.9583,684.67346,684.6,685.03925,684.6923,684.32074,684.5741,684.61816,684.5,684.5263,684.60345,684.5085,684.45,684.4262,684.19354,684.15875,683.9219,683.87695,683.7879,683.7463,683.4559,683.26086,683.0,682.92957,683.2778,683.1096,683.22974,683.29333,683.0395,683.05194,683.4487,683.9114,683.725,684.0617,684.2805,684.03613,684.0238,683.9647,684.2907,684.25287,684.1477,684.14606,684.08887,684.0769,684.11957,684.17206,684.2234,684.30524,684.28125,684.25775,684.66327,684.5859,684.46,684.56433,684.7843,684.83496,684.71155,684.73334,684.81134,684.8598,684.9259,684.9358,685.0364,685.018,685.1696,684.97345,684.886,684.97394,684.9741,685.2137,685.2627,685.2521,685.2833,685.1818,685.16394,685.06506,684.8306,685.008,684.9762,685.0236,685.08594,684.97675,684.9923,684.9695,684.98486,684.9925,685.0821,684.95557,684.89703,684.8248,684.7826,684.8201,684.65717,684.73047,684.76056,684.7482,684.7361,684.8069,684.81506,684.84357,684.86487,684.89935,684.86,684.6424,684.5329,684.60785,684.7273,684.6581,684.70514,684.61145,684.5886,684.5786,684.725,684.764,684.8457,684.8037,684.7744,684.6909,684.6807,684.67065,684.6726,684.69824,684.8059,684.807,684.68604,684.67053,684.6322,684.6686,684.6023,684.61017,684.5449,684.4693,684.4,684.4475,684.3681,684.3333,684.3207,684.33514,684.3817,684.3797,684.56384,684.4709,684.4737,684.40314,684.5781,684.56476,684.5928,684.61536,684.64795,684.65485,684.6212,684.71356,684.73,684.7562,684.71783,684.7931,684.84314,684.8049,684.77185,684.66187,684.6442,684.6938,684.8,684.76776,684.76416,684.74176,684.71497,684.8,684.7639,684.8479,684.9174,684.89496,684.88635,684.90497,684.9775,685.0359,684.9911,684.9644,684.95575,684.9251,684.864,684.8865,684.96954,684.88745,684.8233,684.8069,684.84186,684.83405,684.8983,684.96625,684.96216,684.87445,684.8,684.70953,684.6529,684.5885,684.56146,684.551,684.4797,684.5789,684.5444,684.5502,684.512,684.5219,684.60315,684.5494,684.4685,684.41174,684.47266,684.5097,684.47284,684.5444,684.53845,684.56323,684.542,684.4943,684.4205,684.40375,684.3609,684.31836,684.36566,684.3457,684.3259,684.39484,684.36395,684.4396,684.4927,684.51636,684.48914,684.50903,684.4964,684.53766,684.4643,684.4448,684.44684,684.4629,684.4401,684.5509,684.5524,684.5331,684.54517,684.5017,684.4483,684.488,684.4692,684.42664,684.42175,684.4407,684.4932,684.468,684.4866,684.5184,684.44
SteepestLocalSearchAlgorithm,MinimumDistance,676,675,669,669,669,669,669,669,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,666,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652,652
