Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,23209,21419,21647,23413,22710,20681,20902,24355,20568,23930,23939,22840,23153,23676,22382,22859,24581,23139,22303,21116,21847,22657,22674,22562,23910,20861,23386,22099,22680,22431,23338,24805,21123,23561,20546,21678,22389,23851,21817,21546,21914,26336,23544,23024,23942,20901,19158,19752,22353,20997,22636,21459,24338,22501,22443,21936,21773,23875,20673,19503,21897,24313,18630,23972,24684,22353,22284,23779,22030,23414,22771,20312,19245,21610,22919,23367,22213,23318,21252,23928,19403,20784,21192,22741,23962,20462,24207,22386,23074,22163,20697,23472,24861,20898,21198,23531,21354,22854,21549,20555,21391,26859,23200,22563,20232,22314,23245,25320,22604,19923,19312,22745,22593,25465,20134,25322,23943,22127,21246,23429,22089,21644,22026,22252,22510,21243,24703,21520,21683,19751,22546,20190,22587,18381,26013,21469,20970,21347,22238,21391,23489,20846,22233,21603,22484,20593,19907,21315,23091,22818,23942,25888,23358,21960,21399,22288,23524,24101,22324,22956,24278,20047,18175,22879,21855,21609,19334,22946,23024,21859,19311,20483,21764,23243,21223,23571,23338,19225,18832,23439,21951,20557,19909,24082,23280,21151,20827,25539,22812,23951,20048,23372,23430,21627,20235,20261,21764,19830,22310,22737
GreedyLocalSearchAlgorithm,FinalResult,449,572,542,878,321,659,366,950,1194,313,521,483,130,381,442,964,656,752,679,784,514,471,795,574,819,699,661,677,898,316,479,840,909,507,1007,810,592,353,656,265,710,305,468,1296,424,659,402,246,520,839,482,912,495,529,832,682,915,375,305,528,814,907,634,268,493,771,739,705,807,617,547,595,535,952,254,568,395,443,532,630,559,537,764,888,555,929,467,945,607,663,475,426,792,425,327,988,660,998,678,320,797,537,528,475,649,916,308,758,592,863,1184,589,794,866,1141,419,614,546,733,637,562,179,628,498,864,255,616,726,568,1088,397,685,621,397,570,321,1119,639,673,738,392,652,648,605,575,972,247,484,250,723,366,570,1061,670,718,523,838,545,345,548,629,544,356,380,739,637,577,557,387,420,547,926,843,374,694,519,736,294,488,894,915,494,828,192,811,630,342,377,958,390,999,658,623,610,665,383,556,446,372,575
SteepestLocalSearchAlgorithm,StartResult,19465,23929,25172,23282,21362,22760,25738,21612,20947,23457,21861,21593,21948,19592,23585,21741,24016,23190,22396,24182,25109,20203,22200,23024,22218,21103,23109,21358,23362,22483,20191,23010,19934,19990,24490,24338,21163,17259,22863,21541,22702,23319,24901,21282,22319,21902,20609,21168,23071,23264,24809,21380,23870,21259,22419,22425,24230,20937,25476,24403,19414,18703,22675,20932,23234,21932,22289,23451,26152,22644,22919,24776,23070,21613,22915,24210,21881,21897,16979,23579,20859,22077,18892,21598,22439,20984,21003,22210,20038,23132,20925,19550,19753,23052,21960,20099,22400,22044,22560,25998,22809,24492,23305,18661,21565,22122,21096,24464,20404,23046,21453,23080,21427,20433,21446,22421,24630,23620,22625,24034,22571,20920,19767,19684,21312,24308,22975,24113,24221,22534,19533,19497,24458,18514,20535,23740,23494,20639,26544,23310,23220,22046,23963,20230,20284,20927,23890,18020,25063,24116,24364,24426,21122,21152,23032,24195,22820,21664,23940,24217,21439,20982,21716,23238,18101,21374,23416,21765,25144,21428,20709,20317,20767,23121,17929,22365,21952,23420,21226,20001,22731,22243,23396,18572,21670,21792,23551,22991,23812,21993,19988,23274,23379,22260,23340,21398,23023,22380,21663,21332
SteepestLocalSearchAlgorithm,FinalResult,739,729,470,173,447,599,575,408,873,421,475,1019,324,266,460,658,753,738,547,662,854,773,888,836,620,709,430,1131,541,437,560,471,445,502,169,622,187,476,720,600,629,328,745,859,475,397,482,192,617,365,476,952,538,569,827,658,589,820,543,116,694,1146,737,646,823,810,509,290,747,903,588,622,439,139,650,514,521,603,268,1047,558,534,541,871,923,775,637,705,547,756,592,449,1208,698,534,528,496,572,675,536,1014,728,457,432,54,608,500,233,399,686,797,542,567,565,701,485,832,580,551,817,457,589,517,661,814,538,586,523,691,784,54,346,841,476,820,414,820,627,301,704,136,504,557,192,536,649,657,798,665,363,1025,450,288,531,558,429,453,528,460,215,537,636,484,600,959,388,621,516,535,677,1170,490,422,499,850,572,762,644,323,799,692,997,319,755,483,921,689,494,266,405,1316,637,582,1382,684,717,674,918,581,724
