Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,634,759,1055,335,1545,1170,836,56,1199,1056,881,2162,1119,1250,629,653,1616,824,1129,869,1376,1701,1800,897,1485,1443,442,434,540,1147,1117,315,1301,2117,939,2122,449,1533,716,1491,1006,976,1869,1395,2219,1414,501,387,1171,1506,2073,1370,984,1730,1307,871,2062,862,1915,1314,682,990,2514,2365,373,2577,1112,2124,872,947,1726,1511,1816,1619,732,1388,1364,1421,2587,1167,1131,1902,802,1924,1808,1071,883,2097,1004,794,1551,2205,1764,1235,840,293,351,810,159,1611
GreedyLocalSearchAlgorithm,Similarities,0.76,0.76,0.68,0.02,0.14,0.79,0.05,0.0,0.15,0.55,0.06,0.11,0.07,0.68,0.11,0.03,0.05,0.62,0.73,0.8,0.11,0.06,0.07,0.68,0.67,0.61,0.8,0.87,0.76,0.62,0.65,0.86,0.04,0.63,0.06,0.64,0.73,0.63,0.66,0.05,0.64,0.13,0.66,0.13,0.09,0.66,0.07,0.78,0.61,0.73,0.11,0.08,0.07,0.08,0.09,0.04,0.12,0.82,0.64,0.1,0.01,0.77,0.58,0.14,0.79,0.52,0.74,0.18,0.69,0.06,0.08,0.07,0.67,0.12,0.07,0.04,0.12,0.83,0.11,0.08,0.05,0.69,0.03,0.62,0.12,0.65,0.12,0.52,0.69,0.81,0.65,0.61,0.54,0.76,0.07,0.02,0.04,0.11,0.04,0.08
SteepestLocalSearchAlgorithm,Results,1688,2087,1982,1812,1343,2276,2068,1145,1908,2146,809,2356,1402,175,961,2590,1805,1617,1073,2593,757,356,3297,1173,652,1839,2911,1801,1832,1084,1734,1666,618,1689,1856,2040,775,1250,1407,1271,1559,1051,743,2600,1416,1341,1688,1715,1843,1555,1238,2873,1524,1389,1826,873,1234,990,1176,1607,875,1131,1076,2409,1696,1509,2114,1309,1625,990,1806,1469,2992,1483,2573,824,1353,2194,2873,1922,1481,1787,2377,1479,788,2311,1939,1353,801,1006,480,1643,1567,1471,1081,917,1818,1584,2546,2838
SteepestLocalSearchAlgorithm,Similarities,0.09,0.53,0.5,0.07,0.1,0.16,0.13,0.66,0.08,0.07,0.05,0.04,0.08,0.0,0.67,0.24,0.54,0.14,0.71,0.14,0.8,0.02,0.13,0.08,0.03,0.19,0.57,0.63,0.56,0.75,0.75,0.14,0.1,0.7,0.11,0.56,0.8,0.06,0.12,0.61,0.83,0.65,0.03,0.7,0.12,0.66,0.61,0.68,0.64,0.09,0.12,0.44,0.74,0.04,0.06,0.78,0.59,0.06,0.13,0.1,0.71,0.04,0.06,0.15,0.6,0.69,0.07,0.63,0.1,0.69,0.02,0.64,0.47,0.69,0.52,0.75,0.76,0.14,0.09,0.17,0.11,0.61,0.11,0.69,0.78,0.62,0.67,0.74,0.07,0.66,0.03,0.09,0.06,0.17,0.68,0.09,0.67,0.12,0.07,0.24
RandomAlgorithm,Results,143445,153171,141128,153447,149768,156157,157667,158930,153854,150139,154643,143772,142312,165916,141440,148558,144651,157513,136837,152133,134602,150702,144903,155442,152220,156378,140990,162694,152495,140434,158483,146295,141834,145672,148022,153864,140409,159409,147719,147011,164259,158547,164014,128393,140979,151066,148066,134211,145654,154040,159127,146987,137250,148625,143220,132355,162222,155817,152968,126683,157298,151032,158619,154179,141819,143187,143880,156974,158793,141422,148003,158672,147865,138068,149947,155653,143154,149077,149386,132712,153359,153882,161247,157764,148953,149089,144461,157816,152344,137375,153614,167751,159285,145948,160658,145648,155091,151877,141090,140015
RandomAlgorithm,Similarities,0.06,0.0,0.0,0.02,0.03,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.02,0.03,0.01,0.01,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.03,0.02,0.01,0.0,0.03,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.02,0.02,0.01,0.0,0.01,0.01,0.03,0.0,0.02,0.01,0.01,0.01,0.02,0.02,0.0,0.0,0.03,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.03,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.02,0.02,0.01,0.0
HeuristicsAlgorithm,Results,2911,5474,5474,2911,5219,5878,6640,8693,5270,3802,4587,7171,5396,7319,5054,5396,4391,4770,6482,7198,8693,7198,5632,5245,4993,4784,4315,3537,4886,5106,4205,5396,4103,7225,5598,8739,4734,5852,5106,4103,4408,5270,5472,5878,3498,4595,6482,4531,5676,8157,5581,4408,4359,3802,7841,4408,3537,7171,7214,4879,8524,4359,7345,6727,4610,8610,4770,4861,5112,4408,7201,3537,4311,2911,5676,4142,4618,5524,5045,2911,4142,2916,4734,4510,7167,4103,4205,5676,5476,7171,2911,8610,5106,7145,2911,5581,6751,5555,6467,8739
HeuristicsAlgorithm,Similarities,0.24,0.37,0.37,0.24,0.35,0.34,0.34,0.42,0.36,0.37,0.25,0.38,0.32,0.4,0.4,0.32,0.35,0.36,0.37,0.32,0.42,0.32,0.3,0.4,0.42,0.36,0.42,0.36,0.41,0.35,0.37,0.32,0.36,0.33,0.35,0.42,0.26,0.35,0.35,0.36,0.4,0.36,0.35,0.34,0.37,0.24,0.37,0.36,0.37,0.38,0.34,0.4,0.37,0.37,0.43,0.4,0.36,0.38,0.35,0.33,0.46,0.37,0.38,0.32,0.43,0.44,0.36,0.37,0.41,0.4,0.38,0.36,0.42,0.24,0.37,0.37,0.24,0.35,0.39,0.24,0.37,0.25,0.26,0.36,0.36,0.36,0.37,0.37,0.46,0.38,0.24,0.44,0.35,0.39,0.24,0.34,0.36,0.38,0.33,0.42
