Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,715306,723334,710371,724180,706916,713377,747222,726860,746577,744389,731072,732324,725823,697652,724775,741571,736161,722815,698896,718580,728727,742017,698263,733880,693052,751296,722725,728519,711001,717080,746146,713716,708523,713153,722678,721805,724390,710683,729169,723668,725445,728943,732610,715242,722864,735533,726874,714008,713290,744760,735575,734657,711822,755899,727599,741072,719980,702195,724528,725935,730798,705867,717693,684872,713312,710533,699503,722570,717183,731298,729012,726249,703941,736756,717525,714871,711097,726389,725113,734131,742012,706467,721445,698846,675140,719163,714963,721496,748929,703510,732762,720806,725393,725439,731032,717003,703780,715626,720132,721648,702607,726051,743922,768926,730087,733958,729208,750758,737404,714901,725429,717190,717567,739128,724177,711800,706798,729876,708834,723058,721527,724769,730681,705187,711850,734188,713722,721945,745092,747005,726667,705029,695018,732466,718890,771056,725440,716284,689571,728237,728177,727841,730872,728091,722413,726817,738406,714511,731529,706829,696354,725635,709959,714075,716911,720110,699179,703376,732668,766919,719859,733109,714640,718289,706236,743622,717556,705375,700951,721778,731440,711598,722915,718358,740065,726642,725378,724562,692044,725000,711250,732943,743786,733015,732185,713824,713124,740834,726050,720695,714624,724152,743855,735480,738167,723753,702323,715936,721323,707698
GreedyLocalSearchAlgorithm,FinalResult,4338,4175,5666,4325,3060,4927,3698,4704,4252,4075,4090,4550,5633,5374,5377,4293,4854,4318,4525,3520,3634,3340,4731,5133,2891,4638,4301,2876,4107,4847,4509,6399,4065,4120,4764,4065,5397,4183,3285,3690,3630,4632,3805,4292,4362,3226,5040,4822,3970,5060,3984,3920,4341,3773,4734,3991,5489,4990,5558,4904,3197,4498,6211,3756,5195,5579,3980,4765,5112,4685,4503,3702,5082,5227,5616,4359,4550,5462,5258,3017,5144,3389,5072,3747,3866,5810,3917,4642,4807,4410,4255,4634,3789,3663,4948,4648,4212,3880,3896,4108,3659,3695,5242,4173,3589,4909,4416,4012,3698,4946,3581,3564,2663,3907,5699,3537,3451,2838,6322,3636,2731,5139,4944,3554,4151,4367,3833,5396,5100,5643,4838,4756,3667,3019,4427,3435,5089,5495,3950,3931,4140,4664,4226,4390,4076,4614,4650,4054,3186,5291,3855,3710,4823,4470,3833,4560,4110,5570,4585,5268,4535,4139,3584,3823,3297,4808,3558,3582,3809,4246,4421,4472,2585,4857,4169,5351,4592,4942,2117,4319,4384,4342,5362,4343,4171,5211,3532,5573,4637,3561,4383,5834,5305,5104,4592,5362,3918,4686,3591,2980
SteepestLocalSearchAlgorithm,StartResult,727596,732654,701358,740456,752568,712599,743413,760816,737012,719168,682910,734728,711745,702406,693359,718847,705848,724681,752812,741871,742438,735774,707607,721948,725959,735445,694474,721557,694504,733551,723469,712180,730658,726480,713406,761362,740834,722084,731180,713217,705386,718238,752000,733761,750011,739669,729108,700511,737308,739715,725777,735590,715785,738699,709778,731874,730504,717693,740190,716154,735741,760221,732393,720387,714594,741529,710933,736853,707079,711234,721563,721678,724425,696106,723413,709964,738283,731308,713307,720210,731025,703358,743563,720164,727300,699865,732440,743193,707190,731911,728616,715129,686856,728852,679839,728644,736932,712268,710079,747355,740824,713459,733040,699806,695161,723771,720993,718510,719054,690863,751449,723444,766243,711074,733232,702400,711387,706984,729376,733665,717830,713084,721545,730173,734293,708066,719123,709505,718045,707824,745025,721216,706849,708223,732916,731106,718454,720090,729678,728515,702872,711255,746516,727948,704209,715415,703132,691735,735577,713030,733087,763310,713732,709406,716920,715379,746639,715073,691508,700943,725471,690665,718177,731480,718576,734979,726611,716857,717782,672108,717356,704059,712486,732464,720430,722866,722252,714542,728730,719775,721883,719469,712963,720000,673609,713441,705518,714387,739046,725952,732921,731950,707933,754696,708671,723206,692381,706879,718875,722430
SteepestLocalSearchAlgorithm,FinalResult,4834,5217,5846,5112,3993,6251,3911,5577,3838,4523,5037,4977,6204,6825,5899,4663,5076,4201,4616,5089,5633,6431,3809,5490,6120,5012,5719,4033,6434,6917,5279,5148,5766,6454,5797,5135,5639,5162,5660,4775,5131,5451,6162,7048,4971,5928,5634,5521,5406,4970,6213,5513,6704,5365,5289,5463,5874,5368,4660,6281,5292,6749,4249,4214,5508,5261,4039,5240,4617,6374,6384,6813,5844,6098,5839,6751,5889,5624,3419,6505,5254,5351,6400,5452,4715,4718,4665,4793,6430,5839,5436,5442,5991,5896,4979,5975,5726,7023,5696,5189,5929,7599,6536,6019,5556,5354,6149,4988,5440,5317,3725,4916,5499,5653,4832,6130,5521,5537,6495,5541,5447,5593,6141,5650,4151,6696,4999,5407,6728,5534,4862,5462,5373,6228,3271,6573,5244,6306,4860,5122,5792,6037,5874,5712,4199,6562,5151,5434,5740,5534,5919,6039,6357,4869,4661,5690,4820,7331,5431,6420,5570,5331,3398,4738,5391,4353,5679,4980,6055,6643,5795,5583,6009,5567,6750,7513,5806,4451,6235,5264,6396,6051,5811,5770,3635,5158,6804,5380,4830,4547,4586,4844,5172,4964,5320,6273,6354,5165,4973,5258
