Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm  ,StartResult,49314   ,50007   ,47920   ,46593   ,48191   ,48517   ,51272   ,47852   ,48292   ,48272    ,48494    ,49791    ,49471    ,43882    ,46577    ,48252    ,50178    ,48606    ,47406    ,47385    ,45915    ,46550    ,49275    ,47995    ,46686    ,49924    ,46724    ,46810    ,46731    ,47891    ,45303    ,46243    ,49930    ,46929    ,48731    ,47985    ,47202    ,50139    ,50973    ,50397    ,45255    ,47631    ,48259    ,47783    ,47947    ,47653    ,45702    ,45719    ,46395    ,48075    ,46635    ,46011    ,46432    ,46019    ,47833    ,43364    ,45724    ,48877    ,52557    ,48724    ,47604    ,45038    ,49182    ,47029    ,49393    ,48632    ,47731    ,45913    ,46347    ,46101    ,43095    ,50114    ,48499    ,46366    ,48946    ,46883    ,47695    ,46443    ,44452    ,46895    ,47429    ,48354    ,50217    ,44783    ,48006    ,47780    ,45303    ,45850    ,47543    ,48818    ,49019    ,46568    ,44732    ,47924    ,48564    ,46605    ,47055    ,47075    ,48292    ,47451     ,46650     ,46656     ,42174     ,45894     ,46237     ,48036     ,49983     ,45219     ,47617     ,43242     ,49597     ,47731     ,43204     ,46789     ,46251     ,48038     ,46829     ,46809     ,47445     ,46293     ,49155     ,46677     ,47428     ,49679     ,51480     ,43561     ,50048     ,45076     ,45950     ,43803     ,46535     ,45404     ,46075     ,47138     ,45020     ,44681     ,47789     ,48818     ,48044     ,47642     ,48427     ,48039     ,45275     ,46044     ,48283     ,47958     ,47715     ,43786     ,46874     ,49706     ,49808     ,48274     ,48265     ,45216     ,45655     ,51899     ,47792     ,46779     ,49960     ,47169     ,51641     ,48547     ,46181     ,46654     ,46137     ,48026     ,46953     ,44325     ,49030     ,48169     ,47345     ,49705     ,46876     ,46995     ,49358     ,46554     ,46729     ,46297     ,48270     ,45692     ,43191     ,48366     ,46857     ,44827     ,48419     ,47147     ,48904     ,50339     ,47108     ,48578     ,46322     ,44570     ,44988     ,49847     ,48197     ,49133     ,45703     ,46599     ,46761     ,49232
GreedyLocalSearchAlgorithm  ,FinalResult,533     ,429     ,529     ,415     ,230     ,371     ,436     ,143     ,200     ,566      ,629      ,544      ,574      ,732      ,359      ,224      ,483      ,396      ,429      ,385      ,212      ,266      ,654      ,830      ,712      ,528      ,260      ,352      ,490      ,404      ,361      ,469      ,677      ,589      ,512      ,362      ,514      ,555      ,345      ,354      ,371      ,183      ,526      ,649      ,469      ,514      ,350      ,496      ,491      ,513      ,524      ,440      ,591      ,432      ,462      ,227      ,346      ,409      ,545      ,459      ,369      ,696      ,544      ,582      ,805      ,376      ,380      ,711      ,447      ,418      ,592      ,422      ,690      ,497      ,471      ,582      ,836      ,582      ,360      ,597      ,556      ,777      ,465      ,399      ,585      ,359      ,330      ,517      ,269      ,705      ,640      ,259      ,383      ,507      ,349      ,339      ,242      ,599      ,493      ,463       ,705       ,324       ,593       ,530       ,312       ,424       ,461       ,412       ,375       ,576       ,431       ,421       ,427       ,480       ,607       ,588       ,295       ,522       ,928       ,605       ,502       ,771       ,370       ,434       ,506       ,471       ,249       ,528       ,372       ,528       ,262       ,582       ,399       ,423       ,347       ,442       ,364       ,383       ,571       ,542       ,559       ,617       ,423       ,476       ,504       ,440       ,851       ,526       ,858       ,382       ,606       ,760       ,664       ,564       ,677       ,749       ,472       ,402       ,474       ,247       ,542       ,580       ,405       ,482       ,660       ,497       ,462       ,832       ,234       ,395       ,639       ,528       ,400       ,574       ,336       ,606       ,429       ,520       ,771       ,462       ,177       ,476       ,702       ,612       ,606       ,562       ,576       ,501       ,525       ,441       ,506       ,498       ,522       ,377       ,507       ,299       ,332       ,689       ,835       ,313
SteepestLocalSearchAlgorithm,StartResult,46705   ,45936   ,47910   ,45372   ,49603   ,45870   ,46309   ,46595   ,49527   ,45541    ,48173    ,46887    ,44568    ,47294    ,48165    ,47219    ,43779    ,48556    ,44958    ,46882    ,51638    ,45548    ,48930    ,46442    ,50154    ,47227    ,45925    ,46585    ,46018    ,50354    ,50897    ,47527    ,47689    ,48302    ,45856    ,46638    ,47919    ,50692    ,46337    ,46540    ,49382    ,47245    ,46344    ,45551    ,48603    ,49296    ,45398    ,48390    ,47089    ,47832    ,44815    ,49329    ,47145    ,49439    ,47154    ,49481    ,45098    ,44236    ,43106    ,47341    ,47915    ,44961    ,44031    ,48510    ,49824    ,45698    ,49255    ,49502    ,50409    ,47073    ,49866    ,48507    ,46748    ,50048    ,46004    ,46670    ,48130    ,46993    ,48571    ,45201    ,46490    ,46728    ,44725    ,45827    ,46374    ,47880    ,48953    ,47689    ,47526    ,44362    ,46009    ,47922    ,46501    ,47900    ,46754    ,47406    ,47295    ,48368    ,48087    ,47569     ,49479     ,47139     ,48651     ,50583     ,50558     ,47712     ,46141     ,46263     ,47353     ,45595     ,44968     ,49286     ,47586     ,49188     ,49054     ,43430     ,46089     ,45245     ,50127     ,45930     ,45680     ,46979     ,50984     ,48696     ,49075     ,44966     ,46167     ,44863     ,47240     ,47740     ,49240     ,48182     ,49182     ,51764     ,48777     ,49742     ,48332     ,50327     ,44993     ,46824     ,45642     ,45073     ,47683     ,48726     ,47370     ,47385     ,47237     ,47407     ,46358     ,45256     ,45831     ,49661     ,45107     ,45423     ,49704     ,48542     ,48711     ,45599     ,44349     ,49694     ,46511     ,48440     ,47200     ,45727     ,49374     ,48004     ,50039     ,48517     ,47128     ,47158     ,46428     ,42036     ,48977     ,43494     ,46269     ,47951     ,49253     ,46245     ,46719     ,45202     ,48757     ,46357     ,46184     ,44601     ,48081     ,46092     ,46348     ,43500     ,48737     ,45850     ,47984     ,47632     ,46431     ,46142     ,43385     ,47984     ,46742     ,47267     ,49398     ,45479
SteepestLocalSearchAlgorithm,FinalResult,666     ,441     ,469     ,795     ,542     ,422     ,872     ,622     ,325     ,580      ,597      ,539      ,538      ,564      ,507      ,338      ,521      ,943      ,411      ,593      ,589      ,488      ,647      ,719      ,495      ,738      ,558      ,561      ,528      ,914      ,611      ,290      ,612      ,485      ,397      ,493      ,675      ,726      ,463      ,544      ,655      ,696      ,623      ,642      ,919      ,407      ,547      ,738      ,544      ,584      ,568      ,582      ,712      ,621      ,610      ,811      ,518      ,586      ,594      ,716      ,562      ,174      ,744      ,594      ,454      ,922      ,601      ,397      ,492      ,669      ,601      ,798      ,912      ,747      ,712      ,477      ,717      ,283      ,816      ,847      ,465      ,688      ,608      ,668      ,323      ,707      ,507      ,444      ,404      ,676      ,703      ,286      ,885      ,649      ,620      ,754      ,601      ,802      ,583      ,574       ,468       ,661       ,346       ,701       ,720       ,540       ,965       ,437       ,467       ,724       ,443       ,785       ,526       ,747       ,824       ,612       ,489       ,363       ,659       ,298       ,640       ,629       ,848       ,529       ,564       ,511       ,492       ,652       ,410       ,609       ,850       ,968       ,469       ,816       ,518       ,726       ,966       ,327       ,326       ,551       ,580       ,427       ,617       ,710       ,894       ,386       ,622       ,827       ,818       ,556       ,585       ,585       ,438       ,514       ,656       ,520       ,678       ,824       ,480       ,578       ,562       ,489       ,1088      ,685       ,968       ,628       ,694       ,630       ,582       ,623       ,892       ,613       ,594       ,799       ,307       ,774       ,424       ,785       ,917       ,666       ,742       ,943       ,456       ,524       ,738       ,694       ,675       ,353       ,749       ,844       ,773       ,677       ,697       ,730       ,364       ,616       ,606       ,904       ,300       ,814
