Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,6627.0,6485.0,6451.6665,6510.25,6506.6,6507.5,6492.857,6493.25,6492.5557,6492.2,6493.0,6477.3335,6477.846,6471.357,6468.933,6473.25,6481.0586,6471.0,6472.8423,6490.65,6488.381,6484.4546,6482.609,6482.7085,6483.08,6483.077,6484.3706,6477.8213,6488.5864,6490.5,6488.0,6487.8125,6494.212,6488.9116,6484.1714,6482.472,6484.189,6480.816,6482.8975,6481.75,6488.1465,6486.5,6484.1626,6481.864,6486.689,6486.391,6492.298,6493.6665,6497.306,6495.98,6492.431,6493.25,6494.2075,6495.148,6497.2363,6495.143,6497.6665,6501.0864,6502.576,6505.1665,6503.5576,6505.6772,6506.365,6504.3438,6503.4155,6501.364,6498.6865,6501.794,6502.6377,6500.986,6500.5493,6500.1113,6500.1094,6501.3516,6500.48,6499.5,6498.6104,6497.064,6496.3926,6496.9126,6495.716,6494.427,6497.1685,6495.4287,6496.1646,6494.9883,6497.816,6495.6704,6492.944,6493.211,6492.7803,6493.8154,6495.398,6496.1274,6496.1685,6495.354,6495.196,6494.367,6494.586,6494.08,6493.4453,6495.6274,6498.1943,6496.548,6496.5713,6496.132,6496.0933,6495.6206,6494.147,6494.391,6495.9277,6496.027,6495.584,6496.5967,6495.0176,6494.2153,6493.376,6493.712,6492.9414,6492.933,6491.529,6489.164,6489.4634,6488.9434,6487.488,6488.0713,6488.1025,6487.6797,6487.6665,6488.0386,6486.771,6486.879,6486.1353,6486.761,6486.2446,6485.728,6486.4893,6486.2393,6485.6187,6486.4355,6487.5747,6486.9717,6488.3496,6487.4443,6486.1377,6486.911,6486.306,6485.743,6485.403,6485.2065,6484.4634,6483.454,6482.6797,6482.2466,6482.071,6482.4487,6483.6562,6483.1772,6484.2266,6484.825,6484.41,6484.21,6484.7056,6487.067,6486.6,6486.3857,6485.389,6484.244,6483.7397,6484.9233,6483.503,6483.5522,6483.11,6482.8965,6482.0913,6481.886,6483.158,6482.101,6481.922,6481.1055,6480.768,6481.088,6480.6064,6480.6304,6480.416,6480.812,6480.524,6481.7183,6481.5977,6481.458,6480.9897,6481.193,6481.565,6482.655,6482.928,6482.801,6483.5024,6483.7827,6484.5024,6484.27,6484.2886,6484.213,6484.488,6483.701,6483.834,6483.1216,6483.1113,6483.029,6483.938,6484.3906,6484.5117,6484.16,6485.188,6486.182,6485.9536,6486.0186,6486.217,6485.927,6485.2056,6485.5093,6484.982,6485.4277,6486.135,6486.237,6486.9067,6486.478,6486.198,6487.921,6487.345,6487.022,6487.3594,6487.474,6488.3774,6488.2905,6487.0767,6487.394,6487.941,6486.9326,6487.0376,6487.567,6488.3857,6488.785,6488.6377,6488.873,6488.3223,6487.817,6487.239,6487.0283,6486.293,6485.876,6486.681,6486.2383,6486.411,6486.3506,6486.4194,6486.414,6486.646,6486.0815,6486.1543,6486.254,6486.314,6487.225,6487.327,6487.4507,6487.3545,6486.7817,6487.2847,6487.097,6487.026,6487.252,6486.952,6486.9375,6486.8535,6486.854,6487.2617,6488.141,6488.0146,6487.8955,6487.412,6488.1216,6487.922,6488.461,6488.4346,6488.352,6488.2524,6488.2974,6488.777,6488.8784,6488.4014,6488.276,6488.67,6488.6094,6488.638,6489.007,6489.115,6489.25,6489.0034,6488.6177,6489.5654,6489.783
GreedyLocalSearchAlgorithm,MinimumDistance,6627,6343,6343,6343,6343,6343,6343,6343,6343,6343,6343,6305,6305,6305,6305,6305,6305,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6253,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203,6203
SteepestLocalSearchAlgorithm,AverageDistance,6800.0,6826.5,6717.0,6715.75,6674.0,6611.8335,6581.0,6583.875,6595.1113,6621.3,6613.727,6601.5,6609.615,6594.5,6601.2,6599.5,6597.8823,6601.5557,6596.316,6593.4,6593.619,6599.636,6596.2607,6588.2915,6592.92,6581.385,6576.7407,6573.643,6574.3447,6573.8335,6574.871,6584.5,6587.4546,6587.853,6594.914,6602.9165,6604.2705,6606.816,6600.4614,6605.7,6607.9756,6608.8335,6607.7676,6605.75,6604.467,6602.2173,6597.3193,6591.8335,6590.8164,6585.54,6587.314,6586.25,6585.4907,6590.148,6589.6,6589.607,6590.0703,6589.776,6589.5083,6588.1665,6590.377,6590.984,6591.222,6592.375,6589.5845,6589.803,6589.4478,6588.25,6594.391,6595.8716,6595.493,6594.972,6599.0684,6597.7163,6596.6665,6594.2764,6597.065,6599.0386,6597.7344,6596.8374,6598.2344,6596.951,6597.253,6596.3213,6594.8823,6593.9883,6592.299,6591.8184,6590.7305,6591.4,6590.4614,6589.946,6588.6772,6587.702,6586.6313,6587.5522,6586.155,6586.755,6587.4346,6589.59,6587.614,6584.716,6583.903,6582.6636,6584.3237,6586.698,6585.2803,6586.3794,6587.5503,6586.827,6588.3965,6590.6694,6591.3276,6590.6753,6590.174,6589.1206,6589.547,6589.9917,6591.5127,6593.467,6592.2646,6590.9507,6591.2925,6590.629,6590.28,6590.381,6588.8506,6588.8594,6588.256,6588.0386,6586.595,6584.621,6584.677,6584.754,6584.289,6583.7427,6582.5327,6582.159,6581.3237,6581.086,6581.738,6581.204,6582.049,6581.8887,6582.09,6582.678,6580.5034,6580.1284,6579.624,6578.96,6580.033,6579.4473,6578.8887,6578.7793,6580.2905,6581.0,6580.038,6579.4365,6578.0254,6579.2437,6577.851,6577.352,6577.141,6576.7744,6576.3574,6576.4097,6575.97,6576.357,6577.361,6578.7354,6577.8364,6578.4185,6579.5664,6579.8906,6579.537,6579.261,6578.429,6577.8706,6578.19,6578.344,6577.6353,6579.3735,6578.388,6578.109,6577.854,6579.9946,6579.829,6580.6704,6581.365,6581.6055,6581.084,6580.1147,6578.782,6580.155,6580.5024,6580.281,6579.472,6580.212,6579.975,6581.42,6581.02,6580.5,6581.7046,6581.1567,6580.0,6579.335,6578.8647,6578.0815,6579.2534,6579.1855,6580.602,6579.618,6580.864,6582.416,6581.7207,6582.9214,6583.0415,6583.1055,6584.137,6582.959,6582.1763,6581.455,6580.511,6579.3794,6580.0933,6579.4824,6580.1235,6579.8813,6580.2095,6579.0176,6579.619,6580.5864,6579.532,6580.235,6581.038,6579.9536,6579.789,6579.9326,6580.13,6579.821,6580.452,6579.657,6578.7817,6578.0,6577.9673,6578.203,6578.5913,6578.863,6579.0723,6578.748,6579.008,6579.3174,6579.5454,6579.5903,6579.1963,6579.203,6579.198,6578.8296,6579.224,6578.385,6578.755,6579.084,6578.757,6578.0605,6577.989,6578.2935,6578.3223,6578.8994,6578.788,6578.937,6579.1475,6578.577,6578.615,6579.3867,6579.2583,6578.9204,6578.9927,6578.5825,6578.3906,6578.2715,6579.224,6579.252,6578.4204,6578.556,6578.2456,6577.951,6578.373,6578.076,6578.149,6579.2,6579.7285,6579.9624,6580.652,6579.969,6579.8,6579.5947,6579.155,6580.547,6580.067,6579.71
SteepestLocalSearchAlgorithm,MinimumDistance,6800,6800,6498,6498,6498,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6301,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6293,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6292,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263,6263
