Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm  ,AverageDistance,4171.0    ,4167.0    ,4191.0    ,4196.5    ,4216.8    ,4237.0    ,4241.5713 ,4242.875  ,4234.778  ,4237.6     ,4237.0     ,4231.8335  ,4230.4614  ,4231.0     ,4227.3335  ,4227.1875  ,4226.1177  ,4233.5     ,4233.2104  ,4235.75    ,4246.143   ,4243.273   ,4244.2173  ,4242.5415  ,4252.48    ,4249.154   ,4248.815   ,4248.107   ,4247.6553  ,4246.1333  ,4251.0645  ,4252.5938  ,4254.1816  ,4253.2354  ,4251.1143  ,4253.75    ,4251.838   ,4252.8945  ,4253.564   ,4253.3     ,4252.756   ,4253.8096  ,4251.5117  ,4251.636   ,4250.511   ,4250.2607  ,4250.3403  ,4250.0835  ,4249.0     ,4247.32    ,4247.1963  ,4247.385   ,4245.1133  ,4246.2036  ,4245.036   ,4245.0713  ,4244.8247  ,4244.8105  ,4246.5933  ,4245.15    ,4245.738   ,4246.113   ,4246.3335  ,4246.625   ,4246.354   ,4245.727   ,4244.537   ,4244.8384  ,4243.1016  ,4243.557   ,4243.183   ,4241.903   ,4240.9043  ,4239.892   ,4240.76    ,4239.8555  ,4239.7144  ,4238.141   ,4237.658   ,4237.4126  ,4235.2344  ,4233.939   ,4233.8794  ,4234.595   ,4234.6     ,4234.942   ,4235.747   ,4235.386   ,4235.2246  ,4234.689   ,4234.879   ,4235.75    ,4236.5806  ,4236.436   ,4235.705   ,4236.1562  ,4235.701   ,4236.8164  ,4236.2827  ,4235.31     ,4236.396    ,4235.5884   ,4236.7085   ,4237.269    ,4237.2856   ,4237.66     ,4236.6167   ,4236.6943   ,4237.422    ,4237.791    ,4237.883    ,4237.375    ,4237.239    ,4238.4824   ,4238.1133   ,4237.75     ,4236.923    ,4236.271    ,4237.0923   ,4236.5166   ,4236.5454   ,4235.9917   ,4236.3496   ,4235.8228   ,4235.696    ,4235.484    ,4235.5195   ,4235.0703   ,4235.946    ,4236.0156   ,4236.267    ,4236.227    ,4235.1577   ,4234.418    ,4234.311    ,4234.2354   ,4233.3867   ,4233.3843   ,4233.403    ,4233.6      ,4233.5034   ,4233.296    ,4233.343    ,4233.0625   ,4233.0205   ,4232.767    ,4231.9795   ,4231.912    ,4231.423    ,4230.7935   ,4230.841    ,4230.862    ,4230.7715   ,4231.344    ,4231.1807   ,4230.9614   ,4230.4966   ,4230.2974   ,4230.2266   ,4229.806    ,4229.4595   ,4229.7593   ,4230.9937   ,4232.0303   ,4232.582    ,4232.265    ,4231.8804   ,4232.869    ,4232.799    ,4232.8647   ,4233.6025   ,4233.756    ,4233.8037   ,4233.4883   ,4233.623    ,4233.994    ,4234.147    ,4233.5957   ,4233.609    ,4233.689    ,4234.127    ,4233.709    ,4233.803    ,4233.3696   ,4233.3516   ,4232.957    ,4233.4385   ,4233.4893   ,4233.0054   ,4233.3633   ,4233.508    ,4233.7188   ,4233.6685   ,4233.5723   ,4233.5283   ,4233.117    ,4232.67     ,4232.616    ,4232.8994   ,4233.39     ,4233.0645   ,4233.183    ,4233.2266   ,4232.6763   ,4233.171    ,4233.0728   ,4233.406    ,4233.0674   ,4232.957    ,4232.662    ,4232.782    ,4232.8867   ,4232.948    ,4232.4673   ,4232.186    ,4232.1343   ,4232.4976   ,4231.89     ,4231.9497   ,4232.0635   ,4232.145    ,4231.9277   ,4232.094    ,4232.277    ,4231.911    ,4231.686    ,4231.85     ,4231.8335   ,4231.878    ,4231.5435   ,4231.7446   ,4231.108    ,4230.7383   ,4230.803    ,4230.498    ,4230.805    ,4230.591    ,4230.815    ,4231.0083   ,4230.7544   ,4230.809    ,4230.6777   ,4230.617    ,4230.1846   ,4230.196    ,4230.6177   ,4230.814    ,4230.589    ,4230.6064   ,4230.328    ,4230.53     ,4230.4683   ,4230.423    ,4230.5435   ,4230.435    ,4230.8086   ,4231.2256   ,4231.5776   ,4231.826    ,4231.727    ,4231.513    ,4231.34     ,4231.0874   ,4231.0947   ,4230.985    ,4230.6543   ,4230.648    ,4230.5522   ,4230.253    ,4230.467    ,4230.1733   ,4230.033    ,4230.319    ,4230.19     ,4229.942    ,4230.2173   ,4230.1157   ,4230.0215   ,4229.6987   ,4229.9966   ,4229.658    ,4229.759    ,4229.7207   ,4229.377    ,4229.239    ,4229.573    ,4229.4077   ,4229.2085   ,4229.4116   ,4229.6655   ,4229.615    ,4229.1196   ,4228.9863   ,4228.939    ,4229.054    ,4229.152    ,4229.3604   ,4229.3623   ,4229.438    ,4229.2466
GreedyLocalSearchAlgorithm  ,MinimumDistance,4171      ,4163      ,4163      ,4163      ,4163      ,4163      ,4163      ,4163      ,4163      ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4163       ,4155       ,4155       ,4155       ,4155       ,4155       ,4155       ,4155       ,4155       ,4155       ,4155       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4127       ,4125       ,4125       ,4125       ,4125       ,4125       ,4125       ,4125       ,4125       ,4125       ,4117       ,4117       ,4117       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061       ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061        ,4061
SteepestLocalSearchAlgorithm,AverageDistance,4258.0    ,4385.0    ,4352.0    ,4340.0    ,4311.6    ,4322.5    ,4301.0    ,4288.0    ,4286.5557 ,4275.3     ,4269.4546  ,4273.0835  ,4278.077   ,4277.357   ,4279.8     ,4278.5625  ,4277.7646  ,4279.222   ,4274.579   ,4272.65    ,4274.8096  ,4277.636   ,4276.3477  ,4270.7915  ,4268.48    ,4267.077   ,4264.222   ,4267.607   ,4267.0347  ,4265.967   ,4264.161   ,4266.7812  ,4263.3335  ,4264.647   ,4262.7715  ,4264.722   ,4262.5137  ,4261.6313  ,4260.3335  ,4258.85    ,4259.049   ,4257.881   ,4258.1396  ,4260.0     ,4258.911   ,4259.8477  ,4257.766   ,4256.0415  ,4256.041   ,4254.06    ,4254.294   ,4253.9614  ,4253.6416  ,4255.6113  ,4255.9272  ,4255.893   ,4258.0176  ,4258.448   ,4257.271   ,4257.5166  ,4257.3276  ,4257.387   ,4258.397   ,4257.9375  ,4258.246   ,4258.636   ,4259.209   ,4259.5884  ,4260.145   ,4259.7573  ,4260.0703  ,4260.6387  ,4260.7534  ,4260.7974  ,4261.08    ,4260.816   ,4260.5845  ,4259.782   ,4258.861   ,4259.175   ,4260.4443  ,4263.0244  ,4263.3975  ,4263.0835  ,4263.5176  ,4262.186   ,4262.6553  ,4262.352   ,4262.708   ,4261.656   ,4262.11    ,4261.8804  ,4262.3765  ,4263.053   ,4261.8315  ,4262.0103  ,4260.9175  ,4261.0103  ,4261.071   ,4260.41     ,4260.683    ,4260.7744   ,4259.9126   ,4259.154    ,4259.076    ,4258.9243   ,4260.0      ,4260.852    ,4261.927    ,4261.727    ,4261.4414   ,4262.009    ,4261.301    ,4261.272    ,4262.0176   ,4262.233    ,4262.8887   ,4263.441    ,4263.4033   ,4263.092    ,4263.314    ,4262.803    ,4262.6343   ,4262.7744   ,4262.728    ,4262.27     ,4261.1655   ,4260.953    ,4260.7363   ,4260.5693   ,4260.496    ,4260.591    ,4260.3535   ,4260.5747   ,4260.926    ,4260.5073   ,4260.4526   ,4260.674    ,4260.626    ,4260.957    ,4260.9575   ,4261.2534   ,4261.7554   ,4262.153    ,4262.324    ,4261.7397   ,4261.7007   ,4261.912    ,4261.5303   ,4261.1333   ,4261.2515   ,4261.3423   ,4260.8237   ,4261.162    ,4261.3936   ,4261.6665   ,4262.134    ,4262.5127   ,4262.9624   ,4262.8687   ,4263.012    ,4262.815    ,4262.7793   ,4262.61     ,4262.7456   ,4262.8555   ,4263.114    ,4263.577    ,4264.0474   ,4264.065    ,4264.4033   ,4265.134    ,4265.4854   ,4265.2876   ,4266.046    ,4266.0854   ,4266.938    ,4267.247    ,4267.782    ,4266.739    ,4266.8896   ,4266.8022   ,4266.694    ,4266.4404   ,4267.0596   ,4267.3496   ,4267.936    ,4268.037    ,4268.561    ,4268.4316   ,4268.115    ,4268.1772   ,4267.9014   ,4267.835    ,4268.072    ,4267.6377   ,4267.35     ,4266.864    ,4266.563    ,4266.765    ,4266.6865   ,4266.708    ,4266.7095   ,4267.147    ,4267.4927   ,4268.175    ,4268.623    ,4268.231    ,4268.11     ,4267.933    ,4267.834    ,4267.236    ,4267.183    ,4266.8877   ,4266.293    ,4266.648    ,4266.447    ,4266.3853   ,4266.6577   ,4266.9136   ,4267.38     ,4266.991    ,4267.0137   ,4267.4463   ,4267.831    ,4267.8364   ,4268.1543   ,4268.443    ,4268.319    ,4268.987    ,4269.225    ,4269.116    ,4269.8457   ,4269.885    ,4269.9404   ,4269.826    ,4269.4175   ,4269.5713   ,4269.3057   ,4269.625    ,4269.336    ,4269.467    ,4269.395    ,4269.2173   ,4269.2773   ,4269.3374   ,4269.016    ,4268.7056   ,4268.5664   ,4268.62     ,4268.299    ,4268.4683   ,4268.312    ,4268.382    ,4268.5254   ,4268.7188   ,4268.292    ,4268.256    ,4268.255    ,4267.992    ,4268.517    ,4268.622    ,4267.989    ,4267.6665   ,4268.234    ,4268.451    ,4268.3447   ,4268.6084   ,4268.3496   ,4268.315    ,4267.7305   ,4267.7905   ,4267.681    ,4267.54     ,4267.345    ,4266.8804   ,4266.7183   ,4266.964    ,4267.269    ,4267.0786   ,4267.185    ,4267.287    ,4267.1978   ,4267.2183   ,4267.488    ,4267.486    ,4267.1675   ,4267.1113   ,4267.0625   ,4266.976    ,4266.897    ,4267.007    ,4267.5117   ,4267.592    ,4267.6235   ,4267.9766   ,4268.3267   ,4267.9497   ,4267.9062   ,4268.0933
SteepestLocalSearchAlgorithm,MinimumDistance,4258      ,4258      ,4258      ,4258      ,4198      ,4198      ,4172      ,4172      ,4172      ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4172       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143       ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4143        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4122        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080        ,4080
