Algorithm,AverageResult,BestResult,AverageTime,StandardDeviation,Efficiency,AverageStepNumber,AverageVisitSolutionNumber
GreedyLocalSearchAlgorithm,484.9,286,6.9583335,133.1521310381475,69.686226,658.7,2153237.5
SteepestLocalSearchAlgorithm,640.9,468,6.335443,123.85350217091157,101.16104,157.9,1775707.6
RandomAlgorithm,48032.2,45068,7.0,1480.7139359106473,6861.7427,0.0,0.0
HeuristicAlgorithm,1246.4,601,0.05878549,278.4515038565962,21202.512,0.0,0.0
SimulatedAnnealingAlgorithm,52.0,16,2871.1,28.61817604250837,0.018111525,2.770026E7,5.9471116E7
TabuSearchAlgorithm,9675.6,8365,14.314285,1192.2897466639558,675.9401,464.7,86490.0
