Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm  ,AverageDistance,22418.0   ,22334.0   ,22253.0   ,22191.75  ,22090.6   ,22193.5   ,22271.572 ,22322.25  ,22263.111 ,22452.7    ,22389.363  ,22401.416  ,22356.076  ,22317.215  ,22264.4    ,22302.938  ,22281.646  ,22320.611  ,22325.578  ,22315.8    ,22335.191  ,22297.408  ,22296.479  ,22291.334  ,22293.4    ,22302.691  ,22290.666  ,22317.893  ,22342.758  ,22389.033  ,22399.033  ,22406.125  ,22406.758  ,22379.941  ,22378.6    ,22362.195  ,22354.486  ,22361.105  ,22371.795  ,22365.5    ,22385.61   ,22394.428  ,22416.07   ,22436.137  ,22421.334  ,22421.348  ,22418.723  ,22405.416  ,22418.49   ,22433.56   ,22443.53   ,22473.52   ,22471.227  ,22474.889  ,22473.527  ,22468.822  ,22455.229  ,22453.018  ,22462.033  ,22466.367  ,22470.328  ,22474.5    ,22485.191  ,22482.594  ,22481.678  ,22475.531  ,22474.373  ,22479.604  ,22483.695  ,22491.2    ,22504.521  ,22502.277  ,22511.521  ,22514.082  ,22514.387  ,22514.025  ,22508.363  ,22524.281  ,22536.291  ,22529.3    ,22518.346  ,22510.732  ,22503.867  ,22495.703  ,22503.883  ,22503.791  ,22510.438  ,22515.773  ,22512.988  ,22518.955  ,22512.11   ,22514.717  ,22511.248  ,22505.352  ,22502.8    ,22505.156  ,22493.547  ,22488.389  ,22484.95   ,22493.96    ,22493.346   ,22491.383   ,22496.203   ,22498.99    ,22496.752   ,22502.31    ,22505.71    ,22514.361   ,22508.615   ,22512.918   ,22508.107   ,22509.49    ,22513.018   ,22522.281   ,22524.94    ,22517.725   ,22509.12    ,22508.771   ,22504.873   ,22507.926   ,22503.059   ,22504.975   ,22518.959   ,22517.523   ,22514.84    ,22523.611   ,22530.89    ,22524.672   ,22525.41    ,22522.715   ,22513.732   ,22508.984   ,22501.037   ,22493.574   ,22489.992   ,22490.729   ,22495.059   ,22502.703   ,22499.777   ,22501.078   ,22499.992   ,22509.084   ,22512.273   ,22510.916   ,22508.594   ,22508.213   ,22505.203   ,22503.81    ,22499.22    ,22496.994   ,22495.562   ,22491.836   ,22488.627   ,22485.637   ,22489.994   ,22484.371   ,22489.822   ,22486.854   ,22488.824   ,22486.068   ,22488.602   ,22495.809   ,22494.068   ,22493.11    ,22490.078   ,22495.76    ,22496.102   ,22496.018   ,22492.746   ,22497.018   ,22494.895   ,22490.738   ,22487.914   ,22491.654   ,22497.428   ,22494.783   ,22494.678   ,22497.326   ,22493.96    ,22490.973   ,22489.553   ,22487.945   ,22484.662   ,22484.805   ,22482.22    ,22481.172   ,22477.31    ,22475.729   ,22475.752   ,22475.605   ,22476.502   ,22473.037   ,22472.332   ,22470.965   ,22467.61    ,22471.848   ,22473.416   ,22471.701   ,22470.643   ,22468.984   ,22468.16    ,22471.729   ,22470.838   ,22467.016   ,22465.244   ,22465.578   ,22462.348   ,22460.77    ,22461.066   ,22456.934   ,22454.08    ,22454.43    ,22455.043   ,22451.893   ,22449.902   ,22450.996   ,22451.098   ,22452.092   ,22451.639   ,22452.658   ,22458.059   ,22461.068   ,22463.9     ,22462.201   ,22461.111   ,22458.328   ,22459.145   ,22462.693   ,22461.646   ,22459.291   ,22461.238   ,22468.096   ,22469.223   ,22466.004   ,22466.025   ,22464.941   ,22466.611   ,22468.062   ,22465.422   ,22466.229   ,22465.879   ,22467.264   ,22472.14    ,22469.291   ,22467.16    ,22467.951   ,22468.996   ,22470.23    ,22467.836   ,22465.244   ,22466.283   ,22464.58    ,22461.637   ,22458.941   ,22455.479   ,22451.723   ,22449.44    ,22452.062   ,22454.723   ,22451.576   ,22452.352   ,22451.947   ,22452.393   ,22452.25    ,22454.303   ,22455.729   ,22457.885   ,22459.43    ,22458.287   ,22454.66    ,22454.66    ,22458.387   ,22458.074   ,22460.668   ,22460.03    ,22459.729   ,22459.846   ,22464.885   ,22463.67    ,22462.367   ,22461.152   ,22459.223   ,22456.559   ,22455.615   ,22454.14    ,22455.049   ,22451.48    ,22452.674   ,22456.932   ,22456.252   ,22454.104   ,22452.59    ,22451.953   ,22451.303   ,22448.275   ,22449.05    ,22448.773   ,22450.691   ,22452.643   ,22452.117
GreedyLocalSearchAlgorithm  ,MinimumDistance,22418     ,22250     ,22091     ,22008     ,21686     ,21686     ,21686     ,21686     ,21686     ,21686      ,21686      ,21686      ,21686      ,21686      ,21525      ,21525      ,21525      ,21525      ,21525      ,21525      ,21525      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21504      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21495      ,21379      ,21379      ,21379      ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21379       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346       ,21346
SteepestLocalSearchAlgorithm,AverageDistance,23041.0   ,22639.5   ,22634.666 ,22324.0   ,22514.2   ,22519.0   ,22671.715 ,22790.625 ,22784.777 ,22782.6    ,22811.727  ,22773.666  ,22710.54   ,22692.357  ,22708.8    ,22803.438  ,22809.059  ,22783.555  ,22856.0    ,22836.4    ,22853.143  ,22871.682  ,22951.912  ,22949.5    ,22928.8    ,22920.115  ,22882.926  ,22890.5    ,22918.104  ,22895.367  ,22877.098  ,22862.5    ,22852.424  ,22878.941  ,22914.344  ,22942.139  ,22927.297  ,22931.79   ,22935.205  ,22937.875  ,22921.098  ,22892.38   ,22900.512  ,22897.113  ,22909.156  ,22884.217  ,22876.49   ,22871.334  ,22857.184  ,22845.18   ,22866.0    ,22845.385  ,22840.697  ,22852.666  ,22865.928  ,22872.875  ,22864.387  ,22846.914  ,22838.764  ,22869.434  ,22882.574  ,22873.5    ,22876.016  ,22896.188  ,22907.555  ,22919.637  ,22906.312  ,22904.396  ,22905.363  ,22905.03   ,22894.957  ,22883.0    ,22876.809  ,22863.986  ,22861.107  ,22860.645  ,22856.793  ,22848.256  ,22841.72   ,22837.488  ,22830.037  ,22828.842  ,22831.361  ,22835.107  ,22828.941  ,22828.43   ,22820.988  ,22814.83   ,22822.787  ,22817.277  ,22821.67   ,22813.13   ,22808.57   ,22796.521  ,22793.348  ,22791.604  ,22794.629  ,22795.816  ,22793.666  ,22793.33    ,22796.258   ,22801.393   ,22807.127   ,22817.549   ,22817.96    ,22819.717   ,22826.057   ,22822.064   ,22826.432   ,22842.482   ,22852.324   ,22862.16    ,22858.78    ,22852.693   ,22849.957   ,22844.8     ,22841.701   ,22837.627   ,22840.285   ,22848.143   ,22841.38    ,22830.197   ,22826.47    ,22830.17    ,22824.703   ,22822.666   ,22823.48    ,22821.664   ,22815.861   ,22816.953   ,22808.68    ,22814.613   ,22818.24    ,22818.604   ,22813.244   ,22810.234   ,22815.73    ,22811.115   ,22810.936   ,22808.492   ,22809.227   ,22803.12    ,22799.979   ,22806.139   ,22806.428   ,22812.117   ,22807.564   ,22801.324   ,22799.209   ,22796.84    ,22802.186   ,22803.533   ,22798.457   ,22798.436   ,22797.516   ,22795.975   ,22798.09    ,22793.424   ,22788.955   ,22789.77    ,22797.727   ,22798.84    ,22804.854   ,22801.56    ,22804.922   ,22805.162   ,22804.635   ,22803.625   ,22810.059   ,22805.594   ,22807.445   ,22810.727   ,22811.26    ,22814.506   ,22821.11    ,22817.836   ,22827.146   ,22827.455   ,22823.514   ,22821.422   ,22819.889   ,22816.77    ,22816.334   ,22814.756   ,22812.826   ,22814.463   ,22818.465   ,22816.691   ,22818.031   ,22815.021   ,22817.508   ,22815.807   ,22813.58    ,22817.758   ,22821.527   ,22816.424   ,22817.71    ,22813.959   ,22814.115   ,22819.24    ,22823.621   ,22823.568   ,22823.107   ,22826.896   ,22823.098   ,22817.262   ,22820.15    ,22820.764   ,22817.023   ,22818.553   ,22821.043   ,22816.873   ,22818.277   ,22817.406   ,22816.963   ,22816.31    ,22815.424   ,22813.969   ,22814.754   ,22813.113   ,22809.217   ,22808.838   ,22812.83    ,22813.812   ,22811.56    ,22806.443   ,22805.564   ,22805.408   ,22808.328   ,22811.318   ,22813.473   ,22813.164   ,22813.932   ,22811.389   ,22813.18    ,22812.09    ,22809.502   ,22811.127   ,22808.959   ,22813.312   ,22812.605   ,22811.79    ,22811.223   ,22815.57    ,22815.69    ,22815.354   ,22814.592   ,22810.584   ,22808.734   ,22808.393   ,22810.035   ,22816.662   ,22820.719   ,22820.807   ,22821.18    ,22824.043   ,22824.428   ,22822.105   ,22823.383   ,22826.469   ,22822.893   ,22820.129   ,22821.574   ,22818.443   ,22819.03    ,22823.395   ,22822.824   ,22819.75    ,22822.836   ,22820.26    ,22816.613   ,22816.379   ,22814.46    ,22814.87    ,22817.223   ,22817.076   ,22820.072   ,22819.15    ,22816.549   ,22816.043   ,22814.346   ,22815.787   ,22815.572   ,22816.365   ,22818.22    ,22816.176   ,22813.303   ,22817.896   ,22820.031   ,22818.78    ,22818.436   ,22817.773   ,22819.795   ,22819.611   ,22817.773   ,22813.662   ,22814.664   ,22811.889   ,22815.023   ,22814.637
SteepestLocalSearchAlgorithm,MinimumDistance,23041     ,22238     ,22238     ,21392     ,21392     ,21392     ,21392     ,21392     ,21392     ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392      ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392       ,21392
