Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,37906,36811,36404,38943,38752,36783,37003,37035,36496,37460,35245,36611,35627,36407,35878,36777,36446,34631,36835,37352,38026,36522,36600,38817,37126,37119,37385,39560,35762,36681,39031,36560,38021,36053,37549,38592,37453,38136,37013,38040,38108,37785,36653,37515,38913,37242,38630,37103,36999,37748,37038,36373,38619,38311,38383,38813,36805,37723,38160,36213,37308,36703,35646,37304,35768,35081,37427,38393,37447,38133,37319,37339,39037,36783,40485,37261,35621,38772,36926,36352,36692,37889,35706,38078,38202,34614,35754,37873,35584,37575,38157,38166,39089,36361,38391,39201,38146,36631,37671,36857,39189,37892,36997,38901,39003,38297,36796,37391,38700,35230,37238,37540,36740,39066,36700,38070,36785,38206,36321,37819,36845,36163,39150,37281,37012,37887,36597,35432,37057,38748,37260,35644,36564,39136,38906,40088,36351,38801,36814,40539,38111,38316,38215,38077,38464,38510,39031,38879,37754,37464,38335,36203,37981,38674,37810,35434,36986,36972,36734,37588,37792,39161,37730,36119,37038,37668,36531,38333,36008,36816,37449,38010,37077,38174,35662,36465,38332,35856,36267,37419,37844,37360,37975,36779,37798,39451,40462,38000,35574,39632,36758,38683,35997,36428,37792,35791,37703,38193,36474,37894
GreedyLocalSearchAlgorithm,FinalResult,348,454,309,383,220,290,344,296,456,481,373,424,394,276,331,391,368,227,338,388,302,333,401,326,276,353,284,313,450,203,347,406,380,281,321,264,341,243,194,371,322,382,241,279,188,252,283,442,340,233,397,209,332,295,359,286,322,232,360,234,324,421,221,436,402,165,306,270,211,506,282,308,387,233,372,330,331,272,267,389,249,257,332,322,332,404,342,283,342,339,205,397,403,293,322,320,373,254,265,323,341,223,304,253,289,328,348,140,324,281,360,352,348,279,336,215,437,331,272,301,311,255,390,461,313,267,227,314,349,370,455,291,475,274,327,342,343,334,285,250,313,398,317,276,276,324,248,302,320,306,295,224,282,520,285,333,248,312,368,431,279,359,410,264,234,283,283,305,258,405,269,294,278,353,295,212,249,282,255,252,328,246,235,303,409,395,275,261,383,335,281,335,252,274,305,232,420,329,340,314
SteepestLocalSearchAlgorithm,StartResult,38155,36522,35632,37086,35426,36938,36076,39813,36455,36918,37595,39138,36752,36470,38730,40273,39385,36985,37648,36379,36467,37256,38547,37657,37304,38204,35538,36672,38552,37420,38495,40028,36452,37666,36324,36993,37037,35063,39077,37988,35791,38346,35817,35263,39329,35680,37021,37170,35977,37551,38855,37496,38634,36019,38451,37708,37647,35633,37454,36789,39604,36987,37138,36382,35631,38045,39590,38104,36631,36811,38262,38412,37101,38219,37450,36957,37552,36983,36202,34706,38313,36307,37114,37419,40437,36740,38731,37248,38116,37831,37041,35797,37107,38420,38604,38461,37551,36531,37162,38793,38611,37978,37929,37054,35402,36578,37455,37208,37137,35025,36057,35131,37990,35763,35538,39117,38846,37662,37513,36894,36987,36756,37711,37215,37414,37292,36556,36742,36976,37252,33888,35834,37712,37726,38033,36522,37312,38243,39361,38323,38832,38686,38654,38540,37681,37733,36408,38644,37521,38319,37682,36766,37993,38840,37018,38661,37215,37846,38350,35725,37253,37241,37422,37055,38072,36012,36989,41453,37619,36925,37609,36293,37502,37903,35050,38630,38317,37923,38961,37874,37555,36238,35948,36617,37672,36859,38147,37869,37825,39133,37151,35485,38836,36705,37520,36670,37155,38077,37143,35056
SteepestLocalSearchAlgorithm,FinalResult,262,282,389,344,364,363,335,311,395,336,323,394,351,332,425,324,426,328,371,396,348,394,324,328,434,528,338,337,269,411,350,401,394,346,329,470,336,306,394,360,262,301,463,354,359,357,474,392,412,356,364,229,293,391,319,350,418,319,273,384,293,315,394,332,342,532,261,480,414,346,363,358,389,339,357,357,386,247,381,279,216,501,300,323,499,335,412,189,416,330,388,296,393,466,394,327,340,311,373,301,322,484,297,297,366,361,345,377,373,259,292,305,276,321,374,298,519,357,355,357,372,323,341,342,240,428,423,381,278,521,353,324,415,295,350,394,347,481,500,283,301,261,323,373,324,269,299,382,324,398,351,370,475,367,248,538,302,366,291,373,258,331,405,247,377,357,394,382,411,430,303,334,292,342,443,329,317,266,363,311,349,267,463,379,365,391,386,347,294,419,440,357,373,355,261,340,317,347,383,345
