Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100
GreedyLocalSearchAlgorithm,Results,380,763,814,255,441,612,439,791,592,0,530,492,641,663,720,774,800,302,508,900,893,446,488,208,392,572,559,380,662,583,247,659,1029,474,526,930,572,495,970,881,693,240,568,512,637,605,639,1136,753,461,243,651,671,365,556,546,573,667,441,893,639,567,1195,797,716,618,1067,305,1085,411,710,718,709,623,356,378,812,716,771,996,0,203,753,867,621,472,940,923,1132,0,292,821,989,976,594,407,670,542,655,724
GreedyLocalSearchAlgorithm,Similarities,0.8461538461538461,0.38461538461538464,0.40384615384615385,0.9038461538461539,0.6153846153846154,0.5,0.8076923076923077,0.07692307692307693,0.6153846153846154,1.0,0.07692307692307693,0.7307692307692307,0.5769230769230769,0.21153846153846154,0.17307692307692307,0.09615384615384616,0.28846153846153844,0.019230769230769232,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.0,0.1346153846153846,0.038461538461538464,0.5192307692307693,0.6153846153846154,0.36538461538461536,0.038461538461538464,0.2692307692307692,0.21153846153846154,0.8653846153846154,0.6346153846153846,0.038461538461538464,0.5576923076923077,0.11538461538461539,0.5769230769230769,0.6923076923076923,0.7692307692307693,0.19230769230769232,0.34615384615384615,0.5769230769230769,0.0,0.5,0.46153846153846156,0.0,0.6153846153846154,0.36538461538461536,0.25,0.5769230769230769,0.75,0.09615384615384616,0.11538461538461539,0.19230769230769232,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.40384615384615385,0.40384615384615385,0.057692307692307696,0.36538461538461536,0.3269230769230769,0.11538461538461539,0.2692307692307692,0.46153846153846156,0.1346153846153846,0.09615384615384616,0.46153846153846156,0.057692307692307696,0.28846153846153844,0.057692307692307696,0.5769230769230769,0.5961538461538461,0.2692307692307692,0.6730769230769231,0.07692307692307693,0.8653846153846154,0.3269230769230769,0.6730769230769231,0.15384615384615385,0.40384615384615385,0.0,0.8846153846153846,0.23076923076923078,0.4423076923076923,0.38461538461538464,0.19230769230769232,0.09615384615384616,0.019230769230769232,0.38461538461538464,0.0,0.019230769230769232,0.4423076923076923,0.36538461538461536,0.6538461538461539,0.5576923076923077,0.8269230769230769,0.46153846153846156,0.11538461538461539,0.17307692307692307,0.6923076923076923
SteepestLocalSearchAlgorithm,Results,359,634,565,857,566,1038,260,1034,624,490,888,331,660,472,789,279,655,463,578,755,328,891,369,647,487,839,489,491,846,742,81,758,612,717,406,982,821,578,693,765,1052,0,756,911,689,356,643,273,731,345,128,230,839,563,624,115,680,814,711,688,470,586,552,829,0,453,632,81,959,527,763,1014,680,653,487,325,712,679,488,697,454,338,240,268,315,487,222,1106,634,851,599,820,770,682,794,676,759,507,490,893
SteepestLocalSearchAlgorithm,Similarities,0.8846153846153846,0.34615384615384615,0.21153846153846154,0.4423076923076923,0.5,0.28846153846153844,0.19230769230769232,0.21153846153846154,0.4807692307692308,0.7115384615384616,0.07692307692307693,0.057692307692307696,0.1346153846153846,0.2692307692307692,0.46153846153846156,0.0,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.28846153846153844,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.5961538461538461,0.038461538461538464,0.38461538461538464,0.38461538461538464,0.6538461538461539,0.38461538461538464,0.17307692307692307,0.9038461538461539,0.4230769230769231,0.09615384615384616,0.4423076923076923,0.07692307692307693,0.5,0.11538461538461539,0.09615384615384616,0.5576923076923077,0.38461538461538464,0.19230769230769232,0.0,0.09615384615384616,0.5769230769230769,0.038461538461538464,0.7884615384615384,0.6153846153846154,0.8461538461538461,0.36538461538461536,0.07692307692307693,0.9423076923076923,0.0,0.4230769230769231,0.2692307692307692,0.11538461538461539,0.0,0.38461538461538464,0.3076923076923077,0.19230769230769232,0.15384615384615385,0.5384615384615384,0.11538461538461539,0.15384615384615385,0.21153846153846154,1.0,0.1346153846153846,0.3076923076923077,0.9038461538461539,0.4807692307692308,0.23076923076923078,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.2692307692307692,0.038461538461538464,0.7692307692307693,0.38461538461538464,0.19230769230769232,0.1346153846153846,0.17307692307692307,0.3076923076923077,0.7884615384615384,0.9038461538461539,0.0,0.8461538461538461,0.2692307692307692,0.8846153846153846,0.4423076923076923,0.5192307692307693,0.4423076923076923,0.2692307692307692,0.5,0.15384615384615385,0.057692307692307696,0.4423076923076923,0.46153846153846156,0.3269230769230769,0.6730769230769231,0.36538461538461536,0.40384615384615385
RandomAlgorithm,Results,24237,21474,21136,22394,22638,22580,23722,23473,24113,21632,21892,21631,22469,23219,20370,23366,21746,24728,21866,21859,21514,20617,24559,26122,25509,23808,22958,23041,21041,19023,21720,22294,23415,22429,20694,25188,24275,22390,22542,21845,22743,20238,23205,20432,20329,24609,24800,24696,21715,25358,20704,23584,20956,22250,22705,22978,25897,24341,22368,20039,21347,20223,22243,22160,21072,24060,20535,24272,22581,22119,23236,23420,24013,23672,20826,21180,24421,22719,24011,21434,22171,23150,24350,24662,23724,22264,22434,22530,23287,21838,21575,21892,22750,21843,21182,22748,24323,21065,21166,20041
RandomAlgorithm,Similarities,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.057692307692307696,0.0,0.038461538461538464,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.057692307692307696,0.019230769230769232,0.0,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.0,0.0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.019230769230769232,0.0,0.057692307692307696,0.0,0.038461538461538464,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.038461538461538464,0.0,0.09615384615384616,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0
HeuristicsAlgorithm,Results,1709,1619,1775,1525,2716,1914,1775,1411,2748,2031,2551,1556,2031,1956,1581,1815,2660,1792,1322,1306,1549,1531,2229,1919,2748,1715,2468,2660,1531,1322,1748,1549,1322,1962,1322,1619,2166,1914,1322,2031,1322,1853,1556,1595,1672,1556,1471,1556,2166,1595,1549,1322,2551,2229,1650,1322,1614,2660,1453,1411,1919,1781,1531,2355,1595,2748,2530,1556,2041,639,1581,1762,2530,2166,2756,2229,2229,2166,1762,1556,2355,2468,1322,1650,1650,1438,2166,1748,2166,2166,1672,1525,1815,2748,1650,1710,1322,1672,1619,1471
HeuristicsAlgorithm,Similarities,0.2692307692307692,0.2692307692307692,0.3269230769230769,0.17307692307692307,0.46153846153846156,0.34615384615384615,0.3269230769230769,0.2692307692307692,0.40384615384615385,0.057692307692307696,0.40384615384615385,0.19230769230769232,0.057692307692307696,0.25,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.4423076923076923,0.11538461538461539,0.11538461538461539,0.3269230769230769,0.28846153846153844,0.36538461538461536,0.38461538461538464,0.40384615384615385,0.3269230769230769,0.4230769230769231,0.34615384615384615,0.28846153846153844,0.11538461538461539,0.3269230769230769,0.3269230769230769,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.2692307692307692,0.36538461538461536,0.34615384615384615,0.11538461538461539,0.057692307692307696,0.11538461538461539,0.4230769230769231,0.19230769230769232,0.2692307692307692,0.34615384615384615,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.36538461538461536,0.2692307692307692,0.3269230769230769,0.11538461538461539,0.40384615384615385,0.36538461538461536,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.2692307692307692,0.38461538461538464,0.38461538461538464,0.28846153846153844,0.34615384615384615,0.2692307692307692,0.40384615384615385,0.38461538461538464,0.19230769230769232,0.5,0.1346153846153846,0.34615384615384615,0.40384615384615385,0.38461538461538464,0.36538461538461536,0.28846153846153844,0.36538461538461536,0.36538461538461536,0.36538461538461536,0.40384615384615385,0.19230769230769232,0.34615384615384615,0.4230769230769231,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.19230769230769232,0.36538461538461536,0.3269230769230769,0.36538461538461536,0.36538461538461536,0.34615384615384615,0.17307692307692307,0.2692307692307692,0.40384615384615385,0.07692307692307693,0.23076923076923078,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.19230769230769232
