Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm,StartResult,2760,2986,3100,2542,2738,3132,2867,2798,2767,2751,2638,2814,2658,2641,2651,2571,2933,2622,2833,2898,2913,2937,2826,2564,2814,2884,2743,2921,2576,2762,2652,2881,2680,2766,2958,2678,3004,2582,2649,2700,2964,2648,2687,2642,2728,2845,2702,2944,2656,2666,2839,2778,2750,2964,2740,2703,2878,2772,2955,2825,2693,2782,2689,2690,2713,3024,2873,2669,2953,2806,2889,2816,2529,2792,2806,3011,2891,2891,2690,2921,2928,2721,2749,2502,2703,2737,2740,2602,2763,2821,2846,2632,2856,2805,2974,2712,2867,3181,2891,2523,2903,2851,2733,2461,2774,2958,2873,2805,2807,2668,2934,2840,2989,2826,2839,2896,2738,2753,2513,2700,2720,3106,2979,2919,2941,2585,2715,2620,2880,2673,3016,2554,2951,3123,2589,2664,2896,2817,2829,2985,2986,2718,3013,2761,2728,2772,2778,2817,2629,2980,3068,2824,2637,2986,2878,2646,2887,2881,2736,2775,2833,2871,2846,2510,2996,3038,2544,2767,2831,2958,2526,2750,2651,2911,2480,2780,2942,2673,2800,3020,2722,2657,2760,2814,2699,2431,2644,2710,2836,2828,2756,2943,3163,2448,2664,2975,2686,2784,2563,2802
GreedyLocalSearchAlgorithm,FinalResult,50,46,46,50,45,51,34,49,50,40,21,38,52,66,41,36,22,37,39,51,28,62,49,70,37,67,50,43,20,46,37,38,49,53,49,50,52,37,24,44,28,68,49,58,44,42,45,56,41,38,49,33,63,50,39,58,63,42,40,38,41,35,53,43,41,68,52,45,71,43,50,51,53,51,58,49,78,54,52,71,35,44,49,35,32,59,64,58,50,62,34,50,63,67,58,59,39,41,53,49,78,55,52,68,40,30,49,73,33,43,40,47,59,32,41,55,43,59,55,44,56,46,46,34,36,52,59,41,39,52,42,25,31,53,48,46,56,62,68,39,46,39,40,53,55,47,53,29,49,40,33,55,46,27,38,61,54,63,44,46,56,41,28,33,61,57,53,69,39,67,56,53,46,47,52,41,31,50,40,39,48,36,35,41,41,36,39,47,55,58,73,49,41,26,36,52,37,53,44,57
SteepestLocalSearchAlgorithm,StartResult,2573,2993,2868,2869,2808,3233,3023,2666,3025,2593,3108,2901,2443,2726,2782,2620,2986,2886,2911,2728,2944,2996,2947,2956,2673,2878,2873,2789,2883,2702,2995,2881,2681,2876,2755,2951,2819,2794,2659,2976,2926,3034,2735,2637,2834,2688,2818,2865,3015,2568,2902,2877,2865,2760,2799,2916,2913,2899,2415,2731,2779,2837,3026,2572,2567,2912,2886,2998,2999,2573,2892,2868,2844,2618,2752,2835,2913,2800,3091,2902,2897,2986,2875,2809,2834,3011,2807,3006,2761,3056,2820,2613,2511,2798,2779,2616,2833,2933,2724,2752,2800,2620,2862,2788,2887,2820,2562,2770,2847,2661,2763,2730,2793,2806,3214,3087,2612,2904,2703,2612,2901,2613,2929,2968,2641,2852,2758,2878,2885,2771,3047,2938,2681,2912,3018,2848,2920,2780,2986,3005,2542,2927,2675,2939,3029,2663,2664,2658,2511,2803,2656,2772,2920,2935,2710,2739,2664,3072,2854,2747,3044,2719,2774,2691,2800,2683,2671,2816,2805,2818,2825,2765,2549,2577,2680,2710,2941,2661,2493,2611,2896,2852,2653,2830,2770,2856,2709,2810,2693,2907,2780,2821,2807,2991,2750,3010,2850,2817,2894,2998
SteepestLocalSearchAlgorithm,FinalResult,57,58,50,26,43,50,42,46,70,110,67,48,62,46,59,61,59,68,46,40,48,65,70,59,62,71,55,67,71,60,43,48,57,69,65,63,50,36,52,47,50,62,36,60,49,56,68,65,67,44,65,83,47,56,49,54,52,55,54,51,54,71,47,56,32,70,60,56,40,62,45,50,52,47,45,64,46,52,47,66,51,61,48,87,72,50,42,68,66,22,56,64,37,55,49,29,33,75,58,47,43,73,54,68,51,60,73,59,61,62,52,52,57,60,43,53,49,63,40,46,67,42,61,50,51,59,51,47,61,52,66,37,65,65,57,76,63,54,74,54,76,50,51,51,31,39,54,57,46,51,70,42,53,56,71,67,87,48,46,55,45,47,34,62,50,58,27,39,54,54,51,64,49,57,86,55,50,73,55,47,66,76,35,51,75,66,53,63,54,52,51,50,42,52,39,46,49,42,58,70
