Algorithm,Type,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20,Result 21,Result 22,Result 23,Result 24,Result 25,Result 26,Result 27,Result 28,Result 29,Result 30,Result 31,Result 32,Result 33,Result 34,Result 35,Result 36,Result 37,Result 38,Result 39,Result 40,Result 41,Result 42,Result 43,Result 44,Result 45,Result 46,Result 47,Result 48,Result 49,Result 50,Result 51,Result 52,Result 53,Result 54,Result 55,Result 56,Result 57,Result 58,Result 59,Result 60,Result 61,Result 62,Result 63,Result 64,Result 65,Result 66,Result 67,Result 68,Result 69,Result 70,Result 71,Result 72,Result 73,Result 74,Result 75,Result 76,Result 77,Result 78,Result 79,Result 80,Result 81,Result 82,Result 83,Result 84,Result 85,Result 86,Result 87,Result 88,Result 89,Result 90,Result 91,Result 92,Result 93,Result 94,Result 95,Result 96,Result 97,Result 98,Result 99,Result 100,Result 101,Result 102,Result 103,Result 104,Result 105,Result 106,Result 107,Result 108,Result 109,Result 110,Result 111,Result 112,Result 113,Result 114,Result 115,Result 116,Result 117,Result 118,Result 119,Result 120,Result 121,Result 122,Result 123,Result 124,Result 125,Result 126,Result 127,Result 128,Result 129,Result 130,Result 131,Result 132,Result 133,Result 134,Result 135,Result 136,Result 137,Result 138,Result 139,Result 140,Result 141,Result 142,Result 143,Result 144,Result 145,Result 146,Result 147,Result 148,Result 149,Result 150,Result 151,Result 152,Result 153,Result 154,Result 155,Result 156,Result 157,Result 158,Result 159,Result 160,Result 161,Result 162,Result 163,Result 164,Result 165,Result 166,Result 167,Result 168,Result 169,Result 170,Result 171,Result 172,Result 173,Result 174,Result 175,Result 176,Result 177,Result 178,Result 179,Result 180,Result 181,Result 182,Result 183,Result 184,Result 185,Result 186,Result 187,Result 188,Result 189,Result 190,Result 191,Result 192,Result 193,Result 194,Result 195,Result 196,Result 197,Result 198,Result 199,Result 200
GreedyLocalSearchAlgorithm  ,StartResult,510934  ,450855  ,405245  ,450842  ,415432  ,412123  ,433007  ,474873  ,426603  ,522200   ,447951   ,461794   ,465058   ,504713   ,437368   ,400430   ,489237   ,457863   ,497682   ,518621   ,443948   ,511175   ,509281   ,483873   ,508559   ,450255   ,464635   ,448119   ,423558   ,445975   ,482633   ,455324   ,452047   ,496180   ,434110   ,495556   ,453851   ,423861   ,468761   ,488806   ,487281   ,415699   ,478651   ,484180   ,488313   ,512489   ,460284   ,475957   ,469035   ,490611   ,494769   ,463993   ,462841   ,446785   ,474172   ,469930   ,452972   ,480475   ,488037   ,506448   ,421491   ,499571   ,521570   ,406264   ,490163   ,489837   ,466793   ,458525   ,490926   ,483085   ,441920   ,435336   ,446354   ,461195   ,463942   ,493150   ,464463   ,434455   ,431083   ,461775   ,433970   ,449872   ,471859   ,443515   ,457631   ,446932   ,438831   ,462966   ,419599   ,443059   ,477572   ,454192   ,449577   ,474040   ,463568   ,419588   ,410361   ,447635   ,451060   ,484146    ,413757    ,471716    ,485069    ,504863    ,443292    ,442974    ,516807    ,434974    ,478948    ,474717    ,498261    ,430789    ,493693    ,461704    ,442052    ,448110    ,485963    ,422205    ,461959    ,487380    ,476108    ,505110    ,442380    ,488067    ,506428    ,434355    ,466784    ,464147    ,491978    ,479755    ,463470    ,497079    ,505664    ,488023    ,462140    ,459958    ,445295    ,449782    ,477201    ,434596    ,389746    ,474499    ,445264    ,435825    ,418558    ,510090    ,494566    ,422875    ,454772    ,516117    ,459612    ,457065    ,426819    ,527779    ,482613    ,491861    ,458781    ,467070    ,456773    ,441791    ,460976    ,482534    ,416316    ,478169    ,471006    ,470399    ,488637    ,498222    ,434197    ,499378    ,438400    ,481290    ,497236    ,462438    ,430833    ,509497    ,482968    ,446434    ,485887    ,448997    ,434516    ,490189    ,479371    ,474568    ,465093    ,469668    ,455697    ,487530    ,447189    ,480597    ,473178    ,457964    ,436357    ,493242    ,455638    ,460387    ,494304    ,459371    ,510122    ,450384
GreedyLocalSearchAlgorithm  ,FinalResult,3499    ,2733    ,2369    ,1370    ,6753    ,5417    ,7558    ,2848    ,6183    ,6232     ,5279     ,1761     ,5205     ,3802     ,5076     ,2530     ,7096     ,9150     ,9382     ,2499     ,2144     ,5909     ,1474     ,4226     ,991      ,3697     ,7777     ,5890     ,8471     ,5130     ,4043     ,8030     ,6505     ,4747     ,2341     ,7866     ,11011    ,6278     ,4571     ,2612     ,2504     ,2637     ,1337     ,7238     ,5389     ,5063     ,3954     ,6935     ,9615     ,4229     ,3167     ,7889     ,2480     ,4378     ,1128     ,5923     ,3567     ,6538     ,3972     ,8632     ,3919     ,2660     ,5763     ,8004     ,3569     ,1199     ,5112     ,7210     ,5127     ,3082     ,6445     ,4634     ,5756     ,4978     ,6899     ,4731     ,2183     ,4457     ,2735     ,7960     ,3944     ,6236     ,3931     ,3631     ,2651     ,3479     ,3074     ,6448     ,7929     ,3975     ,4392     ,4842     ,9285     ,4036     ,2729     ,6645     ,5125     ,4796     ,1605     ,3911      ,299       ,3051      ,2031      ,4526      ,1707      ,4825      ,3794      ,3007      ,4349      ,964       ,2119      ,1445      ,6398      ,5150      ,6938      ,4505      ,6833      ,5779      ,2510      ,5618      ,4097      ,1048      ,2789      ,3773      ,5854      ,12208     ,7477      ,5748      ,6053      ,2123      ,2156      ,5005      ,6179      ,4645      ,3550      ,3756      ,6111      ,8373      ,4859      ,5015      ,2192      ,5615      ,11600     ,2014      ,3323      ,5595      ,2480      ,4676      ,4417      ,6522      ,2831      ,4981      ,2253      ,1540      ,2550      ,5848      ,4361      ,4042      ,9298      ,4057      ,6050      ,2571      ,2114      ,3105      ,3026      ,3409      ,7173      ,4429      ,2959      ,3862      ,2960      ,7911      ,5891      ,3125      ,5515      ,7163      ,4656      ,6335      ,3588      ,2538      ,6546      ,3491      ,9370      ,3561      ,3500      ,3137      ,2908      ,4906      ,5560      ,1426      ,4249      ,4849      ,6033      ,5671      ,4255      ,5371      ,5044      ,5274      ,3056      ,3881
SteepestLocalSearchAlgorithm,StartResult,450550  ,481983  ,455958  ,466755  ,441817  ,451007  ,474477  ,463331  ,492158  ,449484   ,461144   ,473799   ,485343   ,483360   ,488272   ,482005   ,437561   ,442054   ,473934   ,499122   ,433005   ,470736   ,458429   ,454310   ,504860   ,459544   ,487270   ,479009   ,431497   ,500027   ,489598   ,492344   ,478862   ,492202   ,451987   ,492827   ,488531   ,501243   ,488129   ,495804   ,471225   ,413253   ,490602   ,423158   ,507647   ,516652   ,507734   ,487841   ,484406   ,440277   ,489774   ,500339   ,453988   ,436974   ,475380   ,480179   ,473493   ,512253   ,522489   ,506655   ,467577   ,454623   ,457329   ,453439   ,491960   ,496058   ,467489   ,504345   ,509472   ,440624   ,463604   ,458339   ,494268   ,478500   ,476763   ,476238   ,505080   ,410051   ,495449   ,503686   ,541158   ,454844   ,513370   ,455645   ,453296   ,446786   ,479228   ,432167   ,474927   ,463731   ,480965   ,478116   ,503071   ,471192   ,431742   ,452091   ,475128   ,485814   ,462203   ,493395    ,490899    ,483109    ,486275    ,464692    ,464707    ,515761    ,422591    ,461314    ,491745    ,466590    ,573891    ,498226    ,460987    ,451365    ,451630    ,499940    ,485222    ,463450    ,458884    ,498555    ,480399    ,474139    ,484829    ,490594    ,524429    ,495228    ,454349    ,438620    ,450446    ,454531    ,412929    ,484603    ,462110    ,480335    ,441215    ,422581    ,493913    ,484619    ,463363    ,458717    ,426848    ,488180    ,478892    ,455285    ,454749    ,469198    ,451337    ,489485    ,484381    ,478813    ,474420    ,464710    ,452603    ,495646    ,428749    ,449550    ,429418    ,511138    ,439776    ,451301    ,480148    ,498504    ,490623    ,504068    ,513543    ,455333    ,442618    ,481593    ,496451    ,471463    ,473383    ,506857    ,502177    ,479302    ,470975    ,452112    ,485419    ,510594    ,502262    ,476134    ,437059    ,461853    ,416744    ,501264    ,489287    ,464428    ,453469    ,423270    ,489312    ,466074    ,411723    ,499066    ,442876    ,532587    ,472491    ,447483    ,432151    ,442494    ,474463    ,454241
SteepestLocalSearchAlgorithm,FinalResult,2100    ,10435   ,2936    ,9821    ,6971    ,4129    ,11504   ,2051    ,2196    ,7492     ,3327     ,1615     ,6094     ,7025     ,3875     ,6562     ,6539     ,7709     ,11050    ,4740     ,6857     ,5479     ,3558     ,2882     ,4506     ,4298     ,12725    ,3069     ,3596     ,7492     ,3341     ,4991     ,15088    ,7803     ,5194     ,6690     ,5821     ,5807     ,3009     ,8154     ,1960     ,4195     ,8078     ,8790     ,6032     ,6058     ,4723     ,684      ,4957     ,7246     ,6945     ,3268     ,1321     ,8672     ,7514     ,13615    ,7722     ,5725     ,4589     ,3105     ,3174     ,4641     ,5113     ,7637     ,3720     ,6158     ,5751     ,1899     ,11724    ,5853     ,3015     ,2395     ,5234     ,3898     ,7047     ,6982     ,3374     ,5210     ,6827     ,4421     ,9312     ,7677     ,4721     ,3485     ,7139     ,7459     ,4170     ,6722     ,5534     ,3556     ,6637     ,4688     ,6414     ,9424     ,4012     ,3307     ,1398     ,5913     ,3811     ,6442      ,5483      ,8030      ,8546      ,5891      ,2585      ,2421      ,1402      ,11576     ,6820      ,7974      ,11633     ,2345      ,8562      ,3986      ,11129     ,7591      ,4767      ,4111      ,8017      ,3940      ,6196      ,4633      ,1715      ,5429      ,3257      ,3431      ,4474      ,1729      ,2593      ,7600      ,3290      ,5143      ,5755      ,2573      ,9532      ,7146      ,6958      ,4208      ,6240      ,5700      ,5667      ,17247     ,5967      ,10053     ,7945      ,5919      ,2521      ,6175      ,6780      ,4027      ,2783      ,2744      ,9508      ,4990      ,2718      ,2645      ,1005      ,6632      ,8572      ,5943      ,3507      ,3388      ,6233      ,2564      ,10761     ,4044      ,11839     ,4951      ,3261      ,3258      ,4379      ,3581      ,7389      ,5527      ,8002      ,6539      ,8074      ,6426      ,11365     ,5896      ,3958      ,6782      ,3494      ,3852      ,4752      ,10083     ,5658      ,1845      ,2000      ,5230      ,3692      ,4681      ,12493     ,10700     ,2966      ,6117      ,2325      ,1537      ,7634      ,5983
