Algorithm,Type,Distance 1,Distance 2,Distance 3,Distance 4,Distance 5,Distance 6,Distance 7,Distance 8,Distance 9,Distance 10,Distance 11,Distance 12,Distance 13,Distance 14,Distance 15,Distance 16,Distance 17,Distance 18,Distance 19,Distance 20,Distance 21,Distance 22,Distance 23,Distance 24,Distance 25,Distance 26,Distance 27,Distance 28,Distance 29,Distance 30,Distance 31,Distance 32,Distance 33,Distance 34,Distance 35,Distance 36,Distance 37,Distance 38,Distance 39,Distance 40,Distance 41,Distance 42,Distance 43,Distance 44,Distance 45,Distance 46,Distance 47,Distance 48,Distance 49,Distance 50,Distance 51,Distance 52,Distance 53,Distance 54,Distance 55,Distance 56,Distance 57,Distance 58,Distance 59,Distance 60,Distance 61,Distance 62,Distance 63,Distance 64,Distance 65,Distance 66,Distance 67,Distance 68,Distance 69,Distance 70,Distance 71,Distance 72,Distance 73,Distance 74,Distance 75,Distance 76,Distance 77,Distance 78,Distance 79,Distance 80,Distance 81,Distance 82,Distance 83,Distance 84,Distance 85,Distance 86,Distance 87,Distance 88,Distance 89,Distance 90,Distance 91,Distance 92,Distance 93,Distance 94,Distance 95,Distance 96,Distance 97,Distance 98,Distance 99,Distance 100,Distance 101,Distance 102,Distance 103,Distance 104,Distance 105,Distance 106,Distance 107,Distance 108,Distance 109,Distance 110,Distance 111,Distance 112,Distance 113,Distance 114,Distance 115,Distance 116,Distance 117,Distance 118,Distance 119,Distance 120,Distance 121,Distance 122,Distance 123,Distance 124,Distance 125,Distance 126,Distance 127,Distance 128,Distance 129,Distance 130,Distance 131,Distance 132,Distance 133,Distance 134,Distance 135,Distance 136,Distance 137,Distance 138,Distance 139,Distance 140,Distance 141,Distance 142,Distance 143,Distance 144,Distance 145,Distance 146,Distance 147,Distance 148,Distance 149,Distance 150,Distance 151,Distance 152,Distance 153,Distance 154,Distance 155,Distance 156,Distance 157,Distance 158,Distance 159,Distance 160,Distance 161,Distance 162,Distance 163,Distance 164,Distance 165,Distance 166,Distance 167,Distance 168,Distance 169,Distance 170,Distance 171,Distance 172,Distance 173,Distance 174,Distance 175,Distance 176,Distance 177,Distance 178,Distance 179,Distance 180,Distance 181,Distance 182,Distance 183,Distance 184,Distance 185,Distance 186,Distance 187,Distance 188,Distance 189,Distance 190,Distance 191,Distance 192,Distance 193,Distance 194,Distance 195,Distance 196,Distance 197,Distance 198,Distance 199,Distance 200,Distance 201,Distance 202,Distance 203,Distance 204,Distance 205,Distance 206,Distance 207,Distance 208,Distance 209,Distance 210,Distance 211,Distance 212,Distance 213,Distance 214,Distance 215,Distance 216,Distance 217,Distance 218,Distance 219,Distance 220,Distance 221,Distance 222,Distance 223,Distance 224,Distance 225,Distance 226,Distance 227,Distance 228,Distance 229,Distance 230,Distance 231,Distance 232,Distance 233,Distance 234,Distance 235,Distance 236,Distance 237,Distance 238,Distance 239,Distance 240,Distance 241,Distance 242,Distance 243,Distance 244,Distance 245,Distance 246,Distance 247,Distance 248,Distance 249,Distance 250,Distance 251,Distance 252,Distance 253,Distance 254,Distance 255,Distance 256,Distance 257,Distance 258,Distance 259,Distance 260,Distance 261,Distance 262,Distance 263,Distance 264,Distance 265,Distance 266,Distance 267,Distance 268,Distance 269,Distance 270,Distance 271,Distance 272,Distance 273,Distance 274,Distance 275,Distance 276,Distance 277,Distance 278,Distance 279,Distance 280,Distance 281,Distance 282,Distance 283,Distance 284,Distance 285,Distance 286,Distance 287,Distance 288,Distance 289,Distance 290,Distance 291,Distance 292,Distance 293,Distance 294,Distance 295,Distance 296,Distance 297,Distance 298,Distance 299,Distance 300
GreedyLocalSearchAlgorithm,AverageDistance,22552.0,22789.0,22978.666,22999.25,22962.8,22924.334,22903.285,22788.375,22812.666,22820.7,22783.273,22756.5,22794.691,22844.572,22852.867,22880.375,22837.059,22811.611,22817.158,22763.55,22764.38,22736.773,22739.61,22715.791,22698.56,22714.5,22711.074,22689.857,22682.828,22694.566,22698.064,22692.625,22678.758,22725.617,22737.344,22749.889,22736.568,22729.5,22732.076,22720.275,22699.854,22694.596,22680.791,22678.795,22660.844,22653.848,22664.51,22670.875,22675.082,22675.9,22668.805,22672.865,22685.64,22681.852,22664.6,22651.785,22649.105,22643.81,22645.152,22636.5,22637.705,22624.145,22624.174,22637.469,22636.754,22629.016,22623.016,22630.455,22635.912,22639.656,22643.14,22632.209,22632.658,22624.621,22616.0,22621.172,22619.324,22618.104,22617.734,22621.025,22612.691,22607.281,22605.76,22608.512,22604.754,22606.93,22600.518,22602.113,22605.404,22602.41,22608.318,22613.967,22616.902,22618.67,22625.525,22632.541,22648.71,22654.52,22654.262,22652.49,22652.129,22654.568,22662.184,22664.98,22664.762,22662.803,22661.682,22662.334,22658.826,22661.027,22655.982,22664.92,22669.027,22678.229,22679.688,22682.775,22680.701,22678.71,22686.682,22683.6,22686.818,22689.213,22686.65,22685.258,22695.145,22691.643,22694.574,22696.758,22703.373,22702.2,22701.076,22701.613,22707.744,22709.402,22707.14,22707.074,22703.992,22700.826,22701.03,22696.807,22695.227,22695.654,22695.629,22692.326,22689.537,22684.604,22682.047,22676.459,22675.887,22671.393,22664.371,22665.96,22662.203,22659.207,22657.303,22653.295,22650.42,22645.854,22646.51,22641.338,22638.701,22638.34,22638.0,22633.836,22631.902,22631.205,22629.473,22632.006,22631.781,22632.723,22634.293,22628.627,22630.926,22629.654,22627.96,22626.164,22622.758,22626.387,22628.934,22628.684,22633.26,22630.264,22626.744,22627.082,22626.924,22626.08,22627.646,22628.877,22629.895,22633.062,22633.32,22631.338,22627.953,22625.33,22627.867,22632.06,22629.158,22627.732,22628.512,22628.6,22626.766,22626.213,22622.45,22625.117,22624.303,22622.543,22624.01,22626.023,22625.35,22623.096,22621.104,22620.344,22620.629,22623.094,22625.777,22625.537,22621.658,22621.758,22618.57,22616.504,22614.137,22615.32,22613.066,22613.834,22612.275,22612.203,22609.86,22610.373,22609.852,22608.969,22606.312,22606.785,22607.064,22605.363,22604.992,22604.732,22605.113,22608.135,22605.52,22603.121,22602.66,22601.492,22603.54,22609.578,22611.254,22612.805,22611.36,22615.242,22618.217,22619.465,22619.043,22617.988,22618.3,22619.61,22618.545,22619.188,22616.953,22615.57,22614.232,22614.154,22612.984,22616.045,22613.955,22611.113,22612.807,22614.732,22620.4,22625.082,22625.334,22624.748,22623.863,22624.412,22623.799,22623.07,22626.266,22623.166,22621.805,22621.53,22621.863,22623.396,22624.096,22622.621,22622.498,22622.514,22621.44,22621.266,22622.555,22626.246,22624.56,22626.635,22625.059,22625.363,22625.871,22631.299,22631.81,22629.365,22632.791,22634.047,22633.004,22631.406
GreedyLocalSearchAlgorithm,MinimumDistance,22552,22552,22552,22552,22552,22552,22552,21984,21984,21984,21984,21984,21984,21984,21984,21984,21984,21984,21984,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21745,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21733,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611,21611
SteepestLocalSearchAlgorithm,AverageDistance,22913.0,22673.5,22638.334,22729.5,22578.6,22556.334,22605.143,22702.5,22648.666,22760.2,22798.092,22813.916,22827.691,22823.785,22872.133,22863.062,22871.705,22857.5,22881.053,22870.05,22846.715,22834.592,22841.305,22822.916,22810.16,22809.23,22799.629,22773.465,22747.758,22762.867,22745.742,22753.312,22779.213,22768.5,22753.172,22777.277,22766.893,22769.158,22768.666,22769.95,22753.977,22767.785,22762.162,22769.658,22758.244,22752.152,22750.383,22742.709,22748.55,22763.64,22788.059,22782.23,22764.037,22757.111,22747.564,22736.678,22733.93,22750.654,22753.441,22785.066,22798.475,22791.58,22798.223,22793.844,22801.6,22811.213,22815.0,22825.896,22833.377,22838.97,22835.943,22835.291,22836.068,22834.5,22842.04,22839.855,22859.143,22852.795,22864.494,22871.3,22869.494,22859.477,22860.373,22859.262,22853.895,22857.244,22853.816,22868.352,22886.865,22881.41,22885.385,22894.326,22893.988,22887.469,22880.82,22878.781,22882.484,22881.867,22883.334,22882.74,22884.941,22885.266,22877.902,22880.25,22877.03,22884.887,22882.85,22874.129,22874.568,22876.691,22874.469,22882.83,22884.098,22882.746,22875.73,22875.818,22870.445,22867.508,22866.285,22871.533,22874.38,22874.902,22876.846,22882.936,22880.057,22876.191,22873.252,22871.836,22866.666,22858.107,22853.305,22856.023,22854.707,22855.312,22852.334,22856.346,22850.475,22845.87,22841.684,22842.05,22841.412,22843.254,22841.496,22839.715,22838.234,22834.363,22832.414,22835.643,22832.725,22827.066,22825.537,22830.225,22837.732,22841.332,22838.219,22845.93,22841.98,22842.139,22838.924,22838.75,22836.316,22832.834,22832.834,22836.598,22838.078,22837.795,22836.49,22837.637,22839.426,22840.83,22836.076,22833.22,22825.826,22821.31,22817.736,22818.12,22812.537,22814.303,22815.453,22813.861,22811.16,22808.285,22802.443,22804.93,22806.076,22806.844,22811.889,22811.596,22812.248,22809.922,22806.875,22811.318,22809.14,22812.566,22809.312,22814.822,22813.918,22815.309,22815.879,22815.875,22817.258,22819.52,22821.424,22826.574,22823.098,22822.807,22826.314,22825.451,22823.512,22819.385,22820.398,22818.873,22814.934,22811.396,22808.387,22810.162,22813.787,22815.482,22812.146,22812.678,22820.018,22817.73,22819.623,22820.246,22820.307,22817.611,22815.168,22815.64,22815.943,22813.082,22808.62,22809.564,22810.928,22810.24,22812.52,22814.115,22813.295,22814.596,22815.703,22815.012,22813.203,22810.834,22812.152,22812.09,22809.576,22813.357,22814.295,22811.701,22811.582,22816.473,22820.885,22819.46,22821.459,22822.605,22823.902,22828.922,22831.203,22831.361,22835.035,22837.52,22836.367,22837.867,22839.365,22842.178,22841.457,22837.309,22834.543,22835.156,22835.07,22834.314,22836.564,22838.684,22835.56,22833.344,22833.13,22832.783,22832.336,22833.701,22834.283,22834.074,22836.19,22834.682,22835.65,22835.775,22836.701,22840.168,22838.764,22838.361,22837.31,22837.748,22838.47,22834.104,22835.031,22833.766,22833.746,22834.531,22836.71,22837.744,22837.193,22835.64
SteepestLocalSearchAlgorithm,MinimumDistance,22913,22434,22434,22434,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21975,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21818,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21754,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554,21554
